run_id,k,rep,placement,status,detail,t_start,t_end
recheck_1787891121,1,0,GGGG,OK,,1787891121.6,1787891138.475
recheck_1787891121,1,0,GGNG,OK,,1787891138.476,1787891153.764
recheck_1787891121,1,0,GGNN,OK,,1787891153.764,1787891167.908
recheck_1787891121,1,0,GNNN,OK,,1787891167.908,1787891181.939
recheck_1787891121,1,0,NNNN,OK,,1787891181.939,1787891192.208
recheck_1787891121,1,1,GGGG,OK,,1787891192.209,1787891208.058
recheck_1787891121,1,1,GGNG,OK,,1787891208.059,1787891223.229
recheck_1787891121,1,1,GGNN,OK,,1787891223.229,1787891236.651
recheck_1787891121,1,1,GNNN,OK,,1787891236.652,1787891249.415
recheck_1787891121,1,1,NNNN,OK,,1787891249.415,1787891259.795
recheck_1787891121,1,2,GGGG,OK,,1787891259.795,1787891275.433
recheck_1787891121,1,2,GGNG,OK,,1787891275.434,1787891289.957
recheck_1787891121,1,2,GGNN,OK,,1787891289.957,1787891303.319
recheck_1787891121,1,2,GNNN,OK,,1787891303.32,1787891315.977
recheck_1787891121,1,2,NNNN,OK,,1787891315.977,1787891326.672
