run_id,k,rep,placement,gpu_skip_pct,npu_skip_pct,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,deadline_margin_ms_mean,per_stream_json,t_start,t_end,period_ms,fps,detector,dataset,timestamp
recheck_1787891121,1,0,GGGG,38.12,0.0,0.08971,0.12667,0.10756,0.09311,0.00699,0.14023,0.38389,-1.44,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.10103, ""sap_s"": 0.01499, ""sap_m"": 0.12388, ""sap_l"": 0.45959, ""skip"": 38.26, ""eff_mean_ms"": 32.02, ""infer_mean_ms"": 32.02}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20186, ""sap_s"": 0.00153, ""sap_m"": 0.19099, ""sap_l"": 0.61717, ""skip"": 39.95, ""eff_mean_ms"": 32.034, ""infer_mean_ms"": 32.033}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.1141, ""sap_s"": 0.00225, ""sap_m"": 0.22189, ""sap_l"": 0.23271, ""skip"": 39.67, ""eff_mean_ms"": 32.111, ""infer_mean_ms"": 32.111}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.08971, ""sap_s"": 0.00921, ""sap_m"": 0.02415, ""sap_l"": 0.22609, ""skip"": 34.61, ""eff_mean_ms"": 31.41, ""infer_mean_ms"": 31.41}]",1787891121.6,1787891138.475,33.333,30.0,yolo11s,argoverse-hd-val,1787891138
recheck_1787891121,1,0,GGNG,25.63,0.22,0.09114,0.13213,0.11433,0.09613,0.00874,0.11851,0.46224,-5.353,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.10776, ""sap_s"": 0.01569, ""sap_m"": 0.14245, ""sap_l"": 0.51493, ""skip"": 25.06, ""eff_mean_ms"": 28.246, ""infer_mean_ms"": 28.246}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20871, ""sap_s"": 0.0013, ""sap_m"": 0.19051, ""sap_l"": 0.63802, ""skip"": 25.28, ""eff_mean_ms"": 27.83, ""infer_mean_ms"": 27.83}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.1209, ""sap_s"": 0.00049, ""sap_m"": 0.18162, ""sap_l"": 0.338, ""skip"": 0.22, ""eff_mean_ms"": 17.124, ""infer_mean_ms"": 17.123}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.09114, ""sap_s"": 0.00922, ""sap_m"": 0.02257, ""sap_l"": 0.23377, ""skip"": 26.56, ""eff_mean_ms"": 27.866, ""infer_mean_ms"": 27.866}]",1787891138.476,1787891153.764,33.333,30.0,yolo11s,argoverse-hd-val,1787891153
recheck_1787891121,1,0,GGNN,19.04,0.57,0.08349,0.13109,0.11568,0.09142,0.0087,0.1689,0.58786,-7.168,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.10992, ""sap_s"": 0.01596, ""sap_m"": 0.14632, ""sap_l"": 0.53504, ""skip"": 19.03, ""eff_mean_ms"": 26.196, ""infer_mean_ms"": 26.196}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20953, ""sap_s"": 0.00144, ""sap_m"": 0.19148, ""sap_l"": 0.64068, ""skip"": 19.04, ""eff_mean_ms"": 26.134, ""infer_mean_ms"": 26.133}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12143, ""sap_s"": 0.00049, ""sap_m"": 0.18157, ""sap_l"": 0.33892, ""skip"": 0.67, ""eff_mean_ms"": 16.705, ""infer_mean_ms"": 16.704}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08349, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21284, ""skip"": 0.46, ""eff_mean_ms"": 16.78, ""infer_mean_ms"": 16.78}]",1787891153.764,1787891167.908,33.333,30.0,yolo11s,argoverse-hd-val,1787891167
recheck_1787891121,1,0,GNNN,16.48,0.3,0.08343,0.12737,0.11732,0.09241,0.01571,0.15735,0.54015,-7.695,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.11335, ""sap_s"": 0.01571, ""sap_m"": 0.15735, ""sap_l"": 0.54015, ""skip"": 16.48, ""eff_mean_ms"": 25.638, ""infer_mean_ms"": 25.637}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19139, ""sap_s"": 0.00098, ""sap_m"": 0.17334, ""sap_l"": 0.61386, ""skip"": 0.22, ""eff_mean_ms"": 17.257, ""infer_mean_ms"": 17.257}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12129, ""sap_s"": 0.00049, ""sap_m"": 0.18158, ""sap_l"": 0.33876, ""skip"": 0.22, ""eff_mean_ms"": 17.168, ""infer_mean_ms"": 17.168}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08343, ""sap_s"": 0.00125, ""sap_m"": 0.02443, ""sap_l"": 0.21272, ""skip"": 0.46, ""eff_mean_ms"": 17.321, ""infer_mean_ms"": 17.32}]",1787891167.908,1787891181.939,33.333,30.0,yolo11s,argoverse-hd-val,1787891181
recheck_1787891121,1,0,NNNN,0.0,0.85,0.08347,0.12621,0.11505,0.09108,0.00358,0.13034,0.43258,-15.554,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10884, ""sap_s"": 0.01146, ""sap_m"": 0.1417, ""sap_l"": 0.56493, ""skip"": 0.46, ""eff_mean_ms"": 18.058, ""infer_mean_ms"": 18.058}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19129, ""sap_s"": 0.00101, ""sap_m"": 0.17367, ""sap_l"": 0.61387, ""skip"": 0.67, ""eff_mean_ms"": 17.589, ""infer_mean_ms"": 17.588}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12125, ""sap_s"": 0.00044, ""sap_m"": 0.18155, ""sap_l"": 0.33904, ""skip"": 0.9, ""eff_mean_ms"": 17.595, ""infer_mean_ms"": 17.594}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08347, ""sap_s"": 0.0014, ""sap_m"": 0.02446, ""sap_l"": 0.2125, ""skip"": 1.37, ""eff_mean_ms"": 17.877, ""infer_mean_ms"": 17.876}]",1787891181.939,1787891192.208,33.333,30.0,yolo11s,argoverse-hd-val,1787891192
recheck_1787891121,1,1,GGGG,26.91,0.0,0.09302,0.13434,0.11951,0.09728,0.0072,0.14918,0.41494,-4.323,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.10721, ""sap_s"": 0.01517, ""sap_m"": 0.14144, ""sap_l"": 0.50028, ""skip"": 27.15, ""eff_mean_ms"": 29.035, ""infer_mean_ms"": 29.035}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20531, ""sap_s"": 0.00165, ""sap_m"": 0.19131, ""sap_l"": 0.62798, ""skip"": 26.54, ""eff_mean_ms"": 29.137, ""infer_mean_ms"": 29.137}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.1318, ""sap_s"": 0.00257, ""sap_m"": 0.23511, ""sap_l"": 0.30266, ""skip"": 27.85, ""eff_mean_ms"": 28.816, ""infer_mean_ms"": 28.815}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.09302, ""sap_s"": 0.00939, ""sap_m"": 0.02887, ""sap_l"": 0.22885, ""skip"": 26.11, ""eff_mean_ms"": 29.054, ""infer_mean_ms"": 29.053}]",1787891192.209,1787891208.058,33.333,30.0,yolo11s,argoverse-hd-val,1787891208
recheck_1787891121,1,1,GGNG,21.53,0.0,0.10074,0.13543,0.11621,0.10381,0.00903,0.12562,0.467,-5.773,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.11098, ""sap_s"": 0.0157, ""sap_m"": 0.15131, ""sap_l"": 0.52161, ""skip"": 20.23, ""eff_mean_ms"": 27.267, ""infer_mean_ms"": 27.266}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.20854, ""sap_s"": 0.00144, ""sap_m"": 0.19251, ""sap_l"": 0.63702, ""skip"": 21.79, ""eff_mean_ms"": 27.858, ""infer_mean_ms"": 27.858}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 16.359, ""infer_mean_ms"": 16.359}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.10074, ""sap_s"": 0.00996, ""sap_m"": 0.03305, ""sap_l"": 0.24236, ""skip"": 22.58, ""eff_mean_ms"": 27.557, ""infer_mean_ms"": 27.557}]",1787891208.059,1787891223.229,33.333,30.0,yolo11s,argoverse-hd-val,1787891223
recheck_1787891121,1,1,GGNN,11.59,0.23,0.0835,0.13236,0.11788,0.09274,0.00843,0.17583,0.5933,-9.615,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.11431, ""sap_s"": 0.01542, ""sap_m"": 0.15938, ""sap_l"": 0.54433, ""skip"": 10.3, ""eff_mean_ms"": 23.51, ""infer_mean_ms"": 23.51}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.2102, ""sap_s"": 0.00144, ""sap_m"": 0.19228, ""sap_l"": 0.64227, ""skip"": 12.87, ""eff_mean_ms"": 23.926, ""infer_mean_ms"": 23.926}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12145, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33898, ""skip"": 0.0, ""eff_mean_ms"": 16.48, ""infer_mean_ms"": 16.48}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0835, ""sap_s"": 0.0014, ""sap_m"": 0.02436, ""sap_l"": 0.21276, ""skip"": 0.46, ""eff_mean_ms"": 16.023, ""infer_mean_ms"": 16.023}]",1787891223.229,1787891236.651,33.333,30.0,yolo11s,argoverse-hd-val,1787891236
recheck_1787891121,1,1,GNNN,7.06,0.37,0.0836,0.12834,0.11927,0.09371,0.0157,0.16515,0.55952,-10.148,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.1173, ""sap_s"": 0.0157, ""sap_m"": 0.16515, ""sap_l"": 0.55952, ""skip"": 7.06, ""eff_mean_ms"": 23.185, ""infer_mean_ms"": 23.185}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19125, ""sap_s"": 0.00101, ""sap_m"": 0.17334, ""sap_l"": 0.61395, ""skip"": 0.22, ""eff_mean_ms"": 17.304, ""infer_mean_ms"": 17.303}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12123, ""sap_s"": 0.00053, ""sap_m"": 0.18221, ""sap_l"": 0.32296, ""skip"": 0.9, ""eff_mean_ms"": 17.181, ""infer_mean_ms"": 17.181}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.0836, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.21271, ""skip"": 0.0, ""eff_mean_ms"": 16.621, ""infer_mean_ms"": 16.621}]",1787891236.652,1787891249.415,33.333,30.0,yolo11s,argoverse-hd-val,1787891249
recheck_1787891121,1,1,NNNN,0.0,0.45,0.08346,0.12615,0.11506,0.09108,0.00357,0.13015,0.43231,-15.61,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10887, ""sap_s"": 0.01137, ""sap_m"": 0.14152, ""sap_l"": 0.56414, ""skip"": 0.91, ""eff_mean_ms"": 17.861, ""infer_mean_ms"": 17.861}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19103, ""sap_s"": 0.001, ""sap_m"": 0.17333, ""sap_l"": 0.61389, ""skip"": 0.22, ""eff_mean_ms"": 18.061, ""infer_mean_ms"": 18.061}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12125, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33859, ""skip"": 0.22, ""eff_mean_ms"": 17.48, ""infer_mean_ms"": 17.48}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08346, ""sap_s"": 0.0014, ""sap_m"": 0.02415, ""sap_l"": 0.21261, ""skip"": 0.46, ""eff_mean_ms"": 17.492, ""infer_mean_ms"": 17.492}]",1787891249.415,1787891259.795,33.333,30.0,yolo11s,argoverse-hd-val,1787891259
