epoch,util_gpu,util_mem,mem_used_mib,power_w
1787891119.633,10,0,3396,84.8
1787891119.834,10,0,3396,84.8
1787891120.034,10,0,3396,82.1
1787891120.235,10,0,3396,82.1
1787891120.435,8,0,3396,71.2
1787891120.636,8,0,3378,71.2
1787891120.837,8,0,3378,71.2
1787891121.038,8,0,3378,70.8
1787891121.238,8,0,3374,70.8
1787891121.439,8,0,3374,71.7
1787891121.639,8,0,3374,71.7
1787891121.839,8,0,3374,71.7
1787891122.040,8,0,3696,115.1
1787891122.240,8,0,3718,115.1
1787891122.441,66,7,3718,185.4
1787891122.641,66,7,3718,185.4
1787891122.842,66,7,3732,185.4
1787891123.042,66,7,3728,221.7
1787891123.243,66,7,3740,221.7
1787891123.443,90,10,3740,234.0
1787891123.644,90,10,3740,234.0
1787891123.844,90,10,3740,234.0
1787891124.044,90,10,3740,235.8
1787891124.245,90,10,3740,235.8
1787891124.445,79,8,3740,235.1
1787891124.646,79,8,3742,235.1
1787891124.846,79,8,3738,235.1
1787891125.047,79,8,3738,238.0
1787891125.247,79,8,3738,238.0
1787891125.447,79,8,3738,235.7
1787891125.648,79,8,3738,235.7
1787891125.848,79,8,3738,235.7
1787891126.049,79,8,3738,234.4
1787891126.249,79,8,3738,234.4
1787891126.450,82,9,3738,239.2
1787891126.650,82,9,3734,239.2
1787891126.850,82,9,3734,239.2
1787891127.051,82,9,3734,237.5
1787891127.251,82,9,3734,237.5
1787891127.452,87,10,3734,235.0
1787891127.652,87,10,3734,235.0
1787891127.853,87,10,3734,235.0
1787891128.053,87,10,3734,236.5
1787891128.254,87,10,3734,236.5
1787891128.454,81,9,3730,240.7
1787891128.655,81,9,3730,240.7
1787891128.855,81,9,3730,240.7
1787891129.055,81,9,3730,236.3
1787891129.256,81,9,3730,236.3
1787891129.456,78,8,3730,231.4
1787891129.657,78,8,3730,231.4
1787891129.857,78,8,3730,231.4
1787891130.058,78,8,3730,245.8
1787891130.258,78,8,3738,245.8
1787891130.459,85,10,3738,253.7
1787891130.659,85,10,3738,253.7
1787891130.860,85,10,3738,253.7
1787891131.060,85,10,3738,244.4
1787891131.261,85,10,3738,244.4
1787891131.461,84,9,3738,242.0
1787891131.662,84,9,3738,242.0
1787891131.862,84,9,3738,242.0
