run_id,k,rep,placement,gpu_skip_pct,npu_skip_pct,worst_sap,mean_sap,median_sap,p10_sap,sap_small,sap_medium,sap_large,deadline_margin_ms_mean,per_stream_json,t_start,t_end,period_ms,fps,detector,dataset,timestamp
prefix_1787891943,0,0,GGGG,0.06,0.0,0.1149,0.15073,0.1385,0.11685,0.0078,0.16808,0.45865,-16.713,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 16.694, ""infer_mean_ms"": 16.694}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64696, ""skip"": 0.0, ""eff_mean_ms"": 16.739, ""infer_mean_ms"": 16.738}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15559, ""sap_s"": 0.0034, ""sap_m"": 0.2575, ""sap_l"": 0.34859, ""skip"": 0.22, ""eff_mean_ms"": 16.597, ""infer_mean_ms"": 16.597}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.1149, ""sap_s"": 0.01001, ""sap_m"": 0.04686, ""sap_l"": 0.26173, ""skip"": 0.0, ""eff_mean_ms"": 16.45, ""infer_mean_ms"": 16.449}]",1787891943.274,1787891953.228,33.333,30.0,yolo11s,argoverse-hd-val,1787891953
prefix_1787891943,0,0,GGNG,0.08,2.02,0.11451,0.14176,0.12075,0.11618,0.00926,0.13797,0.49525,-19.287,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 14.046, ""infer_mean_ms"": 14.045}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64696, ""skip"": 0.0, ""eff_mean_ms"": 14.19, ""infer_mean_ms"": 14.19}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12008, ""sap_s"": 0.00049, ""sap_m"": 0.18121, ""sap_l"": 0.33708, ""skip"": 2.02, ""eff_mean_ms"": 17.244, ""infer_mean_ms"": 17.243}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11451, ""sap_s"": 0.00998, ""sap_m"": 0.04594, ""sap_l"": 0.2615, ""skip"": 0.23, ""eff_mean_ms"": 13.903, ""infer_mean_ms"": 13.903}]",1787891953.229,1787891963.29,33.333,30.0,yolo11s,argoverse-hd-val,1787891963
prefix_1787891943,0,0,GGNN,0.0,1.47,0.08236,0.13371,0.12072,0.09366,0.0089,0.18399,0.61213,-20.503,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 12.806, ""infer_mean_ms"": 12.806}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64696, ""skip"": 0.0, ""eff_mean_ms"": 12.855, ""infer_mean_ms"": 12.854}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12004, ""sap_s"": 0.00049, ""sap_m"": 0.18018, ""sap_l"": 0.3378, ""skip"": 1.12, ""eff_mean_ms"": 17.356, ""infer_mean_ms"": 17.356}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08236, ""sap_s"": 0.0014, ""sap_m"": 0.02378, ""sap_l"": 0.21063, ""skip"": 1.82, ""eff_mean_ms"": 17.293, ""infer_mean_ms"": 17.293}]",1787891963.291,1787891973.071,33.333,30.0,yolo11s,argoverse-hd-val,1787891973
prefix_1787891943,0,0,GNNN,0.0,0.68,0.08344,0.12934,0.12134,0.09479,0.01638,0.17493,0.5773,-21.941,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 11.392, ""infer_mean_ms"": 11.392}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19122, ""sap_s"": 0.00101, ""sap_m"": 0.17336, ""sap_l"": 0.61375, ""skip"": 0.45, ""eff_mean_ms"": 17.051, ""infer_mean_ms"": 17.051}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12127, ""sap_s"": 0.00049, ""sap_m"": 0.18137, ""sap_l"": 0.3384, ""skip"": 0.67, ""eff_mean_ms"": 16.863, ""infer_mean_ms"": 16.862}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08344, ""sap_s"": 0.0014, ""sap_m"": 0.02443, ""sap_l"": 0.21254, ""skip"": 0.91, ""eff_mean_ms"": 17.116, ""infer_mean_ms"": 17.115}]",1787891973.072,1787891982.775,33.333,30.0,yolo11s,argoverse-hd-val,1787891982
prefix_1787891943,0,0,NNNN,0.0,0.62,0.08355,0.12614,0.11499,0.09112,0.00356,0.13062,0.43255,-16.115,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.10877, ""sap_s"": 0.01134, ""sap_m"": 0.14204, ""sap_l"": 0.56581, ""skip"": 0.68, ""eff_mean_ms"": 17.137, ""infer_mean_ms"": 17.136}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19104, ""sap_s"": 0.00101, ""sap_m"": 0.17344, ""sap_l"": 0.61383, ""skip"": 0.9, ""eff_mean_ms"": 17.204, ""infer_mean_ms"": 17.204}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12121, ""sap_s"": 0.00049, ""sap_m"": 0.18255, ""sap_l"": 0.33794, ""skip"": 0.67, ""eff_mean_ms"": 17.147, ""infer_mean_ms"": 17.147}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08355, ""sap_s"": 0.0014, ""sap_m"": 0.02445, ""sap_l"": 0.2126, ""skip"": 0.23, ""eff_mean_ms"": 17.386, ""infer_mean_ms"": 17.386}]",1787891982.776,1787891992.499,33.333,30.0,yolo11s,argoverse-hd-val,1787891992
prefix_1787891943,0,1,GGGG,0.45,0.0,0.11464,0.15056,0.13845,0.11662,0.0078,0.1679,0.45843,-18.131,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12123, ""sap_s"": 0.01631, ""sap_m"": 0.17433, ""sap_l"": 0.57754, ""skip"": 0.68, ""eff_mean_ms"": 15.263, ""infer_mean_ms"": 15.263}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21069, ""sap_s"": 0.00143, ""sap_m"": 0.19295, ""sap_l"": 0.64648, ""skip"": 0.45, ""eff_mean_ms"": 15.145, ""infer_mean_ms"": 15.144}, {""stream_id"": 2, ""sid"": 3, ""device"": ""GPU"", ""sap"": 0.15568, ""sap_s"": 0.00345, ""sap_m"": 0.2575, ""sap_l"": 0.3488, ""skip"": 0.22, ""eff_mean_ms"": 15.235, ""infer_mean_ms"": 15.235}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.11464, ""sap_s"": 0.01, ""sap_m"": 0.0468, ""sap_l"": 0.26091, ""skip"": 0.46, ""eff_mean_ms"": 15.166, ""infer_mean_ms"": 15.166}]",1787891992.499,1787892001.653,33.333,30.0,yolo11s,argoverse-hd-val,1787892001
prefix_1787891943,0,1,GGNG,0.0,2.92,0.1149,0.14185,0.12074,0.11645,0.00927,0.13828,0.49533,-19.361,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 14.074, ""infer_mean_ms"": 14.074}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64696, ""skip"": 0.0, ""eff_mean_ms"": 13.98, ""infer_mean_ms"": 13.98}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12007, ""sap_s"": 0.00049, ""sap_m"": 0.18041, ""sap_l"": 0.33567, ""skip"": 2.92, ""eff_mean_ms"": 19.625, ""infer_mean_ms"": 19.625}, {""stream_id"": 3, ""sid"": 21, ""device"": ""GPU"", ""sap"": 0.1149, ""sap_s"": 0.01001, ""sap_m"": 0.04686, ""sap_l"": 0.26173, ""skip"": 0.0, ""eff_mean_ms"": 13.864, ""infer_mean_ms"": 13.863}]",1787892001.653,1787892012.755,33.333,30.0,yolo11s,argoverse-hd-val,1787892012
prefix_1787891943,0,1,GGNN,0.0,1.25,0.08253,0.13399,0.12121,0.09407,0.0089,0.18399,0.61213,-20.696,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 12.491, ""infer_mean_ms"": 12.491}, {""stream_id"": 1, ""sid"": 22, ""device"": ""GPU"", ""sap"": 0.21102, ""sap_s"": 0.00143, ""sap_m"": 0.19304, ""sap_l"": 0.64696, ""skip"": 0.0, ""eff_mean_ms"": 12.783, ""infer_mean_ms"": 12.783}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.121, ""sap_s"": 0.00046, ""sap_m"": 0.18143, ""sap_l"": 0.33805, ""skip"": 0.9, ""eff_mean_ms"": 16.931, ""infer_mean_ms"": 16.931}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08253, ""sap_s"": 0.00139, ""sap_m"": 0.02401, ""sap_l"": 0.21173, ""skip"": 1.59, ""eff_mean_ms"": 16.778, ""infer_mean_ms"": 16.778}]",1787892012.755,1787892022.384,33.333,30.0,yolo11s,argoverse-hd-val,1787892022
prefix_1787891943,0,1,GNNN,0.0,0.9,0.08362,0.12902,0.12061,0.09448,0.01638,0.17493,0.5773,-22.148,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""GPU"", ""sap"": 0.12141, ""sap_s"": 0.01638, ""sap_m"": 0.17493, ""sap_l"": 0.5773, ""skip"": 0.0, ""eff_mean_ms"": 11.185, ""infer_mean_ms"": 11.185}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19123, ""sap_s"": 0.001, ""sap_m"": 0.17326, ""sap_l"": 0.61395, ""skip"": 0.67, ""eff_mean_ms"": 17.227, ""infer_mean_ms"": 17.227}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.11981, ""sap_s"": 0.00049, ""sap_m"": 0.18112, ""sap_l"": 0.33798, ""skip"": 1.57, ""eff_mean_ms"": 17.023, ""infer_mean_ms"": 17.023}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08362, ""sap_s"": 0.0014, ""sap_m"": 0.02444, ""sap_l"": 0.21273, ""skip"": 0.46, ""eff_mean_ms"": 16.724, ""infer_mean_ms"": 16.723}]",1787892022.384,1787892032.166,33.333,30.0,yolo11s,argoverse-hd-val,1787892032
prefix_1787891943,0,1,NNNN,0.0,0.34,0.08349,0.1263,0.11524,0.09111,0.00356,0.13031,0.4329,-16.36,"[{""stream_id"": 0, ""sid"": 2, ""device"": ""NPU"", ""sap"": 0.1089, ""sap_s"": 0.01134, ""sap_m"": 0.14187, ""sap_l"": 0.56582, ""skip"": 0.46, ""eff_mean_ms"": 17.045, ""infer_mean_ms"": 17.044}, {""stream_id"": 1, ""sid"": 22, ""device"": ""NPU"", ""sap"": 0.19124, ""sap_s"": 0.00101, ""sap_m"": 0.17333, ""sap_l"": 0.61395, ""skip"": 0.0, ""eff_mean_ms"": 17.23, ""infer_mean_ms"": 17.229}, {""stream_id"": 2, ""sid"": 3, ""device"": ""NPU"", ""sap"": 0.12158, ""sap_s"": 0.00049, ""sap_m"": 0.18159, ""sap_l"": 0.33925, ""skip"": 0.45, ""eff_mean_ms"": 16.766, ""infer_mean_ms"": 16.766}, {""stream_id"": 3, ""sid"": 21, ""device"": ""NPU"", ""sap"": 0.08349, ""sap_s"": 0.0014, ""sap_m"": 0.02444, ""sap_l"": 0.21256, ""skip"": 0.46, ""eff_mean_ms"": 16.854, ""infer_mean_ms"": 16.854}]",1787892032.166,1787892041.891,33.333,30.0,yolo11s,argoverse-hd-val,1787892041
