epoch,util_gpu,util_mem,mem_used_mib,power_w
1787891941.306,21,1,3027,85.5
1787891941.507,21,1,3027,85.5
1787891941.707,21,1,3027,85.5
1787891941.907,5,0,3027,75.9
1787891942.108,5,0,3027,75.9
1787891942.308,5,0,3027,72.4
1787891942.509,5,0,3027,72.4
1787891942.709,5,0,3027,72.4
1787891942.909,5,0,3027,72.2
1787891943.110,5,0,3027,72.2
1787891943.310,5,0,3117,72.1
1787891943.510,5,0,3377,72.1
1787891943.711,5,0,3377,72.1
1787891943.911,64,3,3377,111.4
1787891944.111,64,3,3381,111.4
1787891944.311,64,3,3381,163.1
1787891944.512,64,3,3381,163.1
1787891944.712,64,3,3381,163.1
1787891944.912,58,3,3381,182.5
1787891945.113,58,3,3381,182.5
1787891945.313,58,3,3381,182.8
1787891945.513,58,3,3381,182.8
1787891945.714,58,3,3381,182.8
1787891945.914,60,3,3381,183.5
1787891946.114,60,3,3415,183.5
1787891946.315,60,3,3415,180.7
1787891946.515,60,3,3415,180.7
1787891946.716,60,3,3415,180.7
1787891946.916,67,2,3415,177.7
1787891947.116,67,2,3415,177.7
1787891947.317,67,2,3415,182.7
1787891947.517,67,2,3415,182.7
1787891947.718,67,2,3415,182.7
1787891947.918,62,3,3415,190.9
1787891948.118,62,3,3415,190.9
1787891948.319,62,3,3415,190.1
1787891948.519,62,3,3415,190.1
1787891948.719,62,3,3415,190.1
1787891948.920,69,3,3415,187.2
1787891949.120,69,3,3415,187.2
1787891949.320,69,3,3415,188.7
1787891949.521,69,3,3415,188.7
1787891949.721,69,3,3415,188.7
1787891949.922,65,3,3415,190.1
1787891950.122,65,3,3415,190.1
1787891950.322,65,3,3415,190.7
1787891950.523,65,3,3415,190.7
1787891950.723,65,3,3415,190.7
1787891950.924,66,3,3415,194.0
1787891951.124,66,3,3415,194.0
1787891951.324,66,3,3415,190.3
1787891951.525,66,3,3415,190.3
1787891951.725,66,3,3415,190.3
1787891951.925,8,0,3415,152.0
1787891952.126,8,0,3415,152.0
1787891952.326,8,0,3415,104.1
1787891952.527,8,0,3415,104.1
1787891952.727,8,0,3415,104.1
1787891952.931,7,0,3415,99.4
1787891953.132,7,0,3415,99.4
1787891953.332,7,0,3415,96.8
1787891953.533,7,0,3415,96.8
1787891953.733,7,0,3415,96.8
1787891953.933,59,2,3415,125.7
1787891954.134,59,2,3415,125.7
1787891954.334,59,2,3415,169.4
1787891954.535,59,2,3415,169.4
1787891954.735,59,2,3415,169.4
1787891954.935,43,2,3415,176.7
1787891955.136,43,2,3415,176.7
1787891955.336,43,2,3415,177.9
1787891955.537,43,2,3415,177.9
1787891955.737,43,2,3415,177.9
1787891955.937,51,2,3415,176.2
1787891956.138,51,2,3422,176.2
1787891956.338,51,2,3422,176.9
1787891956.539,51,2,3422,176.9
1787891956.739,51,2,3422,176.9
1787891956.939,47,2,3422,178.7
1787891957.140,47,2,3422,178.7
1787891957.340,47,2,3421,180.7
1787891957.541,47,2,3421,180.7
1787891957.741,47,2,3421,180.7
1787891957.942,53,2,3421,182.6
1787891958.142,53,2,3421,182.6
1787891958.342,53,2,3421,179.1
1787891958.543,53,2,3421,179.1
1787891958.743,44,2,3421,175.1
1787891958.943,44,2,3421,175.1
1787891959.144,44,2,3421,175.1
1787891959.344,44,2,3421,176.4
1787891959.545,44,2,3421,176.4
1787891959.745,43,2,3421,177.1
1787891959.945,43,2,3421,177.1
1787891960.146,43,2,3421,177.1
1787891960.346,43,2,3421,157.2
1787891960.547,43,2,3421,157.2
1787891960.747,0,0,3421,115.5
1787891960.947,0,0,3421,115.5
1787891961.148,0,0,3415,115.5
1787891961.348,0,0,3415,96.5
1787891961.549,0,0,3415,96.5
1787891961.749,0,0,3415,94.4
1787891961.949,0,0,3415,94.4
1787891962.150,0,0,3415,94.4
1787891962.350,0,0,3415,82.1
1787891962.550,0,0,3415,82.1
1787891962.751,0,0,3415,69.2
1787891962.951,0,0,3415,69.2
1787891963.152,0,0,3415,69.2
1787891963.352,0,0,3415,68.7
1787891963.552,0,0,3415,68.7
1787891963.753,40,1,3415,100.3
1787891963.953,40,1,3415,100.3
1787891964.153,40,1,3415,100.3
1787891964.354,40,1,3415,144.2
1787891964.554,40,1,3415,144.2
1787891964.755,39,1,3415,155.3
1787891964.955,39,1,3415,155.3
1787891965.155,39,1,3415,155.3
1787891965.356,39,1,3415,152.7
1787891965.556,39,1,3415,152.7
1787891965.756,34,1,3415,154.1
1787891965.957,34,1,3415,154.1
1787891966.158,34,1,3415,154.1
1787891966.358,34,1,3415,153.3
1787891966.558,34,1,3415,153.3
1787891966.759,45,1,3415,153.3
1787891966.959,45,1,3415,153.3
1787891967.159,45,1,3415,153.3
1787891967.360,45,1,3415,155.6
1787891967.560,45,1,3415,155.6
1787891967.760,45,1,3415,156.4
1787891967.961,45,1,3415,156.4
1787891968.161,45,1,3415,156.4
1787891968.361,45,1,3415,149.9
1787891968.562,45,1,3415,149.9
1787891968.762,36,1,3415,149.2
1787891968.963,36,1,3415,149.2
1787891969.163,36,1,3415,149.2
1787891969.363,36,1,3415,154.4
1787891969.564,36,1,3415,154.4
1787891969.764,1,0,3415,137.9
1787891969.964,1,0,3415,137.9
1787891970.165,1,0,3415,137.9
1787891970.365,1,0,3415,107.3
1787891970.565,1,0,3415,107.3
1787891970.766,0,0,3415,94.9
1787891970.966,0,0,3415,94.9
1787891971.166,0,0,3415,94.9
1787891971.366,0,0,3415,82.1
1787891971.567,0,0,3415,82.1
1787891971.767,0,0,3415,68.9
1787891971.968,0,0,3415,68.9
1787891972.168,0,0,3415,68.9
1787891972.369,0,0,3415,68.4
1787891972.569,0,0,3415,68.4
1787891972.769,0,0,3415,68.2
1787891972.970,0,0,3415,68.2
1787891973.172,0,0,3415,68.2
1787891973.372,0,0,3415,72.0
1787891973.573,0,0,3415,72.0
1787891973.773,17,0,3415,92.0
1787891973.974,17,0,3415,92.0
1787891974.174,17,0,3415,92.0
1787891974.374,17,0,3415,112.2
1787891974.575,17,0,3415,112.2
1787891974.775,17,0,3415,112.1
1787891974.976,17,0,3415,112.1
1787891975.176,17,0,3415,112.1
1787891975.377,17,0,3415,112.0
1787891975.577,17,0,3415,112.0
1787891975.778,18,0,3415,113.0
1787891975.978,18,0,3415,113.0
1787891976.179,18,0,3415,113.0
1787891976.379,18,0,3415,113.7
1787891976.579,18,0,3415,113.7
1787891976.780,17,0,3415,113.6
1787891976.980,17,0,3415,113.6
1787891977.180,17,0,3415,113.6
1787891977.381,17,0,3415,113.2
1787891977.581,17,0,3415,113.2
1787891977.782,17,0,3415,112.8
1787891977.982,17,0,3415,112.8
1787891978.182,17,0,3415,112.8
1787891978.383,17,0,3415,112.4
1787891978.583,17,0,3415,112.4
1787891978.784,0,0,3415,103.4
1787891978.984,0,0,3415,103.4
1787891979.184,0,0,3415,103.4
1787891979.385,0,0,3415,84.2
1787891979.585,0,0,3415,84.2
1787891979.785,0,0,3415,69.4
1787891979.986,0,0,3415,69.4
1787891980.186,0,0,3415,69.4
1787891980.387,0,0,3415,69.4
1787891980.587,0,0,3415,69.4
1787891980.787,0,0,3415,69.5
1787891980.988,0,0,3415,69.5
1787891981.188,0,0,3415,69.5
1787891981.389,0,0,3415,69.3
1787891981.589,0,0,3415,69.3
1787891981.789,0,0,3415,68.9
1787891981.989,0,0,3415,68.9
1787891982.190,0,0,3415,68.9
1787891982.390,0,0,3415,68.2
1787891982.591,0,0,3415,68.2
1787891982.791,5,0,3415,67.7
1787891982.991,5,0,3415,67.7
1787891983.192,5,0,3415,67.7
1787891983.392,5,0,3415,69.2
1787891983.593,5,0,3415,69.2
1787891983.793,0,0,3415,69.4
1787891983.993,0,0,3415,69.4
1787891984.194,0,0,3415,69.4
1787891984.394,0,0,3415,67.6
1787891984.594,0,0,3415,67.6
1787891984.795,0,0,3415,66.9
1787891984.995,0,0,3415,66.9
1787891985.195,0,0,3415,66.9
1787891985.396,0,0,3415,66.3
1787891985.596,0,0,3415,66.3
1787891985.797,0,0,3415,66.6
1787891985.997,0,0,3415,66.6
1787891986.198,0,0,3415,66.6
1787891986.398,0,0,3415,66.7
1787891986.598,0,0,3415,66.7
1787891986.799,0,0,3415,66.8
1787891986.999,0,0,3415,66.8
1787891987.200,0,0,3415,66.8
1787891987.400,0,0,3415,67.0
1787891987.601,0,0,3415,67.0
1787891987.801,0,0,3415,66.8
1787891988.001,0,0,3415,66.8
1787891988.202,0,0,3415,66.8
1787891988.402,0,0,3415,66.8
1787891988.603,0,0,3415,66.8
1787891988.803,0,0,3415,66.9
1787891989.003,0,0,3415,66.9
1787891989.204,0,0,3415,66.9
1787891989.404,0,0,3415,67.1
1787891989.605,0,0,3415,67.1
1787891989.805,0,0,3415,67.2
1787891990.006,0,0,3415,67.2
1787891990.206,0,0,3415,67.2
1787891990.406,0,0,3415,66.9
1787891990.607,0,0,3415,66.9
1787891990.807,0,0,3415,66.5
1787891991.008,0,0,3415,66.5
1787891991.208,0,0,3415,66.5
1787891991.408,0,0,3415,66.2
1787891991.609,0,0,3415,66.2
1787891991.809,0,0,3415,65.7
1787891992.009,0,0,3415,65.7
1787891992.210,0,0,3415,65.7
1787891992.410,0,0,3415,65.4
1787891992.611,0,0,3415,65.4
1787891992.811,65,2,3415,83.2
1787891993.012,65,2,3415,83.2
1787891993.212,65,2,3415,83.2
1787891993.413,65,2,3415,148.3
1787891993.613,65,2,3415,148.3
1787891993.813,64,2,3415,191.6
1787891994.014,64,2,3415,191.6
1787891994.214,64,2,3415,191.6
1787891994.414,64,2,3415,196.0
1787891994.615,64,2,3415,196.0
1787891994.815,54,2,3415,195.7
1787891995.016,54,2,3415,195.7
1787891995.216,54,2,3415,195.7
1787891995.417,54,2,3415,186.4
1787891995.617,54,2,3415,186.4
1787891995.817,66,2,3415,189.2
1787891996.018,66,2,3415,189.2
1787891996.218,66,2,3415,189.2
1787891996.419,66,2,3415,192.9
1787891996.619,66,2,3415,192.9
1787891996.820,55,2,3415,189.7
1787891997.020,55,2,3415,189.7
1787891997.220,55,2,3415,189.7
1787891997.421,55,2,3415,190.4
1787891997.621,55,2,3415,190.4
1787891997.821,67,2,3415,188.3
1787891998.022,67,2,3415,188.3
1787891998.222,67,2,3415,181.8
1787891998.423,67,2,3415,181.8
1787891998.623,67,2,3415,181.8
1787891998.823,58,2,3415,185.1
1787891999.024,58,2,3415,185.1
1787891999.224,58,2,3415,194.5
1787891999.425,58,2,3415,194.5
1787891999.625,58,2,3415,194.5
1787891999.826,63,2,3415,200.9
1787892000.026,63,2,3415,200.9
1787892000.227,63,2,3415,162.1
1787892000.427,63,2,3415,162.1
1787892000.628,63,2,3415,162.1
1787892000.829,1,0,3415,111.7
1787892001.029,1,0,3415,111.7
1787892001.230,1,0,3415,96.9
1787892001.430,1,0,3415,96.9
1787892001.631,1,0,3415,96.9
1787892001.831,7,0,3415,95.9
1787892002.032,7,0,3415,95.9
1787892002.232,7,0,3415,130.9
1787892002.432,7,0,3415,130.9
1787892002.633,7,0,3415,130.9
1787892002.833,40,2,3415,174.9
1787892003.033,40,2,3415,174.9
1787892003.234,40,2,3415,175.7
1787892003.434,40,2,3415,175.7
1787892003.635,40,2,3415,175.7
1787892003.835,47,2,3415,172.1
1787892004.035,47,2,3415,172.1
1787892004.236,47,2,3415,172.7
1787892004.436,47,2,3415,172.7
1787892004.637,47,2,3415,172.7
1787892004.837,50,2,3415,174.2
1787892005.037,50,2,3415,174.2
1787892005.238,50,2,3415,176.6
1787892005.438,50,2,3415,176.6
1787892005.639,50,2,3415,176.6
1787892005.839,48,2,3415,175.2
1787892006.039,48,2,3415,175.2
1787892006.240,48,2,3415,170.4
1787892006.440,48,2,3415,170.4
1787892006.641,48,2,3415,170.4
1787892006.841,52,2,3415,172.1
1787892007.041,52,2,3415,172.1
1787892007.242,52,2,3415,171.9
1787892007.442,52,2,3415,171.9
1787892007.643,52,2,3415,171.9
1787892007.843,49,2,3415,169.2
1787892008.044,49,2,3415,169.2
1787892008.244,49,2,3415,174.2
1787892008.444,49,2,3415,174.2
1787892008.645,49,2,3415,174.2
1787892008.845,1,0,3415,150.3
1787892009.045,1,0,3415,150.3
1787892009.246,1,0,3415,105.4
1787892009.446,1,0,3415,105.4
1787892009.647,1,0,3415,105.4
1787892009.847,1,0,3415,96.2
1787892010.047,1,0,3415,96.2
1787892010.248,1,0,3415,91.4
1787892010.448,1,0,3415,91.4
1787892010.649,1,0,3415,91.4
1787892010.849,1,0,3415,78.2
1787892011.049,1,0,3415,78.2
1787892011.250,1,0,3415,67.1
1787892011.450,1,0,3415,67.1
1787892011.651,1,0,3415,67.1
1787892011.851,1,0,3415,66.8
1787892012.052,1,0,3415,66.8
1787892012.253,1,0,3415,66.8
1787892012.453,1,0,3415,66.8
1787892012.654,1,0,3415,66.8
1787892012.854,8,0,3415,67.0
1787892013.054,8,0,3415,67.0
1787892013.255,8,0,3415,93.6
1787892013.455,8,0,3415,93.6
1787892013.656,8,0,3415,93.6
1787892013.856,37,1,3415,130.1
1787892014.056,37,1,3415,130.1
1787892014.257,37,1,3415,149.1
1787892014.457,37,1,3415,149.1
1787892014.658,37,1,3415,149.1
1787892014.858,35,1,3415,149.5
1787892015.059,35,1,3415,149.5
1787892015.259,35,1,3415,152.6
1787892015.459,35,1,3415,152.6
1787892015.660,35,1,3415,152.6
1787892015.860,38,1,3415,153.2
1787892016.061,38,1,3415,153.2
1787892016.261,38,1,3415,149.4
1787892016.462,38,1,3415,149.4
1787892016.662,38,1,3415,149.4
1787892016.862,35,1,3415,150.5
1787892017.063,35,1,3415,150.5
1787892017.263,35,1,3415,154.0
1787892017.464,35,1,3415,154.0
1787892017.664,35,1,3415,154.0
1787892017.864,33,1,3415,153.4
1787892018.065,33,1,3415,153.4
1787892018.265,33,1,3415,154.0
1787892018.466,33,1,3415,154.0
1787892018.666,33,1,3415,154.0
1787892018.867,32,1,3415,151.7
1787892019.067,32,1,3415,151.7
1787892019.267,32,1,3415,129.7
1787892019.468,32,1,3415,129.7
1787892019.668,32,1,3415,129.7
1787892019.869,0,0,3415,88.8
1787892020.069,0,0,3415,88.8
1787892020.270,0,0,3415,66.9
1787892020.470,0,0,3415,66.9
1787892020.671,0,0,3415,66.9
1787892020.871,0,0,3415,66.4
1787892021.072,0,0,3415,66.4
1787892021.272,0,0,3415,66.1
1787892021.473,0,0,3415,66.1
1787892021.673,0,0,3415,66.1
1787892021.874,0,0,3415,65.8
1787892022.074,0,0,3415,65.8
1787892022.275,0,0,3415,65.9
1787892022.475,0,0,3415,65.9
1787892022.676,0,0,3415,65.9
1787892022.876,21,0,3415,76.8
1787892023.077,21,0,3415,76.8
1787892023.277,21,0,3415,98.0
1787892023.478,21,0,3415,98.0
1787892023.678,21,0,3415,98.0
1787892023.878,20,0,3415,112.8
1787892024.079,20,0,3415,112.8
1787892024.279,20,0,3415,112.7
1787892024.480,20,0,3415,112.7
1787892024.680,20,0,3415,112.7
1787892024.881,19,0,3415,112.5
1787892025.081,19,0,3415,112.5
1787892025.282,19,0,3415,113.2
1787892025.482,19,0,3415,113.2
1787892025.682,19,0,3415,113.2
1787892025.883,21,0,3415,113.6
1787892026.083,21,0,3415,113.6
1787892026.284,21,0,3415,114.5
1787892026.484,21,0,3415,114.5
1787892026.684,21,0,3415,114.5
1787892026.885,17,0,3415,113.8
1787892027.085,17,0,3415,113.8
1787892027.286,17,0,3415,112.2
1787892027.486,17,0,3415,112.2
1787892027.687,17,0,3415,112.2
1787892027.887,24,0,3415,112.1
1787892028.087,24,0,3415,112.1
1787892028.288,24,0,3415,94.5
1787892028.488,24,0,3415,94.5
1787892028.689,24,0,3415,94.5
1787892028.889,0,0,3415,71.6
1787892029.090,0,0,3415,71.6
1787892029.290,0,0,3415,68.1
1787892029.490,0,0,3415,68.1
1787892029.691,0,0,3415,68.1
1787892029.891,0,0,3415,66.3
1787892030.092,0,0,3415,66.3
1787892030.292,0,0,3415,66.4
1787892030.492,0,0,3415,66.4
1787892030.693,0,0,3415,66.4
1787892030.893,0,0,3415,66.1
1787892031.094,0,0,3415,66.1
1787892031.294,0,0,3415,65.8
1787892031.494,0,0,3415,65.8
1787892031.695,0,0,3415,65.8
1787892031.895,0,0,3415,66.0
1787892032.096,0,0,3415,66.0
1787892032.296,0,0,3415,66.0
1787892032.497,0,0,3415,66.0
1787892032.697,0,0,3415,66.0
1787892032.897,0,0,3415,66.1
1787892033.098,0,0,3415,66.1
1787892033.298,0,0,3415,66.3
1787892033.499,0,0,3415,66.3
1787892033.699,0,0,3415,66.3
1787892033.900,0,0,3415,66.5
1787892034.100,0,0,3415,66.5
1787892034.300,0,0,3415,66.3
1787892034.501,0,0,3415,66.3
1787892034.701,0,0,3415,66.3
1787892034.902,0,0,3415,65.9
1787892035.102,0,0,3415,65.9
1787892035.303,0,0,3415,65.9
1787892035.503,0,0,3415,65.9
1787892035.704,0,0,3415,65.9
1787892035.904,0,0,3415,66.0
1787892036.105,0,0,3415,66.0
1787892036.305,0,0,3415,65.8
1787892036.505,0,0,3415,65.8
1787892036.706,0,0,3415,65.8
1787892036.906,0,0,3415,65.2
1787892037.107,0,0,3415,65.2
1787892037.307,0,0,3415,64.9
1787892037.508,0,0,3415,64.9
1787892037.708,0,0,3415,64.9
1787892037.908,0,0,3415,64.8
1787892038.109,0,0,3415,64.8
1787892038.309,0,0,3415,65.1
1787892038.510,0,0,3415,65.1
1787892038.710,0,0,3415,65.1
1787892038.911,0,0,3415,65.6
1787892039.111,0,0,3415,65.6
1787892039.312,0,0,3415,65.7
1787892039.512,0,0,3415,65.7
1787892039.712,0,0,3415,65.7
1787892039.913,0,0,3415,65.7
1787892040.113,0,0,3415,65.7
1787892040.314,0,0,3415,65.7
1787892040.514,0,0,3415,65.7
1787892040.715,0,0,3415,66.0
1787892040.915,0,0,3415,66.0
1787892041.115,0,0,3415,66.0
1787892041.316,0,0,3415,65.9
1787892041.517,0,0,3415,65.9
1787892041.717,0,0,3415,65.4
1787892041.918,0,0,3415,65.4
1787892042.118,0,0,3415,65.4
1787892042.318,0,0,3415,96.0
1787892042.519,0,0,3415,96.0
1787892042.719,62,2,3415,150.6
1787892042.919,62,2,3415,150.6
1787892043.120,62,2,3415,150.6
1787892043.320,62,2,3415,182.7
1787892043.521,62,2,3415,182.7
1787892043.721,56,2,3415,184.9
1787892043.921,56,2,3415,184.9
1787892044.122,56,2,3415,184.9
1787892044.322,56,2,3415,188.4
1787892044.523,56,2,3415,188.4
1787892044.723,72,3,3415,197.4
1787892044.924,72,3,3415,197.4
1787892045.125,72,3,3415,197.4
1787892045.325,72,3,3415,200.9
1787892045.526,72,3,3415,200.9
1787892045.726,52,2,3415,191.6
1787892045.926,52,2,3415,191.6
1787892046.127,52,2,3415,191.6
1787892046.327,52,2,3415,187.2
1787892046.528,52,2,3415,187.2
1787892046.728,55,2,3415,186.0
1787892046.929,55,2,3415,186.0
1787892047.129,55,2,3415,186.0
1787892047.330,55,2,3415,190.4
1787892047.530,55,2,3415,190.4
1787892047.731,54,2,3415,196.4
1787892047.931,54,2,3415,196.4
1787892048.131,54,2,3415,196.4
1787892048.332,54,2,3415,195.2
1787892048.532,54,2,3415,195.2
1787892048.733,61,2,3415,195.1
1787892048.933,61,2,3415,195.1
1787892049.133,61,2,3415,195.1
1787892049.334,61,2,3415,181.4
1787892049.534,61,2,3415,181.4
1787892049.735,0,0,3415,137.1
1787892049.935,0,0,3415,137.1
1787892050.135,0,0,3415,137.1
1787892050.336,0,0,3415,97.5
1787892050.536,0,0,3415,97.5
1787892050.737,0,0,3415,96.3
1787892050.937,0,0,3415,96.3
1787892051.138,0,0,3415,96.3
1787892051.338,0,0,3415,104.9
1787892051.539,0,0,3415,104.9
1787892051.739,50,2,3415,139.1
1787892051.939,50,2,3415,139.1
1787892052.140,50,2,3415,139.1
1787892052.340,50,2,3415,169.1
1787892052.541,50,2,3415,169.1
1787892052.741,49,2,3415,171.0
1787892052.941,49,2,3415,171.0
1787892053.142,49,2,3415,171.0
1787892053.342,49,2,3415,172.5
1787892053.543,49,2,3415,172.5
1787892053.743,49,2,3415,172.7
1787892053.944,49,2,3415,172.7
1787892054.144,49,2,3415,172.7
