size,delta_frames,delta_ms,retention,one_minus_ret,A_b,sap_loss_proxy
small,1,33.3,0.7231,0.2769,0.0159,0.0044
medium,1,33.3,0.7886,0.2114,0.1839,0.0389
large,1,33.3,0.8845,0.1155,0.4768,0.0551
small,2,66.7,0.5703,0.4297,0.0159,0.0068
medium,2,66.7,0.6605,0.3395,0.1839,0.0624
large,2,66.7,0.7742,0.2258,0.4768,0.1077
small,3,100.0,0.4742,0.5258,0.0159,0.0084
medium,3,100.0,0.5779,0.4221,0.1839,0.0776
large,3,100.0,0.6886,0.3114,0.4768,0.1485
small,4,133.3,0.4104,0.5896,0.0159,0.0094
medium,4,133.3,0.5198,0.4802,0.1839,0.0883
large,4,133.3,0.6207,0.3793,0.4768,0.1809
small,5,166.7,0.3659,0.6341,0.0159,0.0101
medium,5,166.7,0.4755,0.5245,0.1839,0.0964
large,5,166.7,0.5644,0.4356,0.4768,0.2077
