size,fp32_score,int8_score
small,0.4801787138,0.2930911481
small,0.448581934,0.2930911481
small,0.4184086323,0.2930911481
small,0.5075501204,0.2930911481
small,0.4652273357,0.3406691849
small,0.534463048,0.4207999408
small,0.5403642058,0.4207999408
small,0.5389344096,0.4207999408
small,0.5531955957,0.4207999408
small,0.5371533036,0.5548050404
small,0.6188457012,0.6083088517
small,0.639236927,0.5548050404
small,0.6368391514,0.6083088517
small,0.6754094958,0.6083088517
small,0.6624894738,0.7069088221
small,0.5773613453,0.3916911483
small,0.695933938,0.5548050404
small,0.7032466531,0.6083088517
small,0.667178154,0.5
small,0.5713880062,0.4207999408
small,0.6919126511,0.5548050404
small,0.6731354594,0.4451949298
small,0.6464331746,0.5548050404
small,0.5993064642,0.2930911481
small,0.6116765141,0.3916911483
small,0.6327046752,0.2930911481
small,0.6004403234,0.3406691849
small,0.604506135,0.2930911481
small,0.6666246057,0.4451949298
small,0.6719142795,0.3916911483
small,0.4127869308,0.2930911481
small,0.3777769506,0.2930911481
small,0.4083514214,0.2930911481
small,0.5053139329,0.5
small,0.4380676448,0.3406691849
small,0.5545055866,0.5
small,0.5526252985,0.3916911483
small,0.6863215566,0.5548050404
small,0.6260393262,0.5
small,0.5817433596,0.3916911483
small,0.5496866703,0.3406691849
small,0.605917275,0.4451949298
small,0.5929555297,0.4451949298
small,0.5516902208,0.3916911483
small,0.5044587851,0.3916911483
small,0.4629249871,0.2930911481
small,0.4139992297,0.2930911481
small,0.4876069129,0.3406691849
small,0.5038606524,0.2930911481
small,0.5668597817,0.4451949298
small,0.5662778616,0.5
small,0.5222278833,0.3406691849
small,0.4679343104,0.3406691849
small,0.5190916061,0.3916911483
small,0.5305923223,0.3916911483
small,0.5709306598,0.3916911483
small,0.5888745785,0.3916911483
small,0.5587276816,0.2930911481
small,0.5724597573,0.3406691849
small,0.5379344821,0.3406691849
small,0.5340830684,0.3916911483
small,0.4855989814,0.2930911481
small,0.5287294388,0.4451949298
small,0.3971777856,0.3916911483
small,0.4721926451,0.3916911483
small,0.5523185134,0.5548050404
small,0.5313606858,0.4451949298
small,0.4421793818,0.4451949298
small,0.4447937012,0.4451949298
small,0.5023190975,0.5
small,0.53110677,0.4451949298
small,0.5080795288,0.3916911483
small,0.5217276812,0.3916911483
small,0.4628751278,0.2930911481
small,0.5510719419,0.4451949298
small,0.5137063265,0.3916911483
small,0.533538878,0.5
small,0.4828960896,0.3916911483
small,0.2794260383,0.2930911481
small,0.2825985849,0.2930911481
small,0.4512296915,0.3916911483
small,0.3936702013,0.3916911483
small,0.3634696901,0.3406691849
small,0.3106800616,0.3406691849
small,0.3964281976,0.2930911481
small,0.2893081605,0.2930911481
small,0.395062834,0.3406691849
small,0.3861601651,0.3406691849
small,0.3548451364,0.2930911481
small,0.326477319,0.2930911481
small,0.3885201216,0.3916911483
small,0.3733457923,0.3406691849
small,0.3684824705,0.3406691849
small,0.3816004992,0.2930911481
small,0.4621105492,0.3406691849
small,0.4772976935,0.3406691849
small,0.4721474648,0.4451949298
small,0.4935771227,0.5
small,0.4097126722,0.3916911483
small,0.4573090374,0.4451949298
small,0.3906787932,0.2930911481
small,0.4796909988,0.5
small,0.4716643095,0.3916911483
small,0.5245090723,0.4451949298
small,0.3416629434,0.3916911483
small,0.3521086872,0.3916911483
small,0.3050631285,0.3406691849
small,0.51042068,0.4451949298
small,0.3326820731,0.4451949298
small,0.44841519,0.3916911483
small,0.4324318171,0.4451949298
small,0.3634370267,0.3406691849
small,0.3586493731,0.3916911483
small,0.3004620671,0.2930911481
small,0.3548252881,0.2930911481
small,0.3091267645,0.2771843374
small,0.4425889552,0.4451949298
small,0.4837708473,0.3406691849
small,0.4518557489,0.3916911483
small,0.4861018956,0.4451949298
small,0.381426096,0.2930911481
small,0.5668806434,0.3916911483
small,0.4613224864,0.3916911483
small,0.5662902594,0.5548050404
small,0.567677021,0.5548050404
small,0.3944729269,0.2930911481
small,0.6067553759,0.5548050404
small,0.5461945534,0.4451949298
small,0.5144677162,0.4451949298
small,0.5410226583,0.5
small,0.4357676208,0.3406691849
small,0.4045430422,0.3916911483
small,0.3496472538,0.3406691849
small,0.4652171135,0.3916911483
small,0.3589947224,0.3406691849
small,0.3956731558,0.3406691849
small,0.3596838713,0.2930911481
small,0.3263462782,0.2930911481
small,0.3518476486,0.3406691849
small,0.3380671144,0.2930911481
small,0.4305801094,0.3406691849
small,0.5187942386,0.3916911483
small,0.4860880375,0.2930911481
small,0.4597130418,0.3406691849
small,0.4574377537,0.3406691849
small,0.4477258325,0.3406691849
small,0.391122669,0.2771843374
small,0.3399928212,0.2930911481
small,0.3502640128,0.2930911481
small,0.3546608984,0.2930911481
small,0.3312340081,0.2930911481
small,0.3141869605,0.2771843374
small,0.3449276686,0.3406691849
small,0.3808536232,0.2930911481
small,0.3597699702,0.3916911483
small,0.3550761938,0.2930911481
small,0.357509464,0.3406691849
small,0.2630823255,0.2930911481
small,0.4415065348,0.2930911481
small,0.4683847427,0.3916911483
small,0.2629268169,0.2930911481
small,0.399623096,0.5
small,0.5088918209,0.3916911483
small,0.45366624,0.3406691849
small,0.2986373603,0.2930911481
small,0.4341398478,0.3916911483
small,0.3894515038,0.2930911481
small,0.3488084674,0.2930911481
small,0.3971001804,0.2930911481
small,0.3208963275,0.2930911481
small,0.3533438742,0.2930911481
small,0.2726837695,0.2930911481
small,0.4311401546,0.3916911483
small,0.4081732929,0.3916911483
small,0.5554144979,0.4451949298
small,0.4713287354,0.4451949298
small,0.4534029663,0.3406691849
small,0.4947449267,0.3916911483
small,0.4600707591,0.2930911481
small,0.4203541577,0.2930911481
small,0.4150145948,0.3406691849
small,0.4782778025,0.4451949298
small,0.4046891928,0.3406691849
small,0.312122792,0.2930911481
small,0.3479076326,0.2930911481
small,0.5200816989,0.5548050404
small,0.4836674333,0.3916911483
small,0.3899353147,0.4451949298
small,0.349522531,0.3454769254
small,0.4787123203,0.3916911483
small,0.4318983853,0.2930911481
small,0.5603125691,0.5548050404
small,0.547183156,0.4451949298
small,0.61330688,0.5548050404
small,0.4800935388,0.5
small,0.5170219541,0.5
small,0.5328054428,0.5
small,0.2914072275,0.2930911481
small,0.6307695508,0.5548050404
small,0.4742732644,0.4451949298
small,0.5070815086,0.5
small,0.3524768651,0.3406691849
small,0.5026471019,0.5548050404
small,0.4343073368,0.3916911483
small,0.4077587128,0.2930911481
small,0.5199010372,0.3916911483
small,0.3519746661,0.3406691849
small,0.3081459403,0.2930911481
small,0.4967058003,0.4451949298
small,0.5756683946,0.4451949298
small,0.6081511974,0.5548050404
small,0.638179481,0.6083088517
small,0.5915142894,0.4451949298
small,0.5950346589,0.3406691849
small,0.4104075432,0.4451949298
small,0.560700655,0.3916911483
small,0.3287853003,0.2930911481
small,0.5634947419,0.2930911481
small,0.4657251537,0.3916911483
small,0.4938598275,0.3406691849
small,0.492497772,0.3916911483
small,0.4921359122,0.3406691849
small,0.5149646401,0.4451949298
small,0.4715114832,0.3406691849
small,0.416914165,0.3916911483
small,0.3890196085,0.2930911481
small,0.4608729184,0.3916911483
small,0.4510145485,0.3406691849
small,0.4257024527,0.3406691849
small,0.6665586829,0.5
small,0.4617865682,0.3406691849
small,0.3969008923,0.2930911481
small,0.632149756,0.3916911483
small,0.5408045053,0.3406691849
small,0.4152396321,0.3406691849
small,0.6833800673,0.4451949298
small,0.6825708747,0.6083088517
small,0.6407023668,0.5
small,0.4167646766,0.2930911481
small,0.2505424619,0.2930911481
small,0.6672683358,0.5548050404
small,0.4875442386,0.3406691849
small,0.6261337399,0.5
small,0.3589940369,0.2930911481
small,0.6370962858,0.5
small,0.474607408,0.3916911483
small,0.525112927,0.3916911483
small,0.3467175663,0.2771843374
small,0.5865050554,0.4451949298
small,0.4161458313,0.3916911483
small,0.2957282364,0.2771843374
small,0.5321198106,0.5
small,0.5114292502,0.5
small,0.4726678431,0.4451949298
small,0.4621814489,0.3454769254
small,0.5384352803,0.5
small,0.4340969622,0.3916911483
small,0.4133291543,0.2771843374
small,0.6228046417,0.5548050404
small,0.458512336,0.3454769254
small,0.4286264181,0.4207999408
small,0.3810074329,0.5
small,0.6340905428,0.5
small,0.3944904506,0.4451949298
small,0.3434216976,0.3454769254
small,0.6732233763,0.6083088517
small,0.3553428948,0.2930911481
small,0.3508072495,0.2771843374
small,0.3209553361,0.3406691849
small,0.5144127011,0.5548050404
small,0.4523207247,0.5
small,0.3619816601,0.2930911481
small,0.3321967721,0.3406691849
small,0.6473607421,0.5548050404
small,0.4329912663,0.4451949298
small,0.4175483882,0.2930911481
small,0.3447760046,0.2930911481
small,0.6789636016,0.5548050404
small,0.5955157876,0.5
small,0.4511831403,0.3916911483
small,0.4282221794,0.4451949298
small,0.3860740364,0.2930911481
small,0.3426428437,0.3406691849
small,0.3244307935,0.2930911481
small,0.6007784605,0.5
small,0.2868574262,0.3406691849
small,0.6015309095,0.5548050404
small,0.4119808674,0.3406691849
small,0.4080359936,0.2930911481
small,0.3941412568,0.2930911481
small,0.3353601992,0.2930911481
small,0.4297090769,0.3916911483
small,0.3645535111,0.2930911481
small,0.5545689464,0.4451949298
small,0.6883702874,0.6083088517
small,0.5053015351,0.3406691849
small,0.7084667087,0.6083088517
small,0.5060059428,0.2930911481
small,0.7007048726,0.7069088221
small,0.6137925982,0.5548050404
small,0.4173320234,0.3916911483
small,0.6381145716,0.579200089
small,0.4873898327,0.5
small,0.3010882437,0.3406691849
small,0.6373423338,0.579200089
small,0.4294366241,0.3406691849
small,0.6768643856,0.5548050404
small,0.7411353588,0.6593308449
small,0.5785435438,0.4451949298
small,0.3666616976,0.2930911481
small,0.7165915966,0.6593308449
small,0.7067305446,0.6083088517
small,0.56480515,0.4451949298
small,0.2881395221,0.2930911481
small,0.5288573503,0.3916911483
small,0.6671457291,0.5
small,0.5448368788,0.4451949298
small,0.3819473684,0.3916911483
small,0.5943434238,0.4451949298
small,0.5527250171,0.3406691849
small,0.3654060364,0.3916911483
small,0.5009863377,0.3406691849
small,0.4282658696,0.3406691849
small,0.5297302604,0.3916911483
small,0.4270578623,0.3406691849
small,0.5317394137,0.4451949298
small,0.5032123923,0.2930911481
small,0.3884442449,0.2930911481
small,0.5253074765,0.3916911483
small,0.4219197333,0.2930911481
small,0.4729922414,0.3916911483
small,0.385378927,0.3406691849
small,0.5549406409,0.2930911481
small,0.4170185328,0.3916911483
small,0.5631518364,0.5
small,0.5516945124,0.2930911481
small,0.6423051357,0.4451949298
small,0.5376912355,0.3406691849
small,0.4457651377,0.2930911481
small,0.6687784791,0.5
small,0.4570898414,0.2930911481
small,0.3845796287,0.3406691849
small,0.655179441,0.6083088517
small,0.5540651679,0.4451949298
small,0.3509064913,0.3916911483
small,0.6668216586,0.5548050404
small,0.6210544109,0.4451949298
small,0.7104101777,0.5548050404
small,0.4730039239,0.2930911481
small,0.7157871127,0.6593308449
small,0.6384561062,0.4451949298
small,0.6895939112,0.6593308449
small,0.7102316022,0.6083088517
small,0.6438956261,0.6083088517
small,0.51798594,0.3916911483
small,0.4843088388,0.4207999408
small,0.5309146643,0.3454769254
small,0.3909219503,0.3406691849
small,0.5434780717,0.4207999408
small,0.4805313051,0.4207999408
small,0.4737796485,0.2930911481
small,0.5991716385,0.4451949298
small,0.4414204657,0.3406691849
small,0.6757451892,0.5548050404
small,0.7002989054,0.5548050404
small,0.5623299479,0.3406691849
small,0.643691361,0.5548050404
small,0.5424739718,0.4451949298
small,0.6202397943,0.5
small,0.4784069657,0.3916911483
small,0.5899987221,0.5
small,0.5264285803,0.2930911481
small,0.5170298815,0.3916911483
small,0.4863670468,0.3406691849
small,0.390535742,0.2930911481
small,0.5491665602,0.3916911483
small,0.6029769778,0.3916911483
small,0.5100849271,0.4451949298
small,0.5090996623,0.4207999408
small,0.576279521,0.5
small,0.4968677461,0.4207999408
small,0.5669284463,0.5
small,0.4596942961,0.3454769254
small,0.3684691489,0.3454769254
small,0.5671510696,0.5
small,0.5512538552,0.5
small,0.4585179687,0.3916911483
small,0.4530545771,0.2771843374
small,0.3934378624,0.2930911481
small,0.3816160262,0.2930911481
small,0.4746913016,0.4451949298
small,0.5274059176,0.4207999408
small,0.4769329727,0.4207999408
small,0.3851011693,0.2771843374
small,0.3440723121,0.3916911483
small,0.5445592403,0.5
small,0.4730233848,0.2771843374
small,0.4373993874,0.2771843374
small,0.4066339135,0.3454769254
small,0.3883599639,0.2930911481
small,0.5874393582,0.4451949298
small,0.5193699002,0.3406691849
small,0.4314912856,0.3406691849
small,0.6150043011,0.4207999408
small,0.4251285195,0.2930911481
small,0.5352270007,0.2771843374
small,0.5388358235,0.3454769254
small,0.4703170061,0.2930911481
small,0.6157796383,0.5
small,0.4389704764,0.2771843374
small,0.4720167518,0.4451949298
small,0.4771822989,0.4451949298
small,0.3684349954,0.3916911483
small,0.3717072606,0.3406691849
small,0.4699031711,0.3916911483
small,0.4861914814,0.3406691849
small,0.3770058453,0.3406691849
small,0.4473761022,0.3406691849
small,0.5166668892,0.5
small,0.4142019153,0.3406691849
small,0.5714148879,0.3916911483
small,0.4025746882,0.2930911481
small,0.5319844484,0.3454769254
small,0.5279110074,0.3916911483
small,0.5384760499,0.4451949298
small,0.4422332644,0.2930911481
small,0.484691143,0.4207999408
small,0.4259242117,0.3916911483
small,0.4009117186,0.3406691849
small,0.3705238402,0.2930911481
small,0.3159226775,0.2771843374
small,0.4495304227,0.3454769254
small,0.4398331046,0.2930911481
small,0.5000450611,0.4207999408
small,0.4389472306,0.3454769254
small,0.4015262127,0.3406691849
small,0.2999631763,0.2930911481
small,0.4158529937,0.3916911483
small,0.4029226601,0.3454769254
small,0.3458656669,0.4207999408
small,0.3321993053,0.3406691849
small,0.4146530032,0.3406691849
small,0.448874265,0.3916911483
small,0.544727087,0.5548050404
small,0.5845071673,0.5
small,0.5690967441,0.5
small,0.5415095091,0.5
small,0.399579376,0.4451949298
small,0.5997377038,0.5
small,0.5765969157,0.4207999408
small,0.6266631484,0.5
small,0.6340024471,0.5548050404
small,0.5684614182,0.5
small,0.3847929537,0.2930911481
small,0.30938223,0.2930911481
small,0.540068388,0.5
small,0.3702838719,0.2930911481
small,0.5439382195,0.5
small,0.6517246962,0.6083088517
small,0.6246596575,0.5548050404
small,0.5985743999,0.5548050404
small,0.600733757,0.5548050404
small,0.5046669245,0.3916911483
small,0.4878909588,0.3916911483
small,0.4944493473,0.4451949298
small,0.537954092,0.4451949298
small,0.5606691837,0.5
small,0.5548155904,0.4451949298
