N,k,gpu_skip_mean,allgpu_worst,allgpu_worst_std,allnpu_worst,allnpu_worst_std
2,0,0.0,0.1149,0.0,0.0836,0.0
2,1,0.0,0.1149,0.0,,
2,2,3.2,0.1132,0.0005,,
2,3,9.0,0.1114,0.0006,,
2,4,12.2,0.1067,0.0027,,
2,6,23.0,0.1011,0.0028,,
2,8,34.9,0.0944,0.003,0.0835,0.0001
2,10,41.3,0.0877,0.0003,,
2,12,52.1,0.0797,0.0031,,
2,16,59.3,0.0773,0.0032,,
4,0,0.0,0.1149,0.0,0.0836,0.0001
4,1,24.3,0.0979,0.0037,0.083,0.0004
4,2,45.0,0.0868,0.0027,0.0832,0.0003
4,3,51.5,0.0819,0.0022,0.0833,0.0002
4,4,56.1,0.0788,0.0028,0.0833,0.0003
4,6,62.4,0.0767,0.0016,0.0834,0.0002
4,8,67.3,0.0713,0.0026,0.0836,0.0001
8,0,58.9,0.0714,0.0001,0.0836,0.0
8,1,67.0,0.0567,0.0017,,
8,2,68.8,0.059,0.002,,
8,3,70.6,0.0584,0.0002,,
8,4,72.8,0.0584,0.0022,,
8,6,76.5,0.0564,0.0008,,
8,8,79.6,0.0541,0.0009,0.082,0.0002
