point,strategy,rep,gpu_skip,npu_skip,sAP_small,sAP_medium,sAP_large
skip0,All-GPU,0,0.0,0.0,0.0078,0.1681,0.4587
skip0,All-NPU,0,0.0,0.3,0.0036,0.1304,0.431
skip0,All-GPU,1,0.0,0.0,0.0078,0.1681,0.4587
skip0,All-NPU,1,0.0,0.4,0.0035,0.1305,0.4328
skip0,All-GPU,2,0.0,0.0,0.0078,0.1681,0.4587
skip0,All-NPU,2,0.0,0.3,0.0036,0.1304,0.4326
skip~42,All-GPU,0,26.2,0.0,0.0072,0.1461,0.4062
skip~42,All-NPU,0,0.0,0.9,0.0036,0.1301,0.4327
skip~42,All-GPU,1,34.1,0.0,0.007,0.1435,0.3942
skip~42,All-NPU,1,0.0,0.7,0.0036,0.1302,0.4326
skip~42,All-GPU,2,32.9,0.0,0.0072,0.1413,0.398
skip~42,All-NPU,2,0.0,0.7,0.0035,0.1301,0.432
skip~58,All-GPU,0,57.6,0.0,0.0064,0.1287,0.3619
skip~58,All-NPU,0,0.0,0.2,0.0036,0.1305,0.4329
skip~58,All-GPU,1,60.0,0.0,0.0063,0.1271,0.3645
skip~58,All-NPU,1,0.0,0.4,0.0036,0.1303,0.4328
skip~58,All-GPU,2,58.7,0.0,0.0062,0.1298,0.3641
skip~58,All-NPU,2,0.0,0.4,0.0036,0.1305,0.4328
skip~100,All-GPU,0,100.0,0.0,0.0017,0.0519,0.1326
skip~100,All-NPU,0,0.0,0.8,0.0036,0.1304,0.4321
skip~100,All-GPU,1,100.0,0.0,0.0015,0.0534,0.1367
skip~100,All-NPU,1,0.0,1.1,0.0035,0.13,0.4324
skip~100,All-GPU,2,100.0,0.0,0.0013,0.0527,0.1291
skip~100,All-NPU,2,0.0,1.1,0.0035,0.1302,0.4313
