timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-03 07:59:15,combination_1,17.22,3.06,3.72,4.39,6.06,326.99,268.81,227.88,165.11,48.1483,2.447458
2026-04-03 07:59:16,combination_1,14.01,2.96,3.42,3.92,3.70,338.08,291.98,254.95,270.12,44.7395,3.437963
2026-04-03 07:59:17,combination_1,13.53,2.93,3.54,3.82,3.24,341.55,282.25,261.78,308.52,46.4329,3.777269
2026-04-03 07:59:18,combination_1,14.05,3.33,3.43,3.96,3.34,300.49,291.91,252.34,299.66,46.0242,3.639996
2026-04-03 07:59:19,combination_1,14.70,3.38,3.55,4.11,3.66,296.29,281.46,243.47,273.10,45.7952,3.374248
2026-04-03 07:59:20,combination_1,15.40,3.35,3.52,4.08,4.45,298.28,283.81,245.25,224.76,44.9245,3.025103
2026-04-03 07:59:21,combination_1,15.19,3.29,3.42,3.98,4.51,303.98,292.70,251.50,221.89,45.3980,3.050462
2026-04-03 07:59:22,combination_1,15.09,3.25,3.35,3.95,4.55,307.52,298.72,253.48,219.76,44.5423,3.049271
2026-04-03 07:59:23,combination_1,15.37,3.20,3.38,3.87,4.92,312.71,296.29,258.24,203.17,44.2463,2.960594
2026-04-03 07:59:24,combination_1,15.15,3.11,3.37,3.79,4.88,321.49,296.50,263.62,204.99,44.4140,3.014634
2026-04-03 07:59:25,combination_1,15.15,3.10,3.45,3.69,4.91,323.05,289.75,270.77,203.63,44.7641,3.057963
2026-04-03 07:59:26,combination_1,15.02,3.13,3.46,3.65,4.78,319.20,289.09,273.80,209.23,44.8394,3.122771
2026-04-03 07:59:27,combination_1,15.05,3.20,3.47,3.63,4.75,312.68,288.06,275.57,210.63,44.8758,3.146557
2026-04-03 07:59:28,combination_1,14.97,3.19,3.45,3.63,4.69,313.31,289.51,275.40,213.27,45.0256,3.165023
2026-04-03 07:59:29,combination_1,14.96,3.21,3.47,3.60,4.67,311.24,287.93,277.90,213.98,45.1796,3.189125
2026-04-03 07:59:30,combination_1,14.92,3.23,3.44,3.57,4.69,309.81,290.66,280.35,213.34,45.0893,3.202679
2026-04-03 07:59:31,combination_1,14.80,3.20,3.40,3.57,4.64,312.41,294.20,280.38,215.64,45.2678,3.220208
2026-04-03 07:59:32,combination_1,14.82,3.20,3.38,3.59,4.65,312.29,295.77,278.42,215.26,45.3186,3.202590
2026-04-03 07:59:33,combination_1,14.83,3.23,3.37,3.54,4.68,309.41,296.59,282.41,213.50,45.2444,3.219312
2026-04-03 07:59:34,combination_1,14.67,3.21,3.35,3.51,4.60,311.39,298.85,284.86,217.35,45.3893,3.266622
2026-04-03 07:59:35,combination_1,14.53,3.21,3.34,3.46,4.52,311.62,299.16,289.05,221.24,45.4998,3.327226
2026-04-03 07:59:36,combination_1,14.40,3.21,3.33,3.43,4.43,311.37,300.59,291.35,225.79,45.6325,3.378550
2026-04-03 07:59:37,combination_1,14.20,3.13,3.27,3.42,4.37,319.01,306.02,292.28,228.72,45.7624,3.407520
2026-04-03 07:59:38,combination_1,13.92,3.08,3.21,3.36,4.28,324.67,311.81,297.80,233.76,45.7018,3.486688
2026-04-03 07:59:39,combination_1,13.71,3.04,3.15,3.31,4.22,328.53,317.81,302.28,237.17,45.7969,3.545924
2026-04-03 07:59:40,combination_17,13.51,3.04,3.07,3.28,4.11,329.17,325.52,304.62,243.17,45.5406,3.608421
2026-04-03 07:59:41,combination_17,13.49,3.04,3.09,3.29,4.08,329.27,323.56,304.41,245.00,45.7386,3.620556
2026-04-03 07:59:42,combination_17,13.43,3.03,3.08,3.29,4.03,330.32,324.89,304.18,247.99,45.4521,3.641292
2026-04-03 07:59:43,combination_17,13.43,3.03,3.08,3.30,4.03,330.46,325.20,302.61,248.20,45.5080,3.631081
2026-04-03 07:59:44,combination_17,13.82,3.11,3.17,3.43,4.10,321.23,315.90,291.24,243.73,45.3412,3.512257
2026-04-03 07:59:45,combination_17,14.22,3.20,3.25,3.59,4.18,312.57,307.65,278.40,239.27,45.1502,3.382468
2026-04-03 07:59:46,combination_17,14.63,3.28,3.34,3.74,4.27,304.50,299.83,267.63,233.93,44.8868,3.261694
2026-04-03 07:59:47,combination_17,15.03,3.37,3.42,3.88,4.36,296.74,292.64,258.00,229.13,44.7721,3.153480
2026-04-03 07:59:48,combination_17,15.43,3.46,3.50,4.00,4.47,289.30,285.69,249.78,223.83,44.5104,3.052129
2026-04-03 07:59:49,combination_17,15.79,3.54,3.58,4.12,4.55,282.46,279.30,242.64,220.00,44.4082,2.969817
2026-04-03 07:59:50,combination_17,16.12,3.62,3.66,4.22,4.62,276.01,273.45,236.79,216.55,44.3118,2.900047
2026-04-03 07:59:51,combination_17,16.43,3.71,3.74,4.31,4.68,269.83,267.69,231.99,213.59,44.1659,2.841870
2026-04-03 07:59:52,combination_17,16.77,3.79,3.81,4.43,4.74,263.99,262.19,225.55,211.12,44.0559,2.775056
2026-04-03 07:59:53,combination_17,17.08,3.87,3.90,4.51,4.81,258.39,256.72,221.75,207.90,43.9224,2.722376
2026-04-03 07:59:54,combination_17,17.42,3.95,3.98,4.59,4.89,253.04,251.56,217.67,204.30,43.7235,2.664778
2026-04-03 07:59:55,combination_17,17.77,4.03,4.05,4.68,5.01,247.94,246.89,213.53,199.69,43.5580,2.599136
2026-04-03 07:59:56,combination_17,18.11,4.11,4.13,4.76,5.11,243.22,242.38,209.99,195.81,43.4443,2.543476
2026-04-03 07:59:57,combination_17,18.41,4.19,4.20,4.82,5.20,238.72,237.99,207.49,192.39,43.3436,2.499089
2026-04-03 07:59:58,combination_17,18.69,4.27,4.28,4.86,5.28,234.28,233.73,205.84,189.24,43.2611,2.463124
2026-04-03 07:59:59,combination_17,18.92,4.35,4.35,4.90,5.33,230.05,229.72,204.18,187.71,43.1460,2.439208
2026-04-03 08:00:00,combination_17,19.17,4.42,4.42,4.95,5.37,226.10,226.12,201.82,186.14,43.0788,2.409759
2026-04-03 08:00:01,combination_17,19.44,4.50,4.49,5.02,5.43,222.32,222.55,199.28,184.11,43.0123,2.375412
2026-04-03 08:00:02,combination_17,19.67,4.57,4.56,5.04,5.50,218.67,219.35,198.22,181.95,42.9495,2.351256
2026-04-03 08:00:03,combination_17,19.89,4.64,4.63,5.07,5.55,215.33,216.17,197.15,180.28,42.8862,2.330694
2026-04-03 08:00:04,combination_17,20.07,4.72,4.69,5.09,5.58,211.99,213.19,196.59,179.28,42.8904,2.318971
2026-04-03 08:00:05,combination_17,20.32,4.78,4.76,5.15,5.63,209.02,210.23,194.31,177.69,42.8322,2.289947
2026-04-03 08:00:06,combination_17,20.57,4.86,4.82,5.19,5.70,205.85,207.33,192.67,175.55,42.7391,2.261616
2026-04-03 08:00:07,combination_17,20.80,4.93,4.89,5.24,5.74,202.88,204.66,190.92,174.13,42.6635,2.237897
2026-04-03 08:00:08,combination_17,21.02,5.00,4.95,5.27,5.80,199.99,201.89,189.93,172.47,42.6183,2.218042
2026-04-03 08:00:09,combination_17,21.20,5.07,5.02,5.31,5.80,197.30,199.28,188.42,172.37,42.6067,2.205933
2026-04-03 08:00:10,combination_17,21.40,5.14,5.08,5.34,5.84,194.61,196.90,187.26,171.14,42.5782,2.187955
