timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-03 13:56:30,combination_1,605.99,15.70,294.60,281.05,14.63,63.69,3.39,3.56,68.36,132.0091,12.227501
2026-04-03 13:56:31,combination_1,652.29,16.37,308.64,312.25,15.03,61.07,3.24,3.20,66.55,147.4851,11.803817
2026-04-03 13:56:32,combination_1,694.80,15.83,332.16,332.92,13.89,63.18,3.01,3.00,72.01,138.3256,12.545489
2026-04-03 13:56:33,combination_1,710.18,15.83,342.80,338.77,12.78,63.16,2.92,2.95,78.26,133.9904,13.168676
2026-04-03 13:56:34,combination_1,716.29,15.24,353.28,335.55,12.21,65.60,2.83,2.98,81.89,132.0010,13.757471
2026-04-03 13:56:35,combination_1,693.33,14.96,340.57,325.35,12.46,66.84,2.94,3.07,80.27,129.3333,13.710173
2026-04-03 13:56:36,combination_1,697.11,14.94,339.93,329.59,12.64,66.93,2.94,3.03,79.10,122.5071,13.601101
2026-04-03 13:56:37,combination_1,698.16,14.94,344.75,325.82,12.65,66.92,2.90,3.07,79.08,117.7476,13.597809
2026-04-03 13:56:38,combination_1,704.93,14.66,346.26,331.45,12.56,68.20,2.89,3.02,79.59,116.2195,13.768081
2026-04-03 13:56:39,combination_1,693.10,14.55,338.39,327.70,12.46,68.74,2.96,3.05,80.25,113.1022,13.884237
2026-04-03 13:56:40,combination_1,682.21,14.56,334.94,320.16,12.54,68.69,2.99,3.12,79.72,109.3577,13.825419
2026-04-03 13:56:41,combination_1,681.16,14.56,334.69,319.26,12.65,68.68,2.99,3.13,79.07,107.1664,13.760121
2026-04-03 13:56:42,combination_1,670.14,14.67,329.84,312.94,12.68,68.15,3.03,3.20,78.85,105.1496,13.688327
2026-04-03 13:56:43,combination_1,667.58,14.70,329.10,311.25,12.53,68.04,3.04,3.21,79.80,103.0789,13.773150
2026-04-03 13:56:44,combination_1,667.08,14.79,328.76,310.89,12.64,67.61,3.04,3.22,79.13,101.4628,13.666925
2026-04-03 13:56:46,combination_2,670.43,14.64,329.45,313.68,12.65,68.29,3.04,3.19,79.05,95.0201,13.721421
2026-04-03 13:56:46,combination_2,507.44,14.24,249.96,230.90,12.34,70.24,4.00,4.33,81.03,96.2358,14.100935
2026-04-03 13:56:47,combination_2,399.52,13.74,198.86,175.06,11.86,72.80,5.03,5.71,84.33,97.4980,14.667044
2026-04-03 13:56:48,combination_2,315.90,13.23,155.53,135.69,11.46,75.60,6.43,7.37,87.29,98.3165,15.222481
2026-04-03 13:56:49,combination_2,268.68,12.83,131.78,112.97,11.11,77.96,7.59,8.85,90.03,99.1972,15.714328
2026-04-03 13:56:50,combination_2,231.08,12.42,110.25,97.53,10.88,80.52,9.07,10.25,91.89,100.2352,16.136479
2026-04-03 13:56:51,combination_1,216.76,11.95,105.65,88.66,10.51,83.67,9.47,11.28,95.16,97.0822,16.755364
2026-04-03 13:56:52,combination_1,220.85,11.65,110.06,88.81,10.32,85.80,9.09,11.26,96.89,97.3476,17.125267
2026-04-03 13:56:53,combination_1,229.94,11.77,114.76,92.96,10.45,84.97,8.71,10.76,95.66,99.1239,16.925293
