timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-07 01:58:43,combination_1,50.66,19.13,18.37,6.95,6.20,52.28,54.43,143.88,161.17,46.1855,2.088174
2026-04-07 01:58:44,combination_1,52.16,19.87,18.82,7.46,6.01,50.32,53.13,134.05,166.41,39.7847,2.029303
2026-04-07 01:58:45,combination_1,52.25,19.92,19.17,7.38,5.78,50.19,52.15,135.52,173.13,47.4274,2.082472
2026-04-07 01:58:46,combination_1,52.30,20.31,19.02,6.89,6.07,49.24,52.58,145.03,164.67,50.5175,2.086391
2026-04-07 01:58:47,combination_1,52.27,20.62,19.15,6.47,6.03,48.49,52.22,154.54,165.77,51.7393,2.157668
2026-04-07 01:58:48,combination_1,52.22,20.82,19.05,6.37,5.98,48.03,52.49,157.08,167.11,50.5971,2.185320
2026-04-07 01:58:49,combination_1,52.09,20.97,19.06,6.21,5.85,47.70,52.46,160.97,171.06,51.5100,2.241356
2026-04-07 01:58:50,combination_1,51.87,21.03,19.09,5.92,5.83,47.56,52.37,168.99,171.48,51.0488,2.303038
2026-04-07 01:58:51,combination_1,52.20,21.07,19.24,5.86,6.03,47.46,51.98,170.60,165.83,51.5161,2.269035
2026-04-07 01:58:52,combination_1,52.20,21.02,19.28,5.85,6.05,47.57,51.87,170.95,165.29,52.4022,2.267573
2026-04-07 01:58:53,combination_1,52.03,20.84,19.30,5.86,6.03,47.99,51.82,170.53,165.78,53.0746,2.270997
2026-04-07 01:58:54,combination_1,51.96,20.81,19.24,5.93,5.98,48.04,51.97,168.72,167.25,53.4873,2.269831
2026-04-07 01:58:55,combination_1,51.99,20.84,19.11,6.11,5.94,47.99,52.34,163.74,168.29,53.7442,2.242642
2026-04-07 01:58:56,combination_1,51.66,20.77,18.94,6.10,5.84,48.15,52.79,163.90,171.10,54.1178,2.269518
2026-04-07 01:58:57,combination_1,51.54,20.73,18.89,6.08,5.83,48.23,52.94,164.42,171.46,54.3954,2.277866
2026-04-07 01:58:58,combination_1,51.14,20.68,18.78,6.00,5.68,48.37,53.26,166.60,175.97,54.9799,2.331383
2026-04-07 01:58:59,combination_1,50.88,20.67,18.66,5.98,5.57,48.38,53.58,167.33,179.46,55.3848,2.365639
