timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 11:02:22,phase_a,11.33,0.78,0.76,4.30,5.49,1277.25,1309.38,232.71,182.17,0.0000,0.151944
2026-04-21 11:02:23,phase_a,12.26,0.91,0.89,4.24,6.22,1103.49,1119.98,235.76,160.77,0.0000,0.054776
2026-04-21 11:02:24,phase_a,15.62,0.91,0.89,5.35,8.47,1103.49,1119.98,186.92,118.07,0.0000,0.000000
2026-04-21 11:02:25,phase_a,16.49,1.01,1.01,5.72,8.75,991.50,986.26,174.83,114.26,0.0000,0.000000
2026-04-21 11:02:26,phase_a,18.95,1.01,1.01,6.49,10.43,991.50,986.26,154.03,95.85,0.0000,0.000000
2026-04-21 11:02:27,phase_a,18.90,1.05,1.07,6.62,10.15,952.44,933.52,151.00,98.48,0.0000,0.000000
2026-04-21 11:02:28,phase_a,20.78,1.05,1.07,7.20,11.47,952.44,933.52,138.94,87.21,0.0000,0.000000
2026-04-21 11:02:29,phase_a,18.74,1.02,1.06,6.77,9.88,976.96,940.31,147.69,101.22,0.0000,0.000000
2026-04-21 11:02:30,phase_a,19.10,1.02,1.06,7.10,9.91,976.96,940.31,140.94,100.86,0.0000,0.000000
2026-04-21 11:02:31,phase_a,19.03,1.04,1.09,6.97,9.92,961.03,915.05,143.48,100.79,0.0000,0.000000
2026-04-21 11:02:32,phase_a,20.39,1.04,1.09,7.51,10.75,961.03,915.05,133.16,93.07,0.0000,0.000000
2026-04-21 11:02:33,phase_a,20.58,1.09,1.13,7.71,10.64,913.71,887.39,129.69,93.95,0.0000,0.000000
2026-04-21 11:02:34,phase_a,21.82,1.09,1.13,8.23,11.37,913.71,887.39,121.53,87.95,0.0000,0.000000
2026-04-21 11:02:35,phase_a,20.83,1.12,1.14,7.81,10.77,893.11,879.07,128.02,92.89,0.0000,0.000000
2026-04-21 11:02:36,phase_a,21.90,1.12,1.14,8.27,11.37,893.11,879.07,120.96,87.93,0.0000,0.000000
2026-04-21 11:02:37,phase_a,21.71,1.14,1.16,8.25,11.16,877.99,865.53,121.19,89.61,0.0000,0.000000
2026-04-21 11:02:38,phase_a,22.69,1.14,1.16,8.67,11.73,877.99,865.53,115.33,85.28,0.0000,0.000000
2026-04-21 11:02:39,phase_b,11.61,1.71,1.33,4.26,4.30,583.61,754.51,234.50,232.38,0.7762,2.623822
2026-04-21 11:02:40,phase_b,11.03,1.71,1.33,4.19,3.80,583.61,754.51,238.88,263.02,3.6787,3.450723
2026-04-21 11:02:41,phase_b,9.76,0.96,0.94,4.05,3.81,1043.56,1060.00,246.96,262.81,5.8428,5.872609
2026-04-21 11:02:42,phase_b,9.66,0.85,0.86,4.05,3.90,1174.84,1169.05,246.96,256.32,7.8428,8.379834
2026-04-21 11:02:43,phase_b,9.93,0.85,0.86,4.26,3.97,1174.84,1169.05,234.79,252.12,9.9427,8.352504
2026-04-21 11:02:44,phase_b,9.88,0.78,0.78,4.34,3.99,1285.82,1277.08,230.62,250.83,11.5089,10.984068
2026-04-21 11:02:45,phase_c,7.35,0.64,0.60,2.81,3.30,1563.27,1662.20,356.38,302.98,12.6512,19.992290
2026-04-21 11:02:46,phase_c,8.44,0.64,0.60,3.19,4.01,1563.27,1662.20,313.73,249.17,14.3422,19.994863
2026-04-21 11:02:47,phase_c,8.49,0.61,0.65,3.48,3.75,1645.26,1545.78,287.28,266.36,15.6767,17.579019
2026-04-21 11:02:48,phase_c,8.65,0.61,0.66,3.67,3.71,1645.26,1525.59,272.13,269.55,17.0933,17.569258
2026-04-21 11:02:49,phase_c,8.35,0.62,0.66,3.56,3.51,1601.64,1525.59,280.66,284.99,18.2693,17.761091
2026-04-21 11:02:50,phase_c,8.39,0.66,0.63,3.62,3.48,1513.67,1584.42,276.53,287.56,19.2211,18.396986
2026-04-21 11:02:51,phase_c,8.36,0.68,0.63,3.55,3.49,1460.43,1584.42,281.81,286.15,20.3806,18.566991
2026-04-21 11:02:52,phase_c,8.44,0.68,0.63,3.47,3.65,1460.43,1581.62,288.43,273.85,21.5298,18.661730
2026-04-21 11:02:53,phase_c,8.40,0.68,0.64,3.40,3.68,1461.02,1558.38,294.21,272.01,22.3579,18.840364
2026-04-21 11:02:54,phase_c,8.48,0.68,0.64,3.49,3.68,1481.34,1558.38,286.93,271.65,23.1632,18.950252
2026-04-21 11:02:55,phase_d,6.75,0.00,0.64,3.04,3.08,0.00,1573.37,329.39,324.73,23.5999,13.845188
2026-04-21 11:02:56,phase_d,8.06,0.59,0.68,3.39,3.39,1683.34,1466.75,294.57,294.83,24.3256,16.760144
2026-04-21 11:02:57,phase_d,8.42,0.59,0.68,3.55,3.60,1683.34,1466.75,282.02,277.92,25.2322,16.887645
2026-04-21 11:02:58,phase_d,8.57,0.59,0.70,3.66,3.62,1708.23,1421.47,273.30,276.10,25.7306,16.991905
2026-04-21 11:02:59,phase_d,8.58,0.59,0.69,3.59,3.72,1708.23,1447.66,278.94,268.93,26.3742,17.597973
2026-04-21 11:03:00,phase_d,8.46,0.58,0.69,3.53,3.65,1724.43,1447.66,282.96,273.81,26.8799,17.901725
2026-04-21 11:03:01,phase_d,8.58,0.59,0.69,3.60,3.70,1687.92,1447.66,277.84,270.39,27.3552,17.957220
2026-04-21 11:03:02,phase_d,9.09,0.59,0.69,3.88,3.92,1687.92,1447.66,257.57,255.14,27.9812,17.805599
2026-04-21 11:03:03,phase_d,9.54,0.61,0.69,4.12,4.11,1631.80,1447.66,242.58,243.33,28.4813,17.551591
2026-04-21 11:03:04,phase_d,9.96,0.64,0.69,4.34,4.29,1567.38,1447.66,230.56,232.90,28.9593,17.182717
2026-04-21 11:03:05,phase_d,10.14,0.66,0.69,4.43,4.37,1523.23,1447.66,225.89,228.85,29.4829,16.879237
2026-04-21 11:03:06,phase_d,10.32,0.67,0.69,4.53,4.44,1499.29,1447.66,220.90,225.45,29.9809,16.616464
2026-04-21 11:03:07,phase_d,10.42,0.67,0.69,4.56,4.50,1499.29,1447.66,219.53,222.05,30.4616,16.591823
2026-04-21 11:03:08,phase_d,10.51,0.68,0.69,4.59,4.55,1468.79,1447.66,218.02,219.61,30.9186,16.392037
