timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-20 21:02:17,combination_initial,1285.28,454.86,360.22,423.17,47.04,2.20,2.78,2.36,21.26,0.0000,0.000000
2026-04-20 21:02:18,combination_initial,1193.77,446.68,303.04,395.09,48.96,2.24,3.30,2.53,20.43,0.0000,0.000000
2026-04-20 21:02:19,combination_initial,1164.26,426.52,296.42,393.11,48.21,2.34,3.37,2.54,20.74,0.0000,0.000000
2026-04-20 21:02:20,combination_initial,1182.18,425.70,310.27,395.35,50.86,2.35,3.22,2.53,19.66,0.0000,0.000000
2026-04-20 21:02:24,combination_overload,11.26,4.11,3.95,3.20,0.00,243.15,253.14,312.88,0.00,38.4999,105.978126
2026-04-20 21:02:25,combination_overload,13.26,4.41,3.94,4.06,0.84,226.88,253.49,246.10,1189.04,46.5719,54.392512
2026-04-20 21:02:26,combination_overload,12.66,4.22,3.75,3.99,0.70,237.09,266.42,250.53,1424.82,53.5993,48.739175
2026-04-20 21:02:27,combination_overload,11.79,3.85,3.42,3.81,0.70,259.42,292.03,262.50,1424.82,57.7168,47.439567
2026-04-20 21:02:29,combination_overload,6.74,1.93,2.07,2.15,0.59,519.08,483.84,464.07,1702.73,89.9847,64.315646
2026-04-20 21:02:30,combination_overload,6.88,1.98,2.14,2.17,0.59,504.70,467.92,460.92,1702.73,94.9854,65.917887
2026-04-20 21:02:31,combination_overload,7.80,2.23,2.70,2.25,0.62,448.38,370.95,444.55,1612.71,93.2136,62.689449
2026-04-20 21:02:32,combination_overload,8.64,2.77,2.87,2.39,0.62,361.61,348.68,418.42,1612.71,95.9939,55.010957
2026-04-20 21:02:33,combination_overload,9.18,3.23,2.93,2.43,0.58,309.34,341.63,411.29,1711.71,95.9850,50.215577
2026-04-20 21:02:34,combination_overload,9.26,3.39,2.87,2.42,0.58,295.24,348.05,413.17,1711.71,99.1194,48.854943
2026-04-20 21:02:35,combination_overload,9.29,3.51,2.82,2.42,0.55,285.21,354.71,413.90,1812.82,101.7038,48.496960
2026-04-20 21:02:36,combination_overload,9.90,3.53,3.15,2.67,0.55,283.47,317.74,374.07,1812.82,102.4983,46.700922
2026-04-20 21:02:37,combination_overload,10.25,3.50,3.31,2.90,0.54,285.92,302.41,344.71,1840.71,101.2124,46.122796
2026-04-20 21:02:40,combination_offload,15.38,3.85,3.88,7.65,0.00,259.71,257.82,130.65,0.00,90.2747,82.188439
2026-04-20 21:02:40,combination_offload,210.41,90.47,43.04,40.89,36.01,11.05,23.24,24.45,27.77,87.8305,11.205159
2026-04-20 21:02:41,combination_offload,462.57,212.09,104.58,104.11,41.80,4.72,9.56,9.61,23.93,81.0749,3.199473
2026-04-20 21:02:42,combination_offload,609.22,272.75,143.69,148.46,44.32,3.67,6.96,6.74,22.56,75.2849,1.590177
2026-04-20 21:02:43,combination_offload,708.14,307.76,172.34,183.12,44.91,3.25,5.80,5.46,22.27,70.2648,0.912855
2026-04-20 21:02:44,combination_offload,778.18,332.57,190.68,209.18,45.75,3.01,5.24,4.78,21.86,65.8748,0.534009
2026-04-20 21:02:45,combination_offload,1412.28,517.13,390.05,453.14,51.95,1.93,2.56,2.21,19.25,0.0000,0.000000
2026-04-20 21:02:46,combination_offload,1188.89,441.55,339.40,357.14,50.80,2.26,2.95,2.80,19.68,0.0000,0.000000
2026-04-20 21:02:47,combination_offload,1190.35,432.56,324.65,382.99,50.15,2.31,3.08,2.61,19.94,0.0000,0.000000
2026-04-20 21:02:48,combination_offload,1175.35,433.22,315.32,378.77,48.04,2.31,3.17,2.64,20.82,0.0000,0.000000
2026-04-20 21:02:49,combination_offload,1205.74,436.52,324.44,397.66,47.11,2.29,3.08,2.51,21.23,0.0000,0.000000
2026-04-20 21:02:50,combination_offload,1216.68,441.91,329.20,398.30,47.27,2.26,3.04,2.51,21.16,0.0000,0.000000
2026-04-20 21:02:51,combination_offload,1221.25,441.10,329.91,402.26,47.97,2.27,3.03,2.49,20.85,0.0000,0.000000
2026-04-20 21:02:52,combination_offload,1227.60,444.28,332.32,402.67,48.32,2.25,3.01,2.48,20.69,0.0000,0.000000
2026-04-20 21:02:53,combination_offload,1198.90,439.42,325.31,386.76,47.41,2.28,3.07,2.59,21.09,0.0000,0.000000
2026-04-20 21:02:54,combination_offload,1208.76,438.41,326.22,396.41,47.73,2.28,3.07,2.52,20.95,0.0000,0.000000
2026-04-20 21:02:55,combination_offload,1209.18,437.83,325.36,398.18,47.82,2.28,3.07,2.51,20.91,0.0000,0.000000
