timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 08:45:49,phase_a,105.14,0.00,0.00,19.69,85.45,0.00,0.00,50.80,11.70,0.0000,0.000000
2026-04-21 08:45:50,phase_a,99.53,0.00,0.00,13.19,86.34,0.00,0.00,75.83,11.58,0.0000,0.000000
2026-04-21 08:45:51,phase_a,35.28,1.27,1.11,11.81,21.08,785.22,898.69,84.68,47.43,0.0000,0.000000
2026-04-21 08:45:52,phase_a,38.08,1.27,1.11,11.56,24.14,785.22,898.69,86.53,41.43,0.0000,0.000000
2026-04-21 08:45:53,phase_a,33.89,1.23,1.14,11.78,19.74,816.15,879.79,84.86,50.65,0.0000,0.000000
2026-04-21 08:45:54,phase_a,35.61,1.23,1.14,11.86,21.38,816.15,879.79,84.31,46.77,0.0000,0.000000
2026-04-21 08:45:55,phase_a,31.18,1.23,1.17,11.00,17.78,814.95,854.11,90.87,56.26,0.0000,0.000000
2026-04-21 08:45:56,phase_a,32.38,1.23,1.17,11.14,18.84,814.95,854.11,89.73,53.08,0.0000,0.000000
2026-04-21 08:45:57,phase_a,31.92,1.28,1.20,11.31,18.12,779.54,834.97,88.38,55.18,0.0000,0.000000
2026-04-21 08:45:58,phase_a,33.01,1.28,1.20,11.58,18.95,779.54,834.97,86.38,52.76,0.0000,0.000000
2026-04-21 08:45:59,phase_a,32.34,1.29,1.24,11.74,18.08,774.00,807.97,85.21,55.32,0.0000,0.000000
2026-04-21 08:46:00,phase_a,33.31,1.29,1.24,11.56,19.22,774.00,807.97,86.47,52.03,0.0000,0.000000
2026-04-21 08:46:01,phase_a,30.99,1.26,1.23,11.49,17.01,793.48,816.32,87.04,58.78,0.0000,0.000000
2026-04-21 08:46:02,phase_a,32.38,1.26,1.23,11.80,18.10,793.48,816.32,84.75,55.25,0.0000,0.000000
2026-04-21 08:46:03,phase_a,31.48,1.28,1.24,11.72,17.24,778.48,807.62,85.33,58.00,0.0000,0.000000
2026-04-21 08:46:04,phase_a,32.69,1.28,1.24,11.94,18.22,778.48,807.62,83.73,54.88,0.0000,0.000000
2026-04-21 08:46:05,phase_a,31.62,1.32,1.26,12.12,16.92,759.87,790.94,82.52,59.10,0.0000,0.000000
2026-04-21 08:46:06,phase_b,5.75,0.00,0.00,5.75,0.00,0.00,0.00,173.82,0.00,0.0000,0.436346
2026-04-21 08:46:07,phase_b,12.49,0.95,0.85,5.68,5.00,1049.07,1174.56,175.93,199.94,2.0001,4.438499
2026-04-21 08:46:08,phase_b,11.66,0.95,0.85,4.97,4.88,1049.07,1174.56,201.05,204.73,4.6150,4.844758
