timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 10:30:17,phase_a,19.77,1.22,1.09,8.49,8.97,821.40,917.76,117.74,111.45,0.0000,0.000000
2026-04-21 10:30:18,phase_a,22.81,1.22,1.09,8.99,11.52,821.40,917.76,111.27,86.82,0.0000,0.000000
2026-04-21 10:30:19,phase_a,23.53,1.18,1.10,9.35,11.90,845.90,910.22,106.98,84.01,0.0000,0.000000
2026-04-21 10:30:20,phase_a,25.20,1.18,1.10,9.59,13.34,845.90,910.22,104.31,74.98,0.0000,0.000000
2026-04-21 10:30:21,phase_a,25.84,1.27,1.15,10.26,13.16,788.44,872.66,97.49,75.96,0.0000,0.000000
2026-04-21 10:30:22,phase_a,26.87,1.27,1.15,10.32,14.14,788.44,872.66,96.94,70.72,0.0000,0.000000
2026-04-21 10:30:23,phase_a,25.75,1.30,1.15,10.76,12.54,770.25,869.28,92.90,79.77,0.0000,0.000000
2026-04-21 10:30:24,phase_a,27.04,1.30,1.15,11.36,13.23,770.25,869.28,88.06,75.58,0.0000,0.000000
2026-04-21 10:30:25,phase_a,26.63,1.37,1.16,11.35,12.76,731.26,863.02,88.09,78.40,0.0000,0.000000
2026-04-21 10:30:26,phase_a,27.63,1.37,1.16,11.83,13.27,731.26,863.02,84.53,75.36,0.0000,0.000000
2026-04-21 10:30:27,phase_a,25.46,1.31,1.16,10.25,12.73,761.40,862.70,97.54,78.55,0.0000,0.000000
2026-04-21 10:30:28,phase_a,25.78,1.31,1.16,10.26,13.05,761.40,862.70,97.49,76.61,0.0000,0.000000
2026-04-21 10:30:29,phase_a,24.43,1.27,1.14,10.02,12.00,787.54,877.97,99.83,83.31,0.0000,0.000000
2026-04-21 10:30:30,phase_a,25.00,1.27,1.14,10.26,12.32,787.54,877.97,97.42,81.14,0.0000,0.000000
2026-04-21 10:30:31,phase_a,24.86,1.29,1.15,10.33,12.09,774.34,869.79,96.82,82.72,0.0000,0.000000
2026-04-21 10:30:32,phase_a,25.35,1.29,1.15,10.48,12.43,774.34,869.79,95.40,80.48,0.0000,0.000000
2026-04-21 10:30:33,phase_a,24.95,1.30,1.16,10.43,12.06,771.95,860.26,95.91,82.91,0.0000,0.000000
2026-04-21 10:30:34,phase_b,9.41,0.00,0.00,5.16,4.25,0.00,0.00,193.79,235.40,0.7809,0.850639
2026-04-21 10:30:35,phase_b,10.34,0.73,0.66,4.77,4.18,1364.95,1514.85,209.68,239.16,3.0112,6.186471
2026-04-21 10:30:36,phase_b,10.07,0.73,0.66,4.65,4.02,1364.95,1514.85,214.97,248.58,5.6190,6.590729
2026-04-21 10:30:37,phase_b,10.28,0.71,0.67,4.77,4.13,1401.02,1482.77,209.72,242.28,7.6447,9.302246
2026-04-21 10:30:38,phase_b,10.38,0.66,0.66,4.85,4.20,1504.44,1507.81,206.25,237.93,9.3928,12.150776
2026-04-21 10:30:39,phase_b,10.22,0.66,0.66,4.82,4.07,1504.44,1507.81,207.45,245.46,11.5125,12.227651
2026-04-21 10:30:40,phase_c,6.61,0.00,0.00,3.44,3.18,0.00,0.00,291.03,314.85,12.4932,2.875250
2026-04-21 10:30:41,phase_c,8.61,0.62,0.59,4.05,3.35,1601.77,1701.82,246.96,298.22,14.1181,19.342650
2026-04-21 10:30:42,phase_c,8.48,0.62,0.59,3.85,3.42,1601.77,1701.82,259.46,292.62,15.7332,19.556257
2026-04-21 10:30:43,phase_c,8.51,0.59,0.66,3.78,3.47,1694.86,1505.43,264.43,287.98,16.9705,18.034505
2026-04-21 10:30:44,phase_c,8.65,0.59,0.66,3.82,3.57,1694.86,1505.43,261.53,279.86,18.1534,18.049404
2026-04-21 10:30:45,phase_c,10.12,0.60,1.74,4.05,3.72,1653.00,574.26,246.77,268.65,18.4574,12.736567
2026-04-21 10:30:46,phase_c,11.11,0.64,2.39,4.32,3.77,1571.88,418.61,231.66,265.45,18.6442,12.032559
2026-04-21 10:30:47,phase_c,11.91,0.64,3.13,4.35,3.80,1571.88,319.82,230.07,263.36,19.0424,11.407365
2026-04-21 10:30:48,phase_c,12.36,0.65,3.58,4.30,3.83,1548.63,279.63,232.40,260.81,19.2912,11.205523
2026-04-21 10:30:49,phase_c,12.71,0.66,3.94,4.27,3.85,1522.09,253.77,234.43,260.05,19.5240,11.024489
2026-04-21 10:30:50,phase_d,14.83,0.00,7.63,4.11,3.08,0.00,131.01,243.21,324.34,19.7172,2.045493
2026-04-21 10:30:51,phase_d,16.88,0.62,8.44,4.38,3.44,1608.41,118.50,228.56,290.42,19.8938,10.432240
2026-04-21 10:30:52,phase_d,17.67,0.63,9.06,4.44,3.55,1592.90,110.43,225.36,281.45,20.0392,10.718601
2026-04-21 10:30:53,phase_d,18.08,0.63,9.18,4.20,4.08,1592.90,108.95,238.17,245.28,20.2261,10.672260
2026-04-21 10:30:54,phase_d,17.96,0.65,9.01,4.17,4.14,1539.38,111.02,239.74,241.83,20.5376,10.835054
2026-04-21 10:30:55,phase_d,18.76,0.70,9.01,4.71,4.34,1428.84,111.02,212.17,230.68,21.2438,10.444740
2026-04-21 10:30:56,phase_d,19.11,0.72,9.01,4.72,4.67,1385.10,111.02,211.92,214.32,22.0392,10.081642
2026-04-21 10:30:57,phase_d,19.43,0.74,9.01,4.68,5.00,1344.82,111.02,213.60,200.17,22.7225,9.721922
2026-04-21 10:30:58,phase_d,19.57,0.76,9.01,4.69,5.11,1312.09,111.02,213.02,195.85,23.4188,9.464391
2026-04-21 10:30:59,phase_d,19.51,0.76,9.01,4.65,5.09,1312.09,111.02,214.85,196.46,24.1326,9.451433
2026-04-21 10:31:00,phase_d,19.54,0.78,9.01,4.67,5.08,1289.83,111.02,214.15,196.70,24.7219,9.272679
2026-04-21 10:31:01,phase_d,19.71,0.79,9.01,4.82,5.10,1273.83,111.02,207.60,195.93,25.3289,9.116805
2026-04-21 10:31:02,phase_d,19.89,0.80,9.01,5.03,5.06,1255.47,111.02,198.93,197.49,25.8639,8.970102
2026-04-21 10:31:03,phase_d,20.11,0.81,9.01,5.20,5.10,1241.77,111.02,192.43,196.02,26.3804,8.835010
2026-04-21 10:31:04,phase_d,20.23,0.81,9.01,5.29,5.11,1228.55,111.02,189.04,195.53,26.8940,8.718766
2026-04-21 10:31:05,phase_d,20.37,0.81,9.01,5.37,5.18,1228.55,111.02,186.26,193.14,27.3246,8.704805
2026-04-21 10:31:06,phase_d,20.68,0.81,9.01,5.60,5.26,1228.55,111.02,178.47,190.22,27.8593,8.625212
2026-04-21 10:31:07,phase_d,20.98,0.81,9.01,5.78,5.37,1228.55,111.02,172.89,186.15,28.3338,8.534133
2026-04-21 10:31:08,phase_d,21.29,0.81,9.01,5.96,5.50,1228.55,111.02,167.69,181.72,28.8276,8.456014
2026-04-21 10:31:09,phase_d,21.45,0.81,9.01,6.06,5.57,1228.55,111.02,165.03,179.54,29.3032,8.403543
2026-04-21 10:31:10,phase_d,21.65,0.81,9.01,6.19,5.64,1228.55,111.02,161.55,177.34,29.7240,8.346599
2026-04-21 10:31:11,phase_d,21.79,0.81,9.01,6.29,5.68,1228.55,111.02,159.07,175.96,30.1627,8.297702
2026-04-21 10:31:12,phase_d,21.99,0.81,9.01,6.42,5.75,1228.55,111.02,155.82,173.93,30.5564,8.251376
2026-04-21 10:31:13,phase_d,22.10,0.81,9.01,6.50,5.78,1228.55,111.02,153.79,173.00,30.9329,8.213451
2026-04-21 10:31:14,phase_d,22.23,0.81,9.01,6.60,5.81,1228.55,111.02,151.48,172.10,31.3285,8.178616
2026-04-21 10:31:15,phase_d,22.17,0.81,9.01,6.58,5.76,1228.55,111.02,151.96,173.47,31.6821,8.169062
2026-04-21 10:31:16,phase_d,22.21,0.81,9.01,6.61,5.78,1228.55,111.02,151.39,173.01,32.0379,8.175026
2026-04-21 10:31:17,phase_d,22.26,0.81,9.01,6.66,5.78,1228.55,111.02,150.11,173.05,32.3970,8.178706
2026-04-21 10:31:18,phase_d,22.38,0.81,9.01,6.72,5.84,1228.55,111.02,148.80,171.29,32.7145,8.166661
2026-04-21 10:31:19,phase_d,22.46,0.81,9.01,6.78,5.85,1228.55,111.02,147.44,170.79,33.0214,8.147717
2026-04-21 10:31:20,phase_d,22.52,0.81,9.01,6.81,5.89,1228.55,111.02,146.92,169.86,33.3487,8.127106
2026-04-21 10:31:21,phase_d,22.57,0.81,9.01,6.84,5.91,1228.55,111.02,146.22,169.13,33.6509,8.118417
2026-04-21 10:31:22,phase_d,22.61,0.81,9.01,6.87,5.92,1228.55,111.02,145.53,168.99,33.9306,8.101895
2026-04-21 10:31:23,phase_d,22.65,0.81,9.01,6.91,5.92,1228.55,111.02,144.62,168.99,34.2601,8.086327
2026-04-21 10:31:24,phase_d,22.74,0.81,9.01,6.96,5.96,1228.55,111.02,143.61,167.90,34.5505,8.067683
2026-04-21 10:31:25,phase_d,22.85,0.81,9.01,7.03,6.00,1228.55,111.02,142.30,166.69,34.8011,8.046485
2026-04-21 10:31:26,phase_d,22.80,0.81,9.01,6.94,6.04,1228.55,111.02,144.01,165.67,35.1072,8.044421
2026-04-21 10:31:27,phase_d,22.75,0.81,9.01,6.86,6.06,1228.55,111.02,145.73,164.91,35.4577,8.051137
2026-04-21 10:31:28,phase_d,22.83,0.81,9.01,6.93,6.08,1228.55,111.02,144.24,164.53,35.6880,8.045567
2026-04-21 11:14:33,phase_a,75.48,1.31,1.48,6.90,65.79,765.81,674.75,144.88,15.20,0.0000,0.000000
2026-04-21 11:14:34,phase_a,81.88,1.31,1.48,15.65,63.44,765.81,674.75,63.88,15.76,0.0000,0.000000
2026-04-21 11:14:35,phase_a,27.79,1.18,1.28,8.66,16.66,849.43,778.92,115.47,60.01,0.0000,0.000000
2026-04-21 11:14:36,phase_a,28.09,1.18,1.28,9.88,15.75,849.43,778.92,101.26,63.47,0.0000,0.000000
2026-04-21 11:14:37,phase_a,22.02,1.14,1.28,7.09,12.50,876.33,778.92,140.95,80.02,0.0000,0.000000
2026-04-21 11:14:38,phase_a,22.51,1.14,1.16,7.63,12.57,876.33,858.86,131.00,79.58,0.0000,0.000000
2026-04-21 11:14:39,phase_a,20.21,1.11,1.16,7.18,10.75,897.81,858.86,139.27,93.01,0.0000,0.000000
2026-04-21 11:14:40,phase_a,21.79,1.11,1.09,7.72,11.87,897.81,915.54,129.53,84.27,0.0000,0.000000
2026-04-21 11:14:41,phase_a,21.77,1.16,1.15,7.61,11.86,864.36,872.46,131.34,84.34,0.0000,0.000000
2026-04-21 11:14:42,phase_a,23.56,1.16,1.15,8.29,12.97,864.36,872.46,120.64,77.12,0.0000,0.000000
2026-04-21 11:14:43,phase_a,22.29,1.16,1.13,8.04,11.96,863.19,881.11,124.34,83.63,0.0000,0.000000
2026-04-21 11:14:44,phase_a,23.62,1.16,1.13,8.45,12.88,863.19,881.11,118.33,77.65,0.0000,0.000000
2026-04-21 11:14:45,phase_a,21.89,1.16,1.14,8.05,11.54,862.29,873.89,124.29,86.62,0.0000,0.000000
2026-04-21 11:14:46,phase_a,22.99,1.16,1.14,8.39,12.29,862.29,873.89,119.21,81.34,0.0000,0.000000
2026-04-21 11:14:47,phase_a,21.62,1.19,1.17,8.25,11.02,841.84,856.98,121.24,90.75,0.0000,0.000000
2026-04-21 11:14:48,phase_a,22.60,1.19,1.17,8.64,11.60,841.84,856.98,115.74,86.18,0.0000,0.000000
2026-04-21 11:14:49,phase_a,22.34,1.21,1.18,8.60,11.36,829.73,849.21,116.25,88.05,0.0000,0.000000
2026-04-21 11:14:50,phase_b,8.19,0.00,0.00,0.00,8.19,0.00,0.00,0.00,122.03,0.0000,0.000000
2026-04-21 11:14:51,phase_b,7.57,0.00,0.00,3.50,4.07,0.00,0.00,285.57,245.79,2.4504,1.862727
2026-04-21 11:14:52,phase_b,8.60,0.66,0.68,3.43,3.82,1504.51,1476.93,291.29,261.68,4.7507,7.106994
2026-04-21 11:14:53,phase_b,8.63,0.67,0.64,3.55,3.77,1503.57,1561.46,281.32,265.55,6.9231,10.112717
2026-04-21 11:14:54,phase_b,8.93,0.67,0.64,3.88,3.74,1503.57,1561.46,257.73,267.10,8.8936,10.107778
