timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 05:52:20,phase_a,23.33,0.98,1.05,11.26,10.04,1016.49,955.78,88.81,99.58,0.0000,0.000000
2026-04-23 05:52:21,phase_a,24.35,0.98,1.05,10.35,11.98,1016.49,955.78,96.66,83.50,0.0000,0.000000
2026-04-23 05:52:22,phase_a,23.36,1.01,1.07,9.66,11.63,991.01,936.12,103.55,86.01,0.0000,0.000000
2026-04-23 05:52:23,phase_a,22.46,1.01,1.07,9.49,10.89,991.01,936.12,105.38,91.84,0.0000,0.000000
2026-04-23 05:52:24,phase_a,21.67,1.04,1.08,9.14,10.41,962.28,927.10,109.44,96.02,0.0000,0.000000
2026-04-23 05:52:25,phase_a,23.89,1.04,1.08,9.74,12.04,962.28,927.10,102.68,83.08,0.0000,0.000000
2026-04-23 05:52:26,phase_a,23.51,1.04,1.08,9.50,11.88,961.11,922.70,105.26,84.16,0.0000,0.000000
2026-04-23 05:52:27,phase_a,25.71,1.04,1.08,10.15,13.43,961.11,922.70,98.55,74.43,0.0000,0.000000
2026-04-23 05:52:28,phase_a,25.53,1.08,1.12,10.16,13.17,923.84,890.84,98.43,75.93,0.0000,0.000000
2026-04-23 05:52:29,phase_a,27.47,1.08,1.12,10.81,14.46,923.84,890.84,92.50,69.17,0.0000,0.000000
2026-04-23 05:52:30,phase_a,27.41,1.13,1.17,10.88,14.23,882.38,856.69,91.95,70.26,0.0000,0.000000
2026-04-23 05:52:31,phase_a,28.92,1.13,1.17,11.27,15.35,882.38,856.69,88.70,65.16,0.0000,0.000000
2026-04-23 05:52:32,phase_a,27.02,1.13,1.16,10.82,13.92,888.68,862.77,92.45,71.86,0.0000,0.000000
2026-04-23 05:52:33,phase_a,28.27,1.13,1.16,11.17,14.82,888.68,862.77,89.56,67.49,0.0000,0.000000
2026-04-23 05:52:34,phase_a,28.29,1.15,1.17,11.27,14.69,868.52,852.89,88.71,68.07,0.0000,0.000000
2026-04-23 05:52:35,phase_a,29.54,1.15,1.17,11.72,15.50,868.52,852.89,85.31,64.53,0.0000,0.000000
2026-04-23 05:52:36,phase_a,28.84,1.17,1.20,11.19,15.29,857.23,836.74,89.36,65.40,0.0000,0.000000
2026-04-23 05:52:37,phase_b,29.81,1.17,1.20,11.42,16.03,857.23,836.74,87.55,62.38,0.0000,2.890802
2026-04-23 05:52:38,phase_b,25.31,1.12,1.15,10.42,12.62,889.01,871.03,95.98,79.25,2.1079,3.023198
2026-04-23 05:52:39,phase_b,22.60,1.12,1.15,9.50,10.83,889.01,871.03,105.28,92.35,4.5126,3.059635
2026-04-23 05:52:40,phase_b,20.64,1.07,1.10,8.82,9.66,933.25,911.33,113.42,103.55,6.5837,3.686212
2026-04-23 05:52:41,phase_b,19.49,1.03,1.05,8.37,9.04,969.22,953.12,119.49,110.68,8.4174,4.625597
2026-04-23 05:52:42,phase_b,18.60,1.03,1.05,8.05,8.47,969.22,953.12,124.23,118.09,10.3998,4.714410
2026-04-23 05:52:43,phase_c,17.73,1.00,1.02,7.70,8.01,998.93,985.05,129.87,124.78,11.8719,5.678517
2026-04-23 05:52:44,phase_c,17.11,0.97,0.99,7.44,7.70,1026.03,1010.38,134.42,129.80,13.3042,6.509300
