timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-13 19:53:45,combination_p1_low,11.36,4.31,3.31,3.42,0.32,231.97,302.38,292.67,3123.25,7.6140,1.217120
2026-04-13 19:53:46,combination_p1_low,11.34,4.87,3.22,2.93,0.32,205.14,310.78,341.71,3123.25,6.4554,1.045166
2026-04-13 19:53:47,combination_p1_low,11.10,4.62,3.28,2.88,0.32,216.53,305.21,346.73,3123.25,13.7689,1.046714
2026-04-13 19:53:48,combination_p1_low,11.10,4.71,3.30,2.77,0.32,212.39,302.67,360.91,3123.25,16.5005,1.075796
2026-04-13 19:53:49,combination_p1_low,10.93,4.56,3.33,2.76,0.28,219.32,300.16,361.81,3635.21,17.7495,1.493077
2026-04-13 19:53:50,combination_p1_low,10.72,4.46,3.27,2.72,0.28,224.37,306.10,367.39,3635.21,14.8301,1.527739
2026-04-13 19:53:51,combination_p1_low,10.83,4.48,3.30,2.71,0.33,223.15,303.47,368.37,2988.98,14.7011,1.722049
2026-04-13 19:53:52,combination_p1_low,10.72,4.38,3.29,2.72,0.33,228.23,304.41,367.68,2988.98,13.6593,1.733967
2026-04-13 19:53:53,combination_p1_low,10.67,4.33,3.31,2.70,0.33,230.80,302.13,370.78,2988.98,14.7603,1.727367
2026-04-13 19:53:54,combination_p1_low,10.54,4.33,3.23,2.65,0.34,231.16,309.73,377.06,2970.81,14.4773,1.897002
2026-04-13 19:53:55,combination_p1_low,10.31,4.24,3.09,2.60,0.38,235.66,323.85,385.23,2606.87,13.4686,1.886841
2026-04-13 19:53:56,combination_p1_low,10.18,4.23,2.96,2.57,0.42,236.55,337.86,389.50,2368.21,12.8139,1.888297
2026-04-13 19:53:57,combination_p1_low,10.06,4.25,2.86,2.52,0.42,235.20,349.78,396.49,2368.21,12.1835,1.953262
2026-04-13 19:53:58,combination_p1_low,10.00,4.23,2.80,2.52,0.44,236.24,356.62,396.39,2284.82,12.3937,1.902489
