timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 13:49:01,combination_p1_low,9.26,2.89,2.83,3.35,0.19,345.73,353.18,298.78,5399.96,0.0000,0.155015
2026-04-23 13:49:02,combination_p1_low,9.60,2.90,3.05,3.47,0.19,344.66,328.18,288.10,5399.96,0.0000,0.155015
2026-04-23 13:49:03,combination_p1_low,9.34,2.83,2.95,3.29,0.28,353.90,339.02,304.36,3556.37,0.0000,0.093840
2026-04-23 13:49:04,combination_p1_low,9.43,2.81,2.96,3.33,0.34,356.31,338.35,300.31,2933.49,0.0000,0.032857
2026-04-23 13:49:05,combination_p1_low,9.89,2.89,3.28,3.38,0.34,346.57,305.19,295.50,2933.49,0.0000,0.032857
2026-04-23 13:49:06,combination_p1_low,10.16,2.89,3.28,3.65,0.34,345.43,305.31,274.00,2933.49,0.0000,0.032857
2026-04-23 13:49:07,combination_p1_low,10.49,2.93,3.27,3.95,0.34,341.72,305.91,253.15,2933.49,0.0000,0.032857
2026-04-23 13:49:08,combination_p1_low,10.42,2.95,3.24,3.88,0.35,338.44,309.04,257.70,2870.59,0.0000,0.012432
2026-04-23 13:49:09,combination_p1_low,10.57,3.12,3.24,3.86,0.35,320.54,308.67,258.95,2870.59,0.0000,0.012432
2026-04-23 13:49:10,combination_p1_low,10.65,3.17,3.28,3.86,0.35,315.36,305.17,259.22,2870.59,0.0000,0.012432
2026-04-23 13:49:11,combination_p1_low,10.68,3.24,3.32,3.74,0.38,308.29,301.53,267.16,2642.50,0.0000,0.000000
2026-04-23 13:49:12,combination_p1_low,10.80,3.34,3.37,3.70,0.38,299.04,296.77,269.97,2642.50,0.0000,0.000000
2026-04-23 13:49:13,combination_p1_low,11.06,3.44,3.46,3.78,0.38,290.75,289.01,264.69,2642.50,0.0000,0.000000
2026-04-23 13:49:14,combination_p1_low,11.10,3.46,3.50,3.75,0.40,289.15,286.03,266.86,2515.99,0.0000,0.000000
2026-04-23 13:49:15,combination_p1_low,11.17,3.46,3.47,3.83,0.40,288.84,287.78,260.83,2515.99,0.0000,0.000000
2026-04-23 13:49:16,combination_p1_low,11.22,3.46,3.47,3.89,0.40,288.68,287.84,257.28,2515.99,0.0000,0.000000
2026-04-23 13:49:17,combination_p1_low,11.32,3.50,3.45,3.95,0.42,286.04,290.04,253.13,2374.75,0.0000,0.000000
2026-04-23 13:49:18,combination_p1_high,11.38,3.54,3.41,4.01,0.42,282.67,292.99,249.30,2374.75,0.0000,1.521767
2026-04-23 13:49:19,combination_p1_high,11.24,3.55,3.37,3.90,0.42,282.01,296.84,256.37,2374.75,0.5895,1.651112
2026-04-23 13:49:20,combination_p1_high,11.17,3.57,3.36,3.80,0.45,280.33,297.73,263.30,2238.08,1.2716,1.830588
2026-04-23 13:49:21,combination_p1_high,11.12,3.60,3.31,3.76,0.46,278.10,302.13,266.19,2173.06,1.8875,2.061400
2026-04-23 13:49:22,combination_p1_high,11.02,3.62,3.29,3.65,0.46,276.02,303.85,274.24,2173.06,2.4469,2.270552
2026-04-23 13:49:23,combination_p1_high,10.98,3.63,3.28,3.59,0.48,275.18,305.01,278.76,2101.34,3.1333,2.447647
2026-04-23 13:49:24,combination_p1_high,10.90,3.66,3.24,3.50,0.49,273.12,308.97,285.34,2021.48,4.0995,2.642351
2026-04-23 13:49:25,combination_p1_high,10.89,3.69,3.22,3.47,0.51,271.00,310.60,288.27,1959.54,5.0284,2.784626
2026-04-23 13:49:26,combination_p1_high,10.79,3.70,3.19,3.40,0.51,270.05,313.96,294.49,1959.54,5.6899,2.917362
2026-04-23 13:49:27,combination_p1_high,10.72,3.71,3.15,3.34,0.53,269.34,317.64,299.83,1902.21,6.1885,3.078965
2026-04-23 13:49:28,combination_p1_high,10.65,3.71,3.13,3.27,0.54,269.31,319.51,305.64,1854.07,6.7607,3.216229
2026-04-23 13:49:29,combination_p1_high,10.59,3.70,3.11,3.22,0.55,269.91,321.49,310.34,1815.13,7.4668,3.347516
2026-04-23 13:49:30,combination_p1_high,10.52,3.71,3.09,3.17,0.55,269.85,323.40,314.98,1815.13,8.2262,3.447670
2026-04-23 13:49:31,combination_p1_high,10.45,3.71,3.07,3.13,0.55,269.81,326.12,319.93,1805.00,8.7404,3.578748
2026-04-23 13:49:32,combination_p1_high,10.44,3.71,3.06,3.11,0.55,269.41,327.24,321.15,1805.00,9.5704,3.670576
2026-04-23 13:49:33,combination_p1_high,10.42,3.71,3.04,3.11,0.55,269.63,328.47,321.19,1822.12,10.0737,3.769222
2026-04-23 13:49:34,combination_p1_high,10.41,3.70,3.03,3.12,0.56,270.02,329.73,320.50,1790.34,10.5171,3.855002
2026-04-23 13:49:35,combination_p1_high,10.41,3.71,3.02,3.12,0.56,269.68,330.87,320.23,1790.34,10.9926,3.898771
2026-04-23 13:49:36,combination_p1_high,10.33,3.70,2.94,3.12,0.56,270.01,340.21,320.61,1770.00,11.2171,4.005689
2026-04-23 13:49:37,combination_p1_high,10.31,3.70,2.91,3.12,0.58,270.14,343.26,320.54,1735.36,11.4296,4.068527
2026-04-23 13:49:38,combination_p1_high,10.26,3.69,2.87,3.11,0.58,271.08,348.16,321.28,1713.34,11.9491,4.133380
2026-04-23 13:49:39,combination_p1_high,10.18,3.69,2.79,3.10,0.59,270.77,357.81,322.90,1693.21,12.3641,4.245001
2026-04-23 13:49:40,combination_p1_high,10.12,3.69,2.75,3.08,0.59,270.72,363.23,324.28,1693.21,12.5062,4.305862
2026-04-23 13:49:41,combination_p1_high,10.02,3.67,2.72,3.04,0.60,272.76,367.40,329.16,1678.40,12.8876,4.385172
2026-04-23 13:49:42,combination_p1_high,9.89,3.60,2.69,3.01,0.60,278.09,371.90,331.83,1678.40,13.5141,4.495872
2026-04-23 13:49:43,combination_p1_high,9.80,3.54,2.66,2.99,0.60,282.22,375.30,333.99,1680.43,13.7131,4.599898
2026-04-23 13:49:44,combination_p1_high,9.70,3.49,2.64,2.97,0.60,286.91,378.20,336.72,1669.92,14.1091,4.698491
2026-04-23 13:49:45,combination_p1_high,9.64,3.46,2.62,2.95,0.60,288.83,381.07,339.37,1656.92,14.5768,4.772560
2026-04-23 13:49:46,combination_p1_high,9.53,3.40,2.61,2.92,0.60,294.18,383.55,342.83,1656.92,14.7612,4.843905
2026-04-23 13:49:47,combination_p1_high,9.41,3.34,2.57,2.89,0.61,299.47,389.02,345.68,1649.79,15.0871,4.924584
2026-04-23 13:49:48,combination_p1_high,9.31,3.28,2.54,2.88,0.61,304.77,393.92,347.24,1640.74,15.5269,5.002435
2026-04-23 13:49:49,combination_p1_high,9.17,3.23,2.51,2.83,0.61,309.62,398.76,353.84,1640.74,15.7626,5.110098
2026-04-23 13:49:50,combination_p1_high,9.08,3.18,2.48,2.80,0.61,314.31,402.95,356.53,1627.10,15.8675,5.200693
2026-04-23 13:49:51,combination_p1_high,8.98,3.14,2.45,2.78,0.61,318.59,407.45,359.98,1634.35,16.4826,5.295253
2026-04-23 13:49:52,combination_p1_high,8.83,3.09,2.40,2.72,0.61,323.43,416.48,367.31,1634.35,16.6279,5.433366
2026-04-23 13:49:53,combination_p1_high,8.76,3.06,2.38,2.70,0.61,327.05,419.36,369.82,1634.35,17.2233,5.512154
2026-04-23 13:49:54,combination_p1_high,8.67,3.03,2.37,2.67,0.61,330.55,422.67,374.57,1648.74,17.3501,5.618209
2026-04-23 13:49:55,combination_p1_high,8.57,2.96,2.35,2.65,0.61,337.81,426.32,376.94,1648.74,17.8558,5.706687
2026-04-23 13:49:56,combination_p1_high,8.46,2.93,2.31,2.62,0.60,341.07,433.34,382.16,1664.77,18.0380,5.833519
2026-04-23 13:49:57,combination_p1_high,8.41,2.90,2.30,2.60,0.60,344.52,434.89,384.25,1664.77,18.4787,5.892094
2026-04-23 13:49:58,combination_p1_high,8.33,2.87,2.28,2.58,0.60,349.00,438.65,387.09,1663.79,18.6092,5.974910
2026-04-23 13:49:59,combination_p1_high,8.25,2.83,2.26,2.56,0.60,352.98,442.78,391.25,1663.79,19.1094,6.055988
2026-04-23 13:50:00,combination_p1_high,8.18,2.81,2.22,2.55,0.60,356.24,449.58,392.22,1675.21,19.1587,6.166619
2026-04-23 13:50:01,combination_p1_high,8.11,2.76,2.21,2.54,0.60,362.54,451.65,393.16,1676.14,19.5351,6.259365
