timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 10:49:38,combination_p1_low,4.37,0.00,4.37,0.00,0.00,0.00,229.00,0.00,0.00,0.0000,0.000000
2026-04-21 10:49:39,combination_p1_low,13.26,5.21,3.95,4.10,0.00,192.05,253.03,243.69,0.00,0.0000,0.000000
2026-04-21 10:49:40,combination_p1_low,14.11,5.59,4.20,4.32,0.00,179.04,238.13,231.26,0.00,0.0000,0.000000
2026-04-21 10:49:41,combination_p1_low,16.00,5.93,4.82,4.37,0.88,168.72,207.57,228.70,1139.05,0.0000,0.000000
2026-04-21 10:49:42,combination_p1_low,16.82,6.25,5.15,4.54,0.88,160.06,194.08,220.39,1139.05,0.0000,0.000000
2026-04-21 10:49:43,combination_p1_low,17.91,6.78,5.46,4.78,0.88,147.40,182.99,209.08,1139.05,0.0000,0.000000
2026-04-21 10:49:44,combination_p1_low,17.95,7.01,5.41,4.65,0.88,142.59,184.82,215.25,1138.04,0.0000,0.000000
2026-04-21 10:49:45,combination_p1_low,18.26,7.28,5.34,4.76,0.88,137.37,187.31,210.12,1138.04,0.0000,0.000000
2026-04-21 10:49:46,combination_p1_low,18.89,7.56,5.51,4.95,0.88,132.27,181.59,202.16,1138.04,0.0000,0.000000
2026-04-21 10:49:47,combination_p1_low,18.70,7.25,5.57,5.00,0.88,137.97,179.58,199.81,1138.04,0.0000,0.000000
2026-04-21 10:49:48,combination_p1_low,18.27,6.88,5.57,5.00,0.83,145.44,179.61,200.11,1199.33,0.0000,0.000000
2026-04-21 10:49:49,combination_p1_low,18.36,6.80,5.62,5.12,0.83,147.17,178.07,195.41,1199.33,0.0000,0.000000
2026-04-21 10:49:50,combination_p1_low,18.44,6.69,5.68,5.24,0.83,149.47,176.03,190.85,1199.33,0.0000,0.000000
2026-04-21 10:49:51,combination_p1_low,18.15,6.43,5.58,5.27,0.87,155.51,179.20,189.61,1154.97,0.0000,0.000000
2026-04-21 10:49:52,combination_p1_low,18.05,6.42,5.63,5.13,0.87,155.78,177.70,194.83,1154.97,0.0000,0.000000
2026-04-21 10:49:53,combination_p1_low,18.08,6.44,5.59,5.19,0.87,155.39,178.89,192.59,1154.97,0.0000,0.000000
2026-04-21 10:49:54,combination_p1_low,17.87,6.24,5.57,5.18,0.89,160.26,179.68,193.18,1121.32,0.0000,0.000000
2026-04-21 10:49:55,combination_p1_low,17.63,6.17,5.41,5.15,0.89,162.04,184.80,194.01,1121.32,0.0000,0.000000
2026-04-21 10:49:56,combination_p1_high,17.47,6.05,5.43,5.10,0.89,165.27,184.09,196.22,1121.32,0.1103,0.500570
2026-04-21 10:49:57,combination_p1_high,17.22,5.93,5.42,4.99,0.87,168.56,184.43,200.51,1143.49,0.5752,0.774216
2026-04-21 10:49:58,combination_p1_high,17.03,5.76,5.41,4.99,0.87,173.51,184.99,200.60,1145.81,1.0436,0.998136
2026-04-21 10:49:59,combination_p1_high,16.78,5.65,5.29,4.96,0.88,176.85,189.05,201.69,1132.91,1.4676,1.168677
2026-04-21 10:50:00,combination_p1_high,16.75,5.64,5.28,4.93,0.90,177.28,189.40,202.73,1112.94,1.8532,1.312207
2026-04-21 10:50:01,combination_p1_high,16.56,5.55,5.19,4.92,0.90,180.21,192.66,203.35,1112.94,2.1191,1.461819
2026-04-21 10:50:05,combination_p2_high,15.45,5.11,4.91,4.58,0.84,195.64,203.61,218.16,1189.00,2.0365,1.722627
2026-04-21 10:50:06,combination_p2_high,17.52,5.89,5.57,5.14,0.91,169.64,179.56,194.54,1095.65,1.9611,1.467439
2026-04-21 10:50:07,combination_p2_high,19.58,6.60,6.23,5.77,0.99,151.60,160.63,173.43,1012.52,1.8891,1.217238
2026-04-21 10:50:08,combination_p2_high,21.40,7.22,6.80,6.32,1.06,138.56,146.96,158.24,941.28,1.8229,1.031803
2026-04-21 10:50:09,combination_p2_high,23.23,7.84,7.38,6.87,1.14,127.59,135.43,145.52,879.52,1.7633,0.875475
2026-04-21 10:50:10,combination_p2_high,25.05,8.46,7.89,7.42,1.29,118.27,126.76,134.71,777.79,1.7076,0.726790
2026-04-21 10:50:11,combination_p2_high,26.72,9.00,8.46,7.91,1.36,111.17,118.16,126.49,735.40,1.6552,0.620479
2026-04-21 10:50:12,combination_p2_high,28.53,9.61,9.04,8.46,1.43,104.07,110.66,118.26,697.48,1.6060,0.520510
2026-04-21 10:50:13,combination_p2_high,30.34,10.22,9.61,9.00,1.51,97.88,104.08,111.08,663.35,1.5596,0.432163
2026-04-21 10:50:14,combination_p2_high,32.13,10.82,10.18,9.55,1.58,92.38,98.27,104.71,632.47,1.5158,0.353903
2026-04-21 10:50:15,combination_p2_high,33.92,11.43,10.74,10.09,1.65,87.49,93.08,99.07,604.57,1.4744,0.289005
2026-04-21 10:50:16,combination_p2_high,35.78,12.03,11.31,10.64,1.80,83.09,88.44,94.02,555.55,1.4353,0.236523
2026-04-21 10:50:17,combination_p2_high,37.55,12.63,11.87,11.18,1.87,79.16,84.25,89.45,533.91,1.3981,0.189249
2026-04-21 10:50:18,combination_p2_high,39.33,13.23,12.43,11.72,1.95,75.58,80.45,85.33,513.96,1.3628,0.146295
2026-04-21 10:50:19,combination_p2_high,40.88,13.75,12.92,12.19,2.02,72.71,77.40,82.02,495.47,1.3293,0.111874
2026-04-21 10:50:20,combination_p2_high,42.65,14.35,13.48,12.73,2.09,69.70,74.20,78.56,478.30,1.2973,0.075952
2026-04-21 10:50:21,combination_p2_high,44.40,14.94,14.03,13.27,2.16,66.94,71.28,75.38,462.33,1.2669,0.042909
2026-04-21 10:50:22,combination_p2_high,46.21,15.52,14.58,13.80,2.31,64.42,68.58,72.46,433.75,1.2379,0.014514
2026-04-21 10:50:23,combination_p2_high,47.96,16.11,15.13,14.33,2.38,62.06,66.08,69.76,420.66,1.2101,0.000000
2026-04-21 10:50:24,combination_p2_high,49.69,16.70,15.68,14.86,2.45,59.89,63.77,67.27,408.44,1.1836,0.000000
2026-04-21 10:50:25,combination_p2_high,51.36,17.28,16.16,15.40,2.52,57.86,61.89,64.95,396.87,1.1582,0.000000
2026-04-21 10:50:26,combination_p2_high,52.95,17.80,16.71,15.86,2.59,56.20,59.86,63.04,385.95,1.1339,0.000000
2026-04-21 10:50:27,combination_p2_high,54.68,18.38,17.25,16.39,2.66,54.40,57.96,61.02,375.65,1.1106,0.000000
2026-04-21 10:50:28,combination_p2_high,56.47,18.96,17.80,16.91,2.80,52.75,56.19,59.13,356.77,1.0882,0.000000
2026-04-21 10:50:29,combination_p2_high,58.18,19.54,18.34,17.43,2.87,51.19,54.54,57.36,348.00,1.0667,0.000000
2026-04-21 10:50:30,combination_p2_high,59.87,20.11,18.87,17.94,2.94,49.73,52.98,55.73,339.82,1.0460,0.000000
2026-04-21 10:50:31,combination_p2_high,61.57,20.68,19.41,18.46,3.01,48.35,51.52,54.17,331.89,1.0262,0.000000
2026-04-21 10:50:32,combination_p2_high,63.27,21.25,19.95,18.99,3.08,47.06,50.13,52.67,324.34,1.0070,0.000000
2026-04-21 10:50:33,combination_p2_high,65.03,21.82,20.48,19.50,3.22,45.83,48.82,51.28,310.38,0.9886,0.000000
2026-04-21 10:50:34,combination_p2_high,66.50,22.31,20.95,19.95,3.29,44.82,47.73,50.12,303.81,0.9708,0.000000
2026-04-21 10:50:35,combination_p2_high,68.19,22.89,21.48,20.45,3.36,43.69,46.55,48.89,297.52,0.9537,0.000000
2026-04-21 10:50:36,combination_p2_high,69.85,23.45,22.00,20.96,3.43,42.64,45.45,47.71,291.50,0.9371,0.000000
2026-04-21 10:50:37,combination_p2_high,71.53,24.02,22.53,21.48,3.50,41.64,44.38,46.56,285.73,0.9211,0.000000
2026-04-21 10:50:38,combination_p2_high,73.19,24.58,23.05,21.98,3.57,40.69,43.37,45.49,280.20,0.9057,0.000000
2026-04-21 10:50:39,combination_p2_high,74.91,25.12,23.58,22.50,3.71,39.80,42.40,44.45,269.79,0.8907,0.000000
2026-04-21 10:50:40,combination_p2_high,76.57,25.68,24.11,23.01,3.78,38.93,41.48,43.47,264.89,0.8763,0.000000
2026-04-21 10:50:41,combination_p2_high,78.03,26.17,24.56,23.45,3.84,38.21,40.71,42.64,260.17,0.8623,0.000000
2026-04-21 10:50:42,combination_p2_high,79.68,26.72,25.08,23.97,3.91,37.42,39.87,41.73,255.62,0.8487,0.000000
2026-04-21 10:50:43,combination_p2_high,81.34,27.28,25.60,24.47,3.98,36.66,39.06,40.86,251.25,0.8356,0.000000
2026-04-21 10:50:44,combination_p2_high,82.96,27.82,26.11,24.98,4.05,35.94,38.30,40.04,247.06,0.8229,0.000000
2026-04-21 10:50:45,combination_p2_high,84.65,28.37,26.62,25.48,4.18,35.25,37.56,39.25,239.05,0.8105,0.000000
2026-04-21 10:50:46,combination_p2_high,86.28,28.91,27.13,25.99,4.25,34.59,36.85,38.48,235.25,0.7985,0.000000
2026-04-21 10:50:47,combination_p2_high,87.91,29.46,27.64,26.49,4.32,33.95,36.17,37.75,231.58,0.7869,0.000000
2026-04-21 10:50:48,combination_p2_high,89.52,30.00,28.15,26.99,4.39,33.33,35.53,37.05,228.03,0.7756,0.000000
2026-04-21 10:50:49,combination_p2_high,90.94,30.47,28.59,27.43,4.45,32.82,34.98,36.46,224.60,0.7646,0.000000
2026-04-21 10:50:50,combination_p2_high,92.60,31.00,29.09,27.93,4.59,32.26,34.37,35.81,218.05,0.7539,0.000000
2026-04-21 10:50:51,combination_p2_high,94.19,31.52,29.59,28.42,4.65,31.72,33.79,35.18,214.92,0.7436,0.000000
2026-04-21 10:50:52,combination_p2_high,95.78,32.05,30.09,28.92,4.72,31.20,33.23,34.58,211.89,0.7335,0.000000
2026-04-21 10:50:53,combination_p2_high,97.38,32.58,30.59,29.42,4.79,30.69,32.69,33.99,208.95,0.7236,0.000000
2026-04-21 10:50:54,combination_p2_high,98.97,33.11,31.09,29.92,4.85,30.20,32.16,33.43,206.10,0.7141,0.000000
