timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-14 07:50:42,phase_a,64.55,12.49,8.17,21.19,22.70,80.06,122.46,47.19,44.06,0.0000,0.000000
2026-04-14 07:50:43,phase_a,58.90,8.68,6.71,20.80,22.72,115.23,149.08,48.07,44.02,0.0000,0.000000
2026-04-14 07:50:44,phase_a,60.88,10.19,6.58,21.17,22.93,98.09,151.87,47.25,43.61,0.0000,0.000000
2026-04-14 07:50:45,phase_a,60.37,10.63,6.90,20.96,21.88,94.06,144.85,47.71,45.71,0.0000,0.000000
2026-04-14 07:50:46,phase_a,60.43,10.92,6.93,20.53,22.05,91.60,144.30,48.70,45.36,0.0000,0.000000
2026-04-14 07:50:47,phase_a,59.81,10.16,7.01,20.45,22.19,98.43,142.68,48.90,45.07,0.0000,0.000000
2026-04-14 07:50:48,phase_a,60.43,10.34,7.07,20.68,22.34,96.67,141.48,48.36,44.76,0.0000,0.000000
2026-04-14 07:50:49,phase_a,60.09,10.37,7.10,20.52,22.11,96.46,140.91,48.74,45.23,0.0000,0.000000
2026-04-14 07:50:50,phase_a,60.55,10.41,7.13,20.76,22.24,96.03,140.16,48.17,44.97,0.0000,0.000000
2026-04-14 07:50:51,phase_a,60.48,10.70,7.02,20.68,22.09,93.49,142.47,48.36,45.27,0.0000,0.000000
2026-04-14 07:50:52,phase_a,60.86,10.91,7.02,20.78,22.15,91.65,142.40,48.13,45.16,0.0000,0.000000
2026-04-14 07:50:53,phase_a,60.78,10.71,7.10,20.90,22.07,93.36,140.89,47.85,45.31,0.0000,0.000000
2026-04-14 07:50:54,phase_a,60.83,10.73,7.08,20.81,22.20,93.16,141.22,48.06,45.04,0.0000,0.000000
2026-04-14 07:50:55,phase_b,60.52,10.61,7.02,20.62,22.27,94.26,142.43,48.49,44.90,0.0000,0.048630
2026-04-14 07:50:56,phase_b,60.58,10.58,7.03,20.63,22.35,94.52,142.24,48.48,44.75,0.0000,0.086731
2026-04-14 07:50:57,phase_b,60.55,10.36,7.25,20.51,22.43,96.51,137.94,48.76,44.59,0.0000,0.128346
2026-04-14 07:50:58,phase_b,60.62,10.12,7.45,20.65,22.40,98.83,134.29,48.43,44.63,0.0000,0.116128
2026-04-14 07:50:59,phase_b,60.52,10.02,7.47,20.66,22.37,99.77,133.82,48.40,44.71,0.0000,0.111037
2026-04-14 07:51:00,phase_b,60.43,9.78,7.63,20.63,22.40,102.27,131.02,48.48,44.65,0.0000,0.104579
2026-04-14 07:51:01,phase_b,60.15,9.64,7.65,20.52,22.34,103.76,130.64,48.74,44.76,0.0000,0.097033
2026-04-14 07:51:02,phase_b,60.25,9.46,7.72,20.61,22.46,105.71,129.47,48.51,44.53,0.0000,0.094119
2026-04-14 07:51:03,phase_b,60.49,9.49,7.90,20.73,22.37,105.35,126.59,48.25,44.70,0.0000,0.082421
2026-04-14 07:51:04,phase_b,60.35,9.42,7.95,20.67,22.31,106.17,125.81,48.37,44.83,0.0000,0.077064
2026-04-14 07:51:05,phase_b,60.21,9.29,7.96,20.64,22.32,107.62,125.63,48.44,44.81,0.0000,0.079465
2026-04-14 07:51:06,phase_b,60.24,9.29,8.03,20.60,22.33,107.64,124.56,48.54,44.79,0.0000,0.073267
2026-04-14 07:51:07,phase_b,60.31,9.30,8.04,20.59,22.39,107.54,124.37,48.58,44.67,0.0000,0.070349
2026-04-14 07:51:08,phase_b,60.25,9.26,8.07,20.54,22.38,107.97,123.90,48.67,44.69,0.0000,0.066712
2026-04-14 07:51:09,phase_c,59.64,8.87,7.85,20.56,22.37,112.69,127.43,48.64,44.71,0.0000,0.093842
2026-04-14 07:51:10,phase_c,58.48,8.87,7.85,19.46,22.30,112.69,127.43,51.39,44.84,0.0000,0.093842
2026-04-14 07:51:11,phase_c,50.62,8.63,7.64,16.18,18.17,115.82,130.98,61.80,55.02,0.2373,0.151973
2026-04-14 07:51:12,phase_c,46.38,8.54,7.49,15.00,15.35,117.13,133.44,66.66,65.14,0.3933,0.190638
2026-04-14 07:51:13,phase_c,45.81,8.54,7.49,14.91,14.87,117.13,133.44,67.09,67.25,0.7619,0.190638
2026-04-14 07:51:14,phase_c,45.70,8.54,7.49,15.05,14.62,117.13,133.44,66.42,68.42,1.2308,0.190638
2026-04-14 07:51:15,phase_c,45.33,8.54,7.49,15.01,14.29,117.13,133.44,66.63,69.96,1.6119,0.190638
2026-04-14 07:51:16,phase_c,45.26,8.54,7.49,15.04,14.19,117.13,133.44,66.49,70.48,2.0289,0.190638
