timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 13:47:19,combination_p1_low,12.54,3.56,4.31,4.67,0.00,281.02,231.94,214.02,0.00,0.0000,0.000000
2026-04-23 13:47:20,combination_p1_low,17.85,5.33,5.96,6.57,0.00,187.63,167.92,152.25,0.00,0.0000,0.000000
2026-04-23 13:47:21,combination_p1_low,17.29,5.02,5.91,6.36,0.00,199.17,169.18,157.19,0.00,0.0000,0.000000
2026-04-23 13:47:22,combination_p1_low,16.96,4.97,5.26,5.70,1.03,201.22,189.96,175.54,968.10,0.0000,0.000000
2026-04-23 13:47:23,combination_p1_low,17.19,5.17,5.14,5.85,1.03,193.26,194.71,170.98,968.10,0.0000,0.000000
2026-04-23 13:47:24,combination_p1_low,17.18,5.13,5.23,5.79,1.03,195.12,191.10,172.72,968.10,0.0000,0.000000
2026-04-23 13:47:25,combination_p1_low,16.84,4.92,5.19,5.70,1.03,203.29,192.72,175.56,968.10,0.0000,0.000000
2026-04-23 13:47:26,combination_p1_low,16.21,4.75,5.12,5.58,0.76,210.64,195.14,179.22,1322.00,0.0000,0.000000
2026-04-23 13:47:27,combination_p1_low,16.18,4.83,5.03,5.56,0.76,206.94,198.66,179.92,1322.00,0.0000,0.000000
2026-04-23 13:47:28,combination_p1_low,15.82,4.78,4.97,5.32,0.76,209.16,201.34,188.08,1322.00,0.0000,0.000000
2026-04-23 13:47:29,combination_p1_low,15.63,4.70,4.88,5.30,0.76,212.93,205.02,188.84,1319.15,0.0000,0.000000
2026-04-23 13:47:30,combination_p1_low,15.37,4.67,4.71,5.23,0.76,214.12,212.09,191.21,1319.15,0.0000,0.000000
2026-04-23 13:47:31,combination_p1_low,15.52,4.81,4.77,5.18,0.76,208.08,209.42,193.09,1319.15,0.0000,0.000000
2026-04-23 13:47:32,combination_p1_low,15.22,4.72,4.71,5.01,0.78,211.96,212.35,199.48,1281.01,0.0000,0.000000
2026-04-23 13:47:33,combination_p1_low,15.36,4.75,4.80,5.03,0.78,210.44,208.46,198.93,1281.01,0.0000,0.000000
2026-04-23 13:47:34,combination_p1_low,15.47,4.85,4.79,5.05,0.78,206.25,208.70,198.08,1281.01,0.0000,0.000000
2026-04-23 13:47:35,combination_p1_low,15.37,4.81,4.81,4.94,0.80,208.02,207.69,202.36,1245.37,0.0000,0.000000
2026-04-23 13:47:36,combination_p1_high,15.47,4.79,4.94,4.93,0.80,208.59,202.38,202.68,1245.37,0.0000,0.642553
2026-04-23 13:47:37,combination_p1_high,15.93,4.90,5.21,5.02,0.80,204.20,191.84,199.28,1245.37,0.1081,0.697477
2026-04-23 13:47:38,combination_p1_high,15.75,4.84,5.18,4.92,0.81,206.63,193.15,203.11,1239.29,0.5641,0.867926
2026-04-23 13:47:39,combination_p1_high,15.69,4.77,5.13,4.96,0.83,209.60,194.96,201.57,1210.56,1.0242,1.072547
2026-04-23 13:47:40,combination_p1_high,15.60,4.73,5.12,4.92,0.83,211.54,195.21,203.30,1199.00,1.4883,1.244203
2026-04-23 13:47:41,combination_p1_high,15.64,4.76,5.11,4.91,0.86,210.25,195.84,203.57,1157.28,1.8221,1.389156
2026-04-23 13:47:42,combination_p1_high,15.49,4.73,5.03,4.86,0.88,211.39,198.97,205.69,1142.29,2.2549,1.519962
2026-04-23 13:47:43,combination_p1_high,15.35,4.64,5.01,4.82,0.88,215.31,199.52,207.34,1142.29,2.9386,1.619396
2026-04-23 13:47:44,combination_p1_high,15.22,4.64,4.98,4.77,0.82,215.35,200.98,209.50,1215.28,3.3317,1.765078
2026-04-23 13:47:45,combination_p1_high,15.05,4.63,4.89,4.69,0.84,215.85,204.39,213.42,1195.74,3.7734,1.896196
2026-04-23 13:47:46,combination_p1_high,15.12,4.73,4.87,4.68,0.84,211.62,205.24,213.77,1186.15,4.1453,2.006904
2026-04-23 13:47:47,combination_p1_high,15.21,4.82,4.83,4.71,0.85,207.40,207.20,212.32,1176.83,4.4912,2.073999
2026-04-23 13:47:48,combination_p1_high,15.26,4.85,4.80,4.75,0.86,206.26,208.19,210.38,1168.07,4.8129,2.128946
2026-04-23 13:47:49,combination_p1_high,15.31,4.89,4.71,4.83,0.87,204.46,212.18,206.87,1150.01,4.9506,2.187177
2026-04-23 13:47:50,combination_p1_high,15.33,4.93,4.62,4.90,0.87,202.84,216.36,203.90,1147.40,5.3010,2.247337
2026-04-23 13:47:51,combination_p1_high,15.40,4.96,4.58,4.99,0.87,201.78,218.44,200.41,1147.40,5.9075,2.281136
2026-04-23 13:47:52,combination_p1_high,15.38,4.96,4.54,5.02,0.85,201.47,220.24,199.01,1179.26,6.1789,2.340588
2026-04-23 13:47:53,combination_p1_high,15.39,5.00,4.50,5.03,0.85,199.83,222.15,198.70,1172.90,6.4049,2.399693
2026-04-23 13:47:54,combination_p1_high,15.36,5.01,4.47,5.02,0.86,199.61,223.81,199.01,1165.65,6.6196,2.459990
