timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 13:44:24,combination_p1_low,11.71,4.06,3.23,3.70,0.72,246.32,309.37,270.05,1393.36,0.0000,0.000000
2026-04-23 13:44:25,combination_p1_low,13.85,4.72,3.77,4.64,0.72,211.92,265.25,215.30,1393.36,0.0000,0.000000
2026-04-23 13:44:26,combination_p1_low,14.50,5.00,4.11,4.67,0.72,199.96,243.35,214.09,1393.36,0.0000,0.000000
2026-04-23 13:44:27,combination_p1_low,14.36,4.85,4.37,4.29,0.85,206.38,228.73,232.95,1180.86,0.0000,0.000000
2026-04-23 13:44:28,combination_p1_low,15.28,5.08,4.61,4.75,0.85,196.81,216.90,210.72,1180.86,0.0000,0.000000
2026-04-23 13:44:29,combination_p1_low,14.99,5.20,4.26,4.68,0.85,192.37,234.66,213.70,1180.86,0.0000,0.000000
2026-04-23 13:44:30,combination_p1_low,13.17,4.24,4.14,3.94,0.85,235.83,241.82,253.61,1180.86,0.0000,0.000000
2026-04-23 13:44:31,combination_p1_low,13.14,4.17,4.43,3.81,0.74,239.78,225.87,262.68,1354.73,0.0000,0.000000
2026-04-23 13:44:32,combination_p1_low,13.42,4.25,4.70,3.73,0.74,235.29,212.57,267.97,1354.73,0.0000,0.000000
2026-04-23 13:44:33,combination_p1_low,13.47,4.28,4.77,3.68,0.74,233.64,209.64,271.53,1354.73,0.0000,0.000000
2026-04-23 13:44:34,combination_p1_low,13.57,4.30,4.81,3.69,0.78,232.55,207.79,271.22,1289.94,0.0000,0.000000
2026-04-23 13:44:35,combination_p1_low,13.99,4.38,5.01,3.82,0.78,228.07,199.59,261.95,1289.94,0.0000,0.000000
2026-04-23 13:44:36,combination_p1_low,14.27,4.54,5.07,3.89,0.78,220.48,197.36,257.14,1289.94,0.0000,0.000000
2026-04-23 13:44:37,combination_p1_low,14.45,4.63,5.13,3.92,0.78,216.13,194.99,254.83,1289.94,0.0000,0.000000
2026-04-23 13:44:38,combination_p1_low,14.61,4.65,5.19,4.05,0.72,214.96,192.67,246.85,1386.66,0.0000,0.000000
2026-04-23 13:44:39,combination_p1_low,14.87,4.71,5.24,4.20,0.72,212.52,190.83,237.90,1386.66,0.0000,0.000000
2026-04-23 13:44:40,combination_p1_low,14.93,4.71,5.18,4.28,0.75,212.36,192.87,233.67,1324.88,0.0000,0.000000
2026-04-23 13:44:41,combination_p1_high,14.98,4.76,5.09,4.37,0.75,210.02,196.36,228.70,1324.88,0.0561,0.750280
2026-04-23 13:44:42,combination_p1_high,14.93,4.79,4.94,4.44,0.76,208.86,202.50,225.08,1308.48,0.5844,0.933242
2026-04-23 13:44:43,combination_p1_high,14.84,4.77,4.82,4.46,0.78,209.54,207.36,224.10,1284.16,1.1099,1.155186
2026-04-23 13:44:44,combination_p1_high,14.96,4.82,4.81,4.55,0.79,207.52,208.00,219.84,1266.65,1.3928,1.315981
2026-04-23 13:44:45,combination_p1_high,15.11,4.91,4.77,4.64,0.79,203.77,209.75,215.49,1266.65,1.6956,1.434104
2026-04-23 13:44:46,combination_p1_high,15.22,5.05,4.73,4.66,0.78,197.91,211.55,214.53,1280.11,2.0593,1.558089
2026-04-23 13:44:47,combination_p1_high,15.36,5.17,4.69,4.71,0.80,193.39,213.34,212.45,1256.54,2.2667,1.666254
2026-04-23 13:44:48,combination_p1_high,15.60,5.32,4.68,4.79,0.81,187.88,213.66,208.61,1241.73,2.6184,1.736299
2026-04-23 13:44:49,combination_p1_high,15.65,5.39,4.64,4.82,0.80,185.64,215.59,207.40,1249.56,3.2918,1.818697
2026-04-23 13:44:50,combination_p1_high,15.72,5.41,4.63,4.89,0.80,184.98,216.18,204.65,1245.45,3.7656,1.913309
2026-04-23 13:44:51,combination_p1_high,15.78,5.44,4.65,4.90,0.80,183.93,215.18,204.26,1245.45,4.0975,1.960457
2026-04-23 13:44:52,combination_p1_high,15.80,5.42,4.66,4.93,0.80,184.49,214.82,202.97,1247.42,4.4759,2.042248
2026-04-23 13:44:53,combination_p1_high,15.81,5.41,4.67,4.92,0.80,184.67,214.03,203.12,1253.84,5.0299,2.112390
2026-04-23 13:44:54,combination_p1_high,15.75,5.39,4.65,4.91,0.80,185.38,215.14,203.82,1253.84,5.5806,2.164443
2026-04-23 13:44:55,combination_p1_high,15.81,5.45,4.66,4.91,0.79,183.48,214.60,203.86,1260.03,5.7822,2.229599
2026-04-23 13:44:56,combination_p1_high,15.67,5.40,4.60,4.88,0.80,185.24,217.22,205.04,1257.52,6.2459,2.291990
2026-04-23 13:44:57,combination_p1_high,15.52,5.28,4.60,4.83,0.80,189.23,217.26,206.91,1251.12,6.6226,2.393068
2026-04-23 13:44:58,combination_p1_high,15.51,5.25,4.64,4.81,0.81,190.32,215.73,207.82,1239.47,6.8631,2.437461
2026-04-23 13:44:59,combination_p1_high,15.48,5.21,4.66,4.78,0.82,191.83,214.39,209.09,1226.35,7.0070,2.477839
2026-04-23 13:45:00,combination_p1_high,15.41,5.16,4.67,4.77,0.82,193.88,214.27,209.51,1226.35,7.6043,2.510047
2026-04-23 13:45:01,combination_p1_high,15.34,5.12,4.67,4.74,0.80,195.20,213.93,211.00,1243.81,7.7998,2.564699
2026-04-23 13:45:02,combination_p1_high,15.31,5.10,4.69,4.71,0.81,196.16,213.32,212.20,1239.05,8.0369,2.605222
2026-04-23 13:45:03,combination_p1_high,15.31,5.09,4.69,4.72,0.81,196.29,213.24,211.88,1236.23,8.2869,2.643162
2026-04-23 13:45:04,combination_p1_high,15.31,5.08,4.71,4.72,0.81,196.91,212.47,211.84,1241.28,8.6475,2.675505
2026-04-23 13:45:05,combination_p1_high,15.29,5.07,4.69,4.72,0.81,197.32,213.10,211.90,1241.28,8.8710,2.695723
2026-04-23 13:45:06,combination_p1_high,15.31,5.07,4.69,4.75,0.81,197.36,213.20,210.61,1240.68,8.9435,2.722845
2026-04-23 13:45:07,combination_p1_high,15.34,5.07,4.70,4.78,0.80,197.32,212.91,209.36,1247.00,9.1964,2.745677
2026-04-23 13:45:08,combination_p1_high,15.33,5.05,4.70,4.77,0.80,197.91,212.70,209.50,1247.54,9.4598,2.773048
2026-04-23 13:45:09,combination_p1_high,15.32,5.03,4.70,4.78,0.80,198.68,212.81,209.05,1247.54,9.6015,2.791143
2026-04-23 13:45:10,combination_p1_high,15.30,5.02,4.70,4.78,0.80,199.36,212.88,209.03,1248.69,9.6964,2.816904
2026-04-23 13:45:11,combination_p1_high,15.20,4.96,4.69,4.76,0.80,201.70,213.41,210.26,1245.11,9.8702,2.854932
2026-04-23 13:45:12,combination_p1_high,15.19,4.94,4.69,4.74,0.81,202.32,213.01,210.76,1240.41,10.0162,2.880285
2026-04-23 13:45:13,combination_p1_high,15.24,4.93,4.72,4.78,0.81,202.89,211.87,209.33,1233.08,10.0560,2.887704
2026-04-23 13:45:14,combination_p1_high,15.23,4.91,4.71,4.81,0.81,203.77,212.34,208.06,1234.66,10.2910,2.899125
2026-04-23 13:45:15,combination_p1_high,15.24,4.89,4.69,4.85,0.81,204.38,213.28,206.11,1234.66,10.4784,2.906228
2026-04-23 13:45:16,combination_p1_high,15.23,4.88,4.67,4.87,0.81,205.00,214.08,205.16,1235.73,10.4882,2.925981
2026-04-23 13:45:17,combination_p1_high,15.27,4.88,4.67,4.91,0.81,204.79,214.15,203.69,1240.77,10.6649,2.935967
2026-04-23 13:45:18,combination_p1_high,15.25,4.88,4.65,4.91,0.81,204.91,214.87,203.79,1237.73,10.7804,2.956275
2026-04-23 13:45:19,combination_p1_high,15.25,4.89,4.65,4.91,0.81,204.52,215.15,203.75,1238.04,10.9631,2.969839
2026-04-23 13:45:20,combination_p1_high,15.24,4.87,4.65,4.90,0.81,205.16,214.84,203.97,1238.04,11.0874,2.977083
2026-04-23 13:45:21,combination_p1_high,15.24,4.89,4.65,4.90,0.81,204.54,215.21,204.02,1238.85,11.1378,2.991173
2026-04-23 13:45:22,combination_p1_high,15.20,4.89,4.63,4.87,0.81,204.50,216.09,205.29,1238.84,11.3394,3.010978
2026-04-23 13:45:23,combination_p1_high,15.19,4.90,4.62,4.86,0.81,203.91,216.53,205.70,1237.58,11.4507,3.028512
2026-04-23 13:45:24,combination_p1_high,15.19,4.90,4.63,4.86,0.81,204.12,216.19,205.85,1239.11,11.6572,3.040723
2026-04-23 13:45:25,combination_p1_high,15.17,4.89,4.62,4.85,0.81,204.44,216.43,206.19,1239.11,11.7110,3.051114
2026-04-23 13:45:26,combination_p1_high,15.11,4.88,4.59,4.83,0.81,204.73,217.71,207.24,1237.65,11.8107,3.076090
2026-04-23 13:45:27,combination_p1_high,15.09,4.88,4.59,4.81,0.81,204.83,217.99,207.89,1230.74,11.8451,3.094103
2026-04-23 13:45:28,combination_p1_high,15.10,4.89,4.57,4.83,0.81,204.61,218.71,207.23,1230.74,12.2182,3.100973
2026-04-23 13:45:29,combination_p1_high,15.09,4.88,4.56,4.85,0.80,204.93,219.34,206.08,1254.86,12.3517,3.115855
2026-04-23 13:45:30,combination_p1_high,15.10,4.87,4.56,4.87,0.79,205.18,219.41,205.21,1258.86,12.6007,3.126516
2026-04-23 13:45:31,combination_p1_high,15.07,4.85,4.57,4.86,0.79,206.20,218.88,205.91,1258.86,12.6508,3.137553
2026-04-23 13:45:32,combination_p1_high,15.06,4.84,4.59,4.84,0.80,206.63,218.08,206.63,1256.08,12.6560,3.159747
2026-04-23 13:45:33,combination_p1_high,15.05,4.83,4.59,4.83,0.80,206.90,218.04,206.94,1251.02,12.6891,3.170435
2026-04-23 13:45:34,combination_p1_high,15.08,4.83,4.59,4.87,0.80,207.12,218.06,205.50,1248.03,12.7080,3.170271
2026-04-23 13:45:35,combination_p1_high,15.14,4.83,4.60,4.91,0.80,207.14,217.51,203.79,1244.98,12.7261,3.163477
