timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 11:24:38,combination_stable,17.35,6.90,4.17,6.28,0.00,144.99,239.86,159.16,0.00,0.0000,0.000000
2026-04-21 11:24:39,combination_stable,18.91,7.45,4.88,6.58,0.00,134.23,204.97,152.00,0.00,0.0000,0.000000
2026-04-21 11:24:40,combination_stable,18.55,6.78,4.46,6.28,1.03,147.51,224.10,159.25,968.15,0.0000,0.000000
2026-04-21 11:24:41,combination_stable,17.53,5.87,4.16,6.47,1.03,170.38,240.52,154.55,968.15,0.0000,0.000000
2026-04-21 11:24:42,combination_stable,18.94,6.20,4.70,7.00,1.03,161.34,212.59,142.84,968.15,0.0000,0.000000
2026-04-21 11:24:43,combination_stable,19.29,6.08,5.12,7.06,1.03,164.40,195.34,141.70,968.15,0.0000,0.000000
2026-04-21 11:24:44,combination_stable,18.77,5.71,5.10,7.01,0.95,175.23,196.17,142.73,1047.20,0.0000,0.000000
2026-04-21 11:24:45,combination_stable,18.58,5.66,5.16,6.80,0.95,176.57,193.81,147.08,1047.20,0.0000,0.000000
2026-04-21 11:24:46,combination_stable,18.60,5.59,5.13,6.93,0.95,178.99,195.04,144.23,1047.20,0.0000,0.000000
2026-04-21 11:24:47,combination_stable,18.26,5.51,5.12,6.67,0.96,181.55,195.47,149.84,1042.53,0.0000,0.000000
2026-04-21 11:24:48,combination_stable,18.26,5.44,5.13,6.73,0.96,183.68,194.81,148.64,1042.53,0.0000,0.000000
2026-04-21 11:24:49,combination_stable,18.70,5.58,5.31,6.85,0.96,179.37,188.26,145.95,1042.53,0.0000,0.000000
2026-04-21 11:24:50,combination_stable,18.47,5.46,5.30,6.75,0.96,183.11,188.60,148.16,1043.25,0.0000,0.000000
2026-04-21 11:24:51,combination_stable,18.46,5.50,5.28,6.72,0.96,181.95,189.36,148.72,1043.25,0.0000,0.000000
2026-04-21 11:24:52,combination_stable,18.67,5.59,5.38,6.74,0.96,178.93,186.00,148.29,1043.25,0.0000,0.000000
2026-04-21 11:24:53,combination_stable,18.67,5.54,5.31,6.86,0.96,180.62,188.16,145.75,1043.25,0.0000,0.000000
2026-04-21 11:24:54,combination_stable,18.50,5.44,5.27,6.82,0.97,183.95,189.78,146.67,1029.12,0.0000,0.000000
