timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 16:12:33,combination_stable,15.56,4.34,4.27,6.95,0.00,230.34,234.08,143.90,0.00,0.0000,0.000000
2026-04-23 16:12:34,combination_stable,17.11,5.14,5.15,6.81,0.00,194.54,194.07,146.77,0.00,0.0000,0.000000
2026-04-23 16:12:35,combination_stable,18.08,5.85,5.40,6.83,0.00,170.89,185.35,146.41,0.00,0.0000,0.000000
2026-04-23 16:12:36,combination_stable,18.18,5.82,5.20,6.19,0.96,171.85,192.34,161.43,1036.47,0.0000,0.000000
2026-04-23 16:12:37,combination_stable,18.59,5.84,5.43,6.36,0.96,171.36,184.03,157.30,1036.47,0.0000,0.000000
2026-04-23 16:12:38,combination_stable,18.37,5.85,5.39,6.16,0.96,170.83,185.58,162.26,1036.47,0.0000,0.000000
2026-04-23 16:12:39,combination_stable,17.63,5.85,5.08,5.84,0.86,170.83,196.74,171.22,1168.29,0.0000,0.000000
2026-04-23 16:12:40,combination_stable,17.54,5.88,4.88,5.92,0.86,170.15,205.01,168.78,1168.29,0.0000,0.000000
2026-04-23 16:12:41,combination_stable,18.27,6.17,4.92,6.32,0.86,162.19,203.13,158.19,1168.29,0.0000,0.000000
2026-04-23 16:12:42,combination_stable,17.97,6.05,4.85,6.21,0.86,165.20,205.99,161.04,1168.29,0.0000,0.000000
2026-04-23 16:12:43,combination_stable,17.60,5.88,4.72,6.15,0.86,170.01,211.86,162.71,1167.15,0.0000,0.000000
2026-04-23 16:12:44,combination_stable,17.87,5.90,4.81,6.31,0.86,169.51,207.96,158.56,1167.15,0.0000,0.000000
2026-04-23 16:12:45,combination_stable,17.64,5.90,4.79,6.09,0.86,169.54,208.63,164.13,1167.15,0.0000,0.000000
2026-04-23 16:12:46,combination_stable,17.51,5.77,4.85,6.01,0.88,173.42,206.21,166.25,1137.57,0.0000,0.000000
2026-04-23 16:12:47,combination_stable,17.83,5.87,4.87,6.21,0.88,170.24,205.32,161.14,1137.57,0.0000,0.000000
2026-04-23 16:12:48,combination_stable,18.00,5.97,4.85,6.30,0.88,167.60,206.12,158.74,1137.57,0.0000,0.000000
2026-04-23 16:12:49,combination_stable,17.77,5.89,4.81,6.19,0.88,169.75,208.08,161.44,1135.21,0.0000,0.000000
2026-04-23 16:12:52,combination_xgb_pick,9.21,4.52,4.69,0.00,0.00,221.34,213.30,0.00,0.00,1.4612,17.007295
2026-04-23 16:12:52,combination_xgb_pick,116.49,51.15,50.11,13.30,1.93,19.55,19.96,75.21,517.26,2.0674,6.469979
2026-04-23 16:12:53,combination_xgb_pick,190.82,85.00,89.08,14.27,2.47,11.76,11.23,70.05,405.13,2.7362,3.667867
2026-04-23 16:12:54,combination_xgb_pick,245.80,112.51,116.68,13.99,2.62,8.89,8.57,71.48,381.42,3.2980,2.849895
2026-04-23 16:12:55,combination_xgb_pick,280.63,128.11,135.64,14.27,2.62,7.81,7.37,70.07,382.23,3.7229,2.426577
2026-04-23 16:12:56,combination_xgb_pick,304.84,138.93,149.13,14.20,2.58,7.20,6.71,70.40,387.15,4.3639,2.261511
2026-04-23 16:12:57,combination_xgb_pick,669.63,336.33,316.93,13.98,2.39,2.97,3.16,71.51,418.02,16.4865,2.026655
2026-04-23 16:12:58,combination_xgb_pick,586.93,296.17,274.82,13.57,2.38,3.38,3.64,73.69,420.95,16.7574,2.081226
2026-04-23 16:12:59,combination_xgb_pick,563.89,281.90,266.26,13.55,2.18,3.55,3.76,73.80,459.22,18.8848,2.156358
