timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 11:29:06,combination_stable,11.74,3.87,5.37,2.51,0.00,258.61,186.35,399.18,0.00,0.0000,0.000000
2026-04-21 11:29:07,combination_stable,13.69,4.91,6.17,2.62,0.00,203.75,162.10,382.12,0.00,0.0000,0.000000
2026-04-21 11:29:08,combination_stable,12.24,3.75,5.25,2.49,0.76,266.76,190.63,401.96,1312.57,0.0000,0.000000
2026-04-21 11:29:09,combination_stable,12.36,3.63,5.35,2.62,0.76,275.33,187.06,381.23,1312.57,0.0000,0.000000
2026-04-21 11:29:10,combination_stable,12.88,3.84,5.58,2.69,0.76,260.40,179.08,371.39,1312.57,0.0000,0.000000
2026-04-21 11:29:11,combination_stable,12.26,3.72,5.07,2.71,0.76,268.94,197.07,369.38,1312.57,0.0000,0.000000
2026-04-21 11:29:12,combination_stable,12.19,3.70,5.13,2.68,0.68,270.38,194.83,372.90,1466.12,0.0000,0.000000
2026-04-21 11:29:13,combination_stable,12.44,3.82,5.09,2.85,0.68,261.95,196.39,351.17,1466.12,0.0000,0.000000
2026-04-21 11:29:14,combination_stable,12.73,3.99,5.03,3.03,0.68,250.68,199.00,329.81,1466.12,0.0000,0.000000
2026-04-21 11:29:15,combination_stable,12.56,3.99,4.79,3.08,0.70,250.75,208.70,324.54,1422.26,0.0000,0.000000
2026-04-21 11:29:16,combination_stable,12.54,3.95,4.81,3.07,0.70,252.88,207.84,325.86,1422.26,0.0000,0.000000
2026-04-21 11:29:17,combination_stable,12.82,4.02,4.91,3.19,0.70,248.51,203.86,313.30,1422.26,0.0000,0.000000
2026-04-21 11:29:18,combination_stable,13.13,4.13,4.98,3.31,0.70,242.11,200.70,302.14,1422.26,0.0000,0.000000
2026-04-21 11:29:19,combination_stable,13.17,4.16,4.96,3.34,0.70,240.16,201.67,299.06,1428.59,0.0000,0.000000
2026-04-21 11:29:20,combination_stable,13.42,4.26,5.01,3.45,0.70,234.90,199.45,290.11,1428.59,0.0000,0.000000
2026-04-21 11:29:21,combination_stable,13.56,4.28,5.08,3.50,0.70,233.54,196.74,285.93,1428.59,0.0000,0.000000
2026-04-21 11:29:22,combination_stable,13.66,4.30,5.14,3.53,0.69,232.36,194.72,283.10,1446.92,0.0000,0.000000
2026-04-21 11:29:23,combination_burst,13.70,4.37,4.94,3.69,0.69,228.88,202.37,270.73,1446.92,0.1685,1.034210
2026-04-21 11:29:24,combination_burst,13.70,4.35,4.82,3.82,0.71,229.72,207.51,262.10,1411.50,0.7978,1.232399
2026-04-21 11:29:25,combination_burst,13.65,4.34,4.75,3.85,0.72,230.64,210.67,259.84,1395.80,1.3121,1.501376
2026-04-21 11:29:26,combination_burst,13.63,4.25,4.73,3.92,0.72,235.03,211.23,254.94,1395.80,2.1634,1.689520
2026-04-21 11:29:27,combination_burst,13.68,4.22,4.69,4.06,0.71,237.24,213.03,246.36,1410.50,3.0732,1.910353
2026-04-21 11:29:28,combination_burst,13.77,4.20,4.65,4.20,0.72,238.36,215.08,238.00,1390.80,4.0788,2.107827
2026-04-21 11:29:29,combination_burst,13.81,4.16,4.59,4.34,0.72,240.45,217.71,230.35,1390.80,5.1673,2.208776
2026-04-21 11:29:30,combination_burst,14.04,4.19,4.72,4.42,0.72,238.89,211.96,226.47,1379.41,5.6449,2.310423
2026-04-21 11:29:31,combination_xgb_pick,14.22,4.19,4.82,4.46,0.74,238.57,207.36,224.05,1350.30,6.1619,2.387258
2026-04-21 11:29:32,combination_xgb_pick,14.10,4.18,4.80,4.37,0.75,239.31,208.53,228.71,1327.27,6.7160,2.474896
2026-04-21 11:29:33,combination_xgb_pick,13.78,4.17,4.63,4.23,0.76,240.08,215.99,236.32,1319.74,7.4448,2.632237
2026-04-21 11:29:34,combination_all_gpu,13.72,4.13,4.58,4.23,0.77,241.86,218.26,236.24,1294.58,7.9841,2.774847
2026-04-21 11:29:35,combination_all_gpu,13.80,4.21,4.54,4.26,0.78,237.46,220.22,234.59,1281.60,8.4223,2.843075
2026-04-21 11:29:36,combination_all_gpu,13.90,4.29,4.51,4.32,0.78,232.96,221.91,231.45,1275.05,8.9281,2.896535
2026-04-21 11:29:37,combination_all_gpu,14.09,4.47,4.47,4.36,0.79,223.62,223.76,229.42,1270.06,9.3078,2.914987
2026-04-21 11:29:38,combination_all_gpu,14.28,4.60,4.49,4.40,0.80,217.58,222.86,227.38,1256.52,9.5425,2.925520
2026-04-21 11:29:39,combination_all_gpu,14.40,4.68,4.49,4.43,0.80,213.88,222.52,225.51,1256.52,9.7629,2.920746
2026-04-21 11:29:40,combination_all_gpu,14.49,4.78,4.47,4.44,0.80,209.22,223.90,225.26,1246.75,9.9134,2.939829
2026-04-21 11:29:41,combination_all_gpu,14.58,4.83,4.45,4.50,0.81,207.07,224.92,222.43,1239.45,10.1113,2.969310
2026-04-21 11:29:42,combination_all_gpu,14.64,4.86,4.47,4.52,0.79,205.76,223.94,221.21,1259.70,10.5967,2.997051
2026-04-21 11:29:43,combination_all_gpu,14.69,4.88,4.48,4.53,0.79,204.77,223.09,220.57,1259.70,10.8460,3.003039
