timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 16:09:32,combination_stable,15.56,3.51,4.02,8.03,0.00,284.71,248.67,124.55,0.00,0.0000,0.000000
2026-04-23 16:09:33,combination_stable,17.06,4.01,4.62,8.43,0.00,249.53,216.40,118.62,0.00,0.0000,0.000000
2026-04-23 16:09:34,combination_stable,15.31,4.29,4.47,6.56,0.00,233.19,223.88,152.54,0.00,0.0000,0.000000
2026-04-23 16:09:35,combination_stable,15.21,4.01,4.36,6.83,0.00,249.17,229.43,146.31,0.00,0.0000,0.000000
2026-04-23 16:09:36,combination_stable,15.70,3.87,4.66,6.66,0.50,258.18,214.67,150.09,1992.41,0.0000,0.000000
2026-04-23 16:09:37,combination_stable,15.83,4.01,4.81,6.51,0.50,249.26,207.95,153.65,1992.41,0.0000,0.000000
2026-04-23 16:09:38,combination_stable,15.22,4.07,4.90,5.76,0.50,245.95,204.14,173.73,1992.41,0.0000,0.000000
2026-04-23 16:09:39,combination_stable,15.10,4.20,4.81,5.47,0.62,238.04,207.74,182.92,1613.56,0.0000,0.000000
2026-04-23 16:09:40,combination_stable,15.46,4.35,4.97,5.52,0.62,229.81,201.37,181.02,1613.56,0.0000,0.000000
2026-04-23 16:09:41,combination_stable,15.22,4.32,4.90,5.38,0.62,231.47,204.26,185.83,1613.56,0.0000,0.000000
2026-04-23 16:09:42,combination_stable,15.10,4.32,4.86,5.28,0.64,231.52,205.70,189.36,1563.13,0.0000,0.000000
2026-04-23 16:09:43,combination_stable,15.34,4.39,4.96,5.34,0.64,227.58,201.66,187.16,1563.13,0.0000,0.000000
2026-04-23 16:09:44,combination_stable,15.37,4.34,5.05,5.34,0.64,230.55,197.90,187.16,1563.13,0.0000,0.000000
2026-04-23 16:09:45,combination_stable,14.95,4.37,4.88,5.01,0.70,228.92,205.07,199.70,1428.39,0.0000,0.000000
2026-04-23 16:09:46,combination_stable,15.16,4.45,4.86,5.16,0.70,224.63,205.93,193.97,1428.39,0.0000,0.000000
2026-04-23 16:09:47,combination_stable,15.49,4.50,4.92,5.37,0.70,221.99,203.46,186.15,1428.39,0.0000,0.000000
2026-04-23 16:09:48,combination_stable,15.61,4.50,4.97,5.41,0.74,222.44,201.04,185.01,1352.87,0.0000,0.000000
2026-04-23 16:09:49,combination_burst,15.66,4.46,5.04,5.42,0.74,224.39,198.26,184.61,1352.87,0.0571,3.272534
2026-04-23 16:09:50,combination_burst,15.69,4.42,5.10,5.41,0.76,226.13,196.13,184.90,1314.61,2.4864,3.739778
2026-04-23 16:09:51,combination_burst,15.84,4.45,5.18,5.45,0.76,224.64,192.88,183.64,1314.61,5.0767,4.334276
2026-04-23 16:09:52,combination_burst,16.03,4.46,5.26,5.54,0.77,224.28,190.04,180.54,1294.04,7.3166,4.772095
2026-04-23 16:09:53,combination_burst,16.12,4.50,5.31,5.54,0.78,222.31,188.50,180.51,1280.99,9.2553,5.307636
2026-04-23 16:09:54,combination_burst,16.33,4.54,5.45,5.54,0.79,220.16,183.35,180.52,1266.41,11.0662,5.758732
2026-04-23 16:09:55,combination_burst,16.25,4.54,5.52,5.40,0.80,220.41,181.20,185.09,1255.63,12.9784,6.180852
2026-04-23 16:09:56,combination_burst,16.22,4.58,5.58,5.25,0.81,218.55,179.17,190.34,1235.26,14.5301,6.532086
2026-04-23 16:09:57,combination_burst,16.22,4.62,5.57,5.19,0.83,216.27,179.44,192.57,1209.67,15.9998,6.826261
2026-04-23 16:09:58,combination_burst,16.09,4.63,5.54,5.08,0.84,215.91,180.35,196.71,1197.55,17.3959,7.084380
2026-04-23 16:09:59,combination_burst,15.96,4.62,5.47,5.04,0.84,216.62,182.90,198.56,1189.01,18.7266,7.341272
2026-04-23 16:10:00,combination_burst,15.86,4.60,5.42,5.01,0.84,217.61,184.54,199.78,1184.04,19.9995,7.556973
2026-04-23 16:10:01,combination_burst,15.71,4.59,5.35,4.93,0.84,217.79,187.01,202.80,1184.04,21.1495,7.714522
2026-04-23 16:10:02,combination_burst,15.71,4.62,5.34,4.91,0.85,216.54,187.32,203.81,1177.13,22.1634,7.882670
