timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-13 20:41:24,combination_stable,6.28,1.94,2.58,1.75,0.00,515.99,387.05,570.31,0.00,22.9385,2.850603
2026-04-13 20:41:25,combination_stable,7.28,2.00,2.92,1.83,0.52,499.01,342.26,546.38,1918.51,20.0007,6.029511
2026-04-13 20:41:26,combination_stable,7.15,1.95,2.88,1.79,0.52,512.07,346.84,558.02,1918.51,20.9955,6.056614
2026-04-13 20:41:27,combination_stable,7.08,1.87,2.86,1.80,0.55,534.96,349.89,554.15,1823.71,20.7310,6.144398
2026-04-13 20:41:28,combination_stable,7.12,1.90,2.81,1.86,0.55,526.89,355.72,537.31,1823.71,21.1972,6.174019
2026-04-13 20:41:29,combination_stable,7.04,1.88,2.71,1.88,0.57,533.13,369.28,531.21,1746.95,20.9975,6.061775
2026-04-13 20:41:30,combination_stable,6.82,1.88,2.51,1.86,0.57,533.25,398.54,536.84,1746.95,21.8558,6.117568
2026-04-13 20:41:31,combination_stable,6.75,1.89,2.47,1.83,0.55,528.30,404.08,546.29,1819.33,21.4990,6.132447
2026-04-13 20:41:32,combination_stable,6.67,1.91,2.39,1.83,0.55,524.59,419.01,547.47,1804.03,21.6662,6.169064
2026-04-13 20:41:33,combination_stable,6.70,1.92,2.35,1.87,0.55,519.95,426.08,533.74,1804.03,21.1994,6.165581
2026-04-13 20:41:34,combination_stable,6.80,1.95,2.35,1.95,0.55,512.56,424.84,513.57,1822.38,21.2463,6.145005
2026-04-13 20:41:35,combination_stable,6.88,1.95,2.35,2.04,0.55,513.63,425.57,490.67,1822.38,20.9996,6.081197
2026-04-13 20:41:36,combination_stable,6.91,1.96,2.33,2.07,0.55,509.86,428.61,482.33,1828.91,20.9199,6.070025
2026-04-13 20:41:37,combination_stable,6.90,1.93,2.31,2.12,0.55,517.51,433.18,472.60,1828.91,20.9276,6.061807
2026-04-13 20:41:38,combination_stable,6.94,1.91,2.29,2.18,0.55,523.30,436.44,458.15,1810.40,20.7893,6.042311
2026-04-13 20:41:39,combination_stable,6.87,1.90,2.26,2.16,0.55,526.21,442.43,463.14,1810.40,20.9995,6.052905
2026-04-13 20:41:40,combination_stable,6.82,1.89,2.24,2.15,0.55,530.06,447.42,464.90,1829.14,20.9410,6.074516
2026-04-13 20:41:43,combination_burst,6.69,1.88,2.17,2.09,0.55,531.53,459.81,478.07,1829.14,19.2798,1514.655283
2026-04-13 20:41:43,combination_burst,6.69,1.88,2.17,2.09,0.55,531.53,459.81,478.07,1829.14,19.2746,1514.655283
2026-04-13 20:41:44,combination_burst,6.74,1.91,2.19,2.11,0.54,523.17,457.57,473.47,1868.44,28.6660,1554.666604
2026-04-13 20:41:45,combination_burst,6.94,2.01,2.23,2.16,0.54,497.11,447.60,462.26,1868.44,37.5899,1501.528272
2026-04-13 20:41:46,combination_burst,7.20,2.11,2.32,2.24,0.52,473.11,431.37,446.64,1905.88,43.5214,1448.438409
2026-04-13 20:41:47,combination_burst,7.43,2.20,2.36,2.32,0.55,454.09,423.67,431.11,1834.34,48.2918,1401.308171
2026-04-13 20:41:48,combination_burst,7.62,2.30,2.40,2.37,0.55,434.40,417.45,422.34,1811.28,51.7996,1351.886777
2026-04-13 20:41:49,combination_burst,7.80,2.35,2.48,2.42,0.55,425.91,402.65,413.38,1811.28,54.7640,1326.706095
2026-04-13 20:41:50,combination_burst,8.02,2.40,2.56,2.48,0.57,416.11,389.97,402.80,1755.18,60.0204,1295.482713
2026-04-13 20:41:54,combination_ml_pick,10.08,3.08,3.15,3.19,0.66,324.31,317.10,313.96,1521.75,60.2642,2298.454195
2026-04-13 20:41:55,combination_ml_pick,16.91,5.11,5.15,5.20,1.46,195.88,194.31,192.41,686.16,63.6949,1293.622104
2026-04-13 20:41:56,combination_ml_pick,27.57,8.36,8.31,8.42,2.47,119.61,120.39,118.70,404.11,69.9276,781.520694
2026-04-13 20:41:57,combination_ml_pick,38.24,11.66,11.53,11.67,3.37,85.77,86.74,85.66,296.36,75.8980,560.387550
