timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-13 20:40:23,combination_stable,7.15,3.02,1.80,1.80,0.53,331.36,554.15,557.01,1890.62,22.9664,5.678682
2026-04-13 20:40:24,combination_stable,7.56,3.38,1.97,1.68,0.53,295.96,507.61,594.41,1890.62,20.0239,5.623712
2026-04-13 20:40:25,combination_stable,7.43,3.17,1.90,1.82,0.54,315.10,525.75,549.76,1866.78,21.0165,5.848915
2026-04-13 20:40:26,combination_stable,7.31,3.09,1.90,1.79,0.54,323.99,527.65,559.31,1866.78,20.5111,5.865159
2026-04-13 20:40:27,combination_stable,7.34,3.03,1.92,1.86,0.53,329.75,521.42,537.85,1884.44,20.8100,5.938294
2026-04-13 20:40:28,combination_stable,7.36,3.02,1.92,1.88,0.53,331.15,519.66,531.13,1884.44,21.1646,5.910598
2026-04-13 20:40:29,combination_stable,7.42,2.94,1.93,2.02,0.53,340.34,519.45,494.65,1871.82,20.8557,5.883504
2026-04-13 20:40:30,combination_stable,7.48,2.89,1.91,2.14,0.53,345.90,523.78,466.38,1871.82,20.8738,5.827844
2026-04-13 20:40:31,combination_stable,7.45,2.86,1.89,2.17,0.53,349.19,529.85,461.09,1880.72,20.5545,5.829061
2026-04-13 20:40:32,combination_stable,7.42,2.79,1.85,2.24,0.53,358.55,540.71,445.44,1880.72,21.0048,5.834467
2026-04-13 20:40:33,combination_stable,7.39,2.69,1.87,2.30,0.52,371.91,533.88,434.63,1906.06,21.0033,5.859906
2026-04-13 20:40:34,combination_stable,7.47,2.59,1.97,2.39,0.52,386.54,507.11,418.18,1906.06,20.9207,5.807310
2026-04-13 20:40:35,combination_stable,7.53,2.50,2.06,2.44,0.52,400.06,485.13,409.04,1907.72,20.9261,5.782304
2026-04-13 20:40:36,combination_stable,7.56,2.46,2.12,2.45,0.52,406.40,472.61,407.42,1907.72,21.0691,5.742564
2026-04-13 20:40:37,combination_stable,7.51,2.39,2.14,2.46,0.52,418.35,466.75,406.35,1925.30,21.0660,5.781009
2026-04-13 20:40:38,combination_stable,7.55,2.37,2.19,2.48,0.52,422.79,456.16,404.01,1925.30,21.1281,5.778578
2026-04-13 20:40:39,combination_stable,7.51,2.31,2.21,2.48,0.52,433.43,451.70,403.78,1939.25,21.1200,5.822190
2026-04-13 20:40:43,combination_burst,7.30,2.23,2.16,2.40,0.52,449.42,463.60,416.20,1939.25,18.4778,1281.725311
2026-04-13 20:40:43,combination_burst,7.23,2.23,2.11,2.37,0.53,449.42,474.42,421.22,1902.69,19.1507,1288.111724
2026-04-13 20:40:44,combination_burst,7.37,2.24,2.18,2.42,0.53,445.93,457.77,413.72,1902.69,24.1071,1362.228026
2026-04-13 20:40:45,combination_burst,7.60,2.25,2.32,2.48,0.54,443.58,430.76,403.68,1842.78,32.8792,1348.498553
2026-04-13 20:40:46,combination_burst,7.79,2.27,2.45,2.51,0.56,441.39,408.09,398.79,1778.25,42.1081,1334.864265
2026-04-13 20:40:47,combination_burst,8.11,2.39,2.60,2.55,0.57,418.23,385.16,392.59,1750.04,51.3507,1285.291883
2026-04-13 20:40:48,combination_burst,8.43,2.54,2.70,2.59,0.59,393.18,369.84,385.80,1701.51,59.4503,1223.411697
2026-04-13 20:40:49,combination_burst,8.72,2.69,2.79,2.63,0.60,372.37,358.02,379.64,1660.05,65.9987,1171.307181
2026-04-13 20:40:54,combination_ml_pick,16.70,5.00,5.48,4.85,1.38,200.12,182.45,206.18,726.89,66.8845,1300.488935
2026-04-13 20:40:55,combination_ml_pick,24.88,7.35,8.02,7.25,2.27,136.14,124.72,138.02,440.67,71.0961,857.693836
2026-04-13 20:40:56,combination_ml_pick,35.59,10.56,11.38,10.43,3.23,94.72,87.88,95.92,309.91,77.1216,594.994692
2026-04-13 20:40:57,combination_ml_pick,45.87,13.61,14.62,13.50,4.14,73.49,68.39,74.09,241.53,82.6340,458.921314
2026-04-13 20:40:58,combination_ml_pick,56.10,16.68,17.85,16.57,5.01,59.95,56.02,60.37,199.73,88.0875,373.132960
2026-04-13 20:40:59,combination_ml_pick,65.90,19.62,20.97,19.50,5.82,50.98,47.69,51.29,171.93,93.1682,316.408473
2026-04-13 20:41:00,combination_ml_pick,75.78,22.63,24.10,22.46,6.60,44.19,41.50,44.52,151.61,98.2431,273.593323
2026-04-13 20:41:01,combination_ml_pick,85.01,25.41,27.00,25.26,7.34,39.35,37.03,39.59,136.26,102.8764,242.482976
2026-04-13 20:41:02,combination_ml_pick,94.25,28.22,29.93,28.03,8.06,35.43,33.41,35.68,124.01,107.1555,217.727087
2026-04-13 20:41:03,combination_ml_pick,103.08,30.94,32.70,30.68,8.76,32.32,30.58,32.60,114.20,111.2992,197.976447
2026-04-13 20:41:04,combination_ml_pick,111.44,33.47,35.34,33.20,9.43,29.88,28.29,30.12,106.05,115.0753,182.314360
2026-04-13 20:41:05,combination_ml_pick,119.89,36.06,38.00,35.77,10.06,27.73,26.31,27.96,99.40,118.8444,168.597817
2026-04-13 20:41:06,combination_ml_pick,128.25,38.64,40.64,38.30,10.67,25.88,24.61,26.11,93.70,122.3233,156.909454
2026-04-13 20:41:07,combination_ml_pick,136.37,41.15,43.19,40.76,11.28,24.30,23.15,24.54,88.68,125.6949,146.874355
2026-04-13 20:41:08,combination_ml_pick,144.18,43.59,45.65,43.12,11.82,22.94,21.90,23.19,84.57,128.9204,138.351274
2026-04-13 20:41:09,combination_ml_pick,151.81,45.99,48.06,45.42,12.34,21.74,20.81,22.02,81.03,131.8363,130.890734
2026-04-13 20:41:10,combination_ml_pick,159.38,48.35,50.43,47.73,12.87,20.68,19.83,20.95,77.67,134.8807,124.096516
2026-04-13 20:41:11,combination_ml_pick,166.89,50.72,52.76,50.05,13.37,19.72,18.95,19.98,74.81,137.9051,118.019748
2026-04-13 20:41:12,combination_ml_pick,174.30,53.04,55.12,52.32,13.82,18.85,18.14,19.11,72.36,140.7460,112.598181
2026-04-13 20:41:13,combination_ml_pick,181.75,55.40,57.45,54.59,14.31,18.05,17.41,18.32,69.87,143.4734,107.597507
