timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 13:59:41,combination_stable,10.25,5.44,4.81,0.00,0.00,183.82,207.71,0.00,0.00,0.0000,0.000000
2026-04-21 13:59:42,combination_stable,23.41,5.93,6.30,11.18,0.00,168.62,158.85,89.41,0.00,0.0000,0.000000
2026-04-21 13:59:43,combination_stable,16.91,5.35,6.17,5.40,0.00,186.98,162.12,185.25,0.00,0.0000,0.000000
2026-04-21 13:59:44,combination_stable,14.28,3.82,5.54,4.25,0.66,261.46,180.43,235.18,1523.64,0.0000,0.000000
2026-04-21 13:59:45,combination_stable,14.70,3.92,5.81,4.32,0.66,255.37,172.11,231.63,1523.64,0.0000,0.000000
2026-04-21 13:59:46,combination_stable,15.14,4.23,5.78,4.47,0.66,236.58,172.87,223.54,1523.64,0.0000,0.000000
2026-04-21 13:59:47,combination_stable,15.51,4.34,5.92,4.54,0.71,230.50,169.03,220.07,1414.64,0.0000,0.000000
2026-04-21 13:59:48,combination_stable,15.69,4.41,5.79,4.78,0.71,226.61,172.70,209.20,1414.64,0.0000,0.000000
2026-04-21 13:59:49,combination_stable,15.90,4.65,5.60,4.95,0.71,215.10,178.56,202.21,1414.64,0.0000,0.000000
2026-04-21 13:59:50,combination_stable,15.97,4.78,5.46,5.02,0.71,209.01,183.01,199.32,1414.64,0.0000,0.000000
2026-04-21 13:59:51,combination_stable,16.01,4.87,5.24,5.16,0.73,205.18,190.68,193.69,1375.56,0.0000,0.000000
2026-04-21 13:59:52,combination_stable,16.32,5.06,5.29,5.24,0.73,197.74,188.89,190.70,1375.56,0.0000,0.000000
2026-04-21 13:59:53,combination_stable,16.41,5.19,5.26,5.24,0.73,192.78,190.18,191.00,1375.56,0.0000,0.000000
2026-04-21 13:59:54,combination_stable,16.39,5.14,5.07,5.40,0.77,194.41,197.27,185.06,1296.07,0.0000,0.000000
2026-04-21 13:59:55,combination_stable,16.53,5.15,5.09,5.52,0.77,194.36,196.30,181.03,1296.07,0.0000,0.000000
2026-04-21 13:59:56,combination_stable,16.61,5.22,5.10,5.52,0.77,191.62,196.03,181.32,1296.07,0.0000,0.000000
2026-04-21 13:59:57,combination_stable,16.38,5.10,5.05,5.48,0.76,196.24,197.98,182.52,1319.14,0.0000,0.000000
2026-04-21 13:59:58,combination_burst,16.25,5.04,4.98,5.47,0.76,198.27,200.62,182.98,1319.14,0.0000,0.768528
