timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 14:13:48,combination_stable,12.16,3.64,4.59,3.42,0.50,274.37,217.84,292.18,1983.34,0.0000,0.000000
2026-04-21 14:13:49,combination_stable,14.72,4.37,5.59,4.26,0.50,228.96,178.96,234.62,1983.34,0.0000,0.000000
2026-04-21 14:13:50,combination_stable,15.01,3.82,6.44,4.25,0.50,262.10,155.28,235.11,1983.34,0.0000,0.000000
2026-04-21 14:13:51,combination_stable,13.53,3.30,6.33,3.35,0.56,303.11,158.10,298.84,1774.49,0.0000,0.000000
2026-04-21 14:13:52,combination_stable,14.19,3.45,6.66,3.51,0.56,290.12,150.12,284.58,1774.49,0.0000,0.000000
2026-04-21 14:13:53,combination_stable,13.23,3.29,5.80,3.58,0.56,304.03,172.37,279.49,1774.49,0.0000,0.000000
2026-04-21 14:13:54,combination_stable,12.47,3.17,5.16,3.55,0.59,315.47,193.82,281.39,1708.37,0.0000,0.000000
2026-04-21 14:13:55,combination_stable,12.46,3.49,4.93,3.46,0.59,286.31,203.05,288.93,1708.37,0.0000,0.000000
2026-04-21 14:13:56,combination_stable,12.57,3.47,4.89,3.62,0.59,288.24,204.35,275.99,1708.37,0.0000,0.000000
2026-04-21 14:13:57,combination_stable,12.57,3.46,4.89,3.64,0.59,289.42,204.68,274.46,1708.37,0.0000,0.000000
2026-04-21 14:13:58,combination_stable,12.23,3.41,4.76,3.50,0.56,292.91,210.22,285.47,1793.19,0.0000,0.000000
2026-04-21 14:13:59,combination_stable,12.17,3.49,4.54,3.58,0.56,286.21,220.38,279.50,1793.19,0.0000,0.000000
2026-04-21 14:14:00,combination_stable,12.16,3.58,4.35,3.64,0.59,279.18,229.98,274.93,1682.44,0.0000,0.000000
2026-04-21 14:14:01,combination_stable,11.54,3.47,4.16,3.32,0.59,288.57,240.36,301.33,1682.44,0.0000,0.000000
