timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 14:21:43,combination_stable,7.82,4.15,3.66,0.00,0.00,240.71,273.11,0.00,0.00,0.0000,0.000000
2026-04-21 14:21:44,combination_stable,14.53,5.44,4.24,4.85,0.00,183.85,235.83,206.24,0.00,0.0000,0.000000
2026-04-21 14:21:45,combination_stable,13.70,5.06,4.23,4.41,0.00,197.43,236.36,226.82,0.00,0.0000,0.000000
2026-04-21 14:21:46,combination_stable,10.92,4.13,3.60,3.20,0.00,241.97,278.10,312.96,0.00,0.0000,0.000000
2026-04-21 14:21:47,combination_stable,10.57,3.68,3.38,2.98,0.54,272.00,296.07,335.73,1851.79,0.0000,0.000000
2026-04-21 14:21:48,combination_stable,10.43,3.59,3.37,2.93,0.54,278.80,296.63,341.47,1851.79,0.0000,0.000000
2026-04-21 14:21:49,combination_stable,10.18,3.45,3.47,2.72,0.54,289.76,288.55,367.26,1851.79,0.0000,0.000000
2026-04-21 14:21:50,combination_stable,9.86,3.33,3.41,2.54,0.57,300.11,293.23,393.52,1748.65,0.0000,0.000000
2026-04-21 14:21:51,combination_stable,9.72,3.20,3.45,2.50,0.57,312.21,290.12,400.41,1748.65,0.0000,0.000000
2026-04-21 14:21:52,combination_stable,9.85,3.16,3.46,2.65,0.57,316.02,288.86,376.88,1748.65,0.0000,0.000000
2026-04-21 14:21:53,combination_stable,9.89,3.13,3.42,2.76,0.57,319.53,292.29,361.88,1748.65,0.0000,0.000000
2026-04-21 14:21:54,combination_stable,9.94,3.16,3.37,2.85,0.56,316.50,296.86,351.01,1781.58,0.0000,0.000000
2026-04-21 14:21:55,combination_stable,10.00,3.16,3.31,2.97,0.56,316.28,301.75,337.10,1781.58,0.0000,0.000000
2026-04-21 14:21:56,combination_stable,9.97,3.14,3.22,3.05,0.56,318.81,310.45,327.51,1781.58,0.0000,0.000000
2026-04-21 14:21:57,combination_stable,9.91,3.09,3.13,3.12,0.58,323.33,319.73,320.79,1737.34,0.0000,0.000000
2026-04-21 14:21:58,combination_stable,9.95,3.10,3.11,3.17,0.58,323.07,321.24,315.61,1737.34,0.0000,0.000000
2026-04-21 14:21:59,combination_stable,10.20,3.15,3.20,3.28,0.58,317.52,312.97,305.00,1737.34,0.0000,0.000000
2026-04-21 14:22:00,combination_burst,10.37,3.18,3.22,3.40,0.58,314.12,310.77,294.53,1737.34,0.0000,1.640991
2026-04-21 14:22:01,combination_burst,10.35,3.24,3.10,3.46,0.56,309.03,322.86,289.29,1793.29,0.7090,1.776679
2026-04-21 14:22:02,combination_burst,10.58,3.32,3.02,3.68,0.56,301.64,331.11,271.39,1793.29,1.6033,2.008267
2026-04-21 14:22:03,combination_burst,10.72,3.41,2.93,3.83,0.55,293.13,341.15,261.32,1811.05,2.4589,2.258069
2026-04-21 14:22:04,combination_burst,10.70,3.46,2.84,3.85,0.55,289.37,351.58,259.88,1811.05,4.2654,2.440139
2026-04-21 14:22:05,combination_burst,10.71,3.50,2.73,3.95,0.54,285.51,366.37,253.36,1868.98,5.1042,2.766599
2026-04-21 14:22:06,combination_burst,10.73,3.53,2.67,3.99,0.54,283.08,374.10,250.66,1868.98,6.3425,2.924527
2026-04-21 14:22:07,combination_burst,10.81,3.54,2.58,4.14,0.54,282.10,386.97,241.74,1842.38,6.9860,3.236869
2026-04-21 14:22:08,combination_burst,10.85,3.57,2.54,4.19,0.55,279.94,393.91,238.60,1831.56,8.1705,3.480536
2026-04-21 14:22:09,combination_burst,10.84,3.58,2.46,4.25,0.55,279.33,406.62,235.06,1831.56,8.6959,3.658356
2026-04-21 14:22:10,combination_burst,10.92,3.64,2.44,4.28,0.55,274.38,409.61,233.88,1805.84,9.3655,3.820147
