timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 17:17:35,combination_stable,9.00,3.47,1.67,3.87,0.00,288.39,600.11,258.52,0.00,0.0000,0.136040
2026-04-23 17:17:36,combination_stable,9.87,3.85,1.64,3.83,0.55,259.47,610.57,260.86,1827.49,0.0000,0.152372
2026-04-23 17:17:37,combination_stable,9.60,3.85,1.56,3.63,0.55,259.43,640.66,275.17,1827.49,0.0000,0.240927
2026-04-23 17:17:38,combination_stable,9.39,3.76,1.55,3.53,0.56,266.08,644.67,283.43,1799.63,0.0000,0.262261
2026-04-23 17:17:39,combination_stable,9.97,3.95,1.99,3.48,0.56,252.97,502.70,287.65,1799.63,0.2053,0.260915
2026-04-23 17:17:40,combination_stable,10.33,4.07,2.26,3.44,0.56,245.62,441.71,290.93,1799.63,0.1704,0.187418
2026-04-23 17:17:41,combination_stable,10.25,4.05,2.16,3.41,0.62,247.02,462.66,292.96,1606.85,0.1456,0.181348
2026-04-23 17:17:42,combination_stable,10.26,4.00,2.37,3.26,0.62,249.74,421.23,306.51,1606.85,0.1271,0.132697
2026-04-23 17:17:43,combination_stable,10.45,3.94,2.49,3.39,0.62,253.56,401.15,295.24,1606.85,0.1127,0.103633
2026-04-23 17:17:44,combination_stable,10.44,3.89,2.55,3.38,0.62,257.17,392.11,295.72,1606.85,0.1013,0.084047
2026-04-23 17:17:45,combination_stable,10.35,3.74,2.59,3.43,0.59,267.68,385.87,291.86,1681.98,0.0920,0.068950
2026-04-23 17:17:46,combination_stable,10.38,3.69,2.67,3.42,0.59,270.84,374.37,292.16,1681.98,0.0842,0.052932
2026-04-23 17:17:47,combination_stable,10.36,3.70,2.73,3.34,0.59,270.36,366.80,299.60,1681.98,0.0777,0.040415
2026-04-23 17:17:48,combination_stable,10.41,3.71,2.76,3.33,0.61,269.83,361.75,299.99,1636.24,0.0721,0.030389
2026-04-23 17:17:49,combination_stable,10.54,3.71,2.87,3.35,0.61,269.47,348.65,298.37,1636.24,0.0672,0.017533
2026-04-23 17:17:50,combination_stable,10.64,3.72,2.90,3.41,0.61,268.75,344.56,293.53,1636.24,0.0630,0.009896
2026-04-23 17:17:51,combination_stable,10.68,3.72,2.89,3.46,0.61,269.16,345.83,288.86,1636.24,0.0593,0.005612
2026-04-23 17:17:52,cand_1,10.68,3.70,2.88,3.53,0.57,270.49,346.84,283.06,1756.31,0.3917,2.143597
2026-04-23 17:17:53,cand_1,10.71,3.71,2.86,3.57,0.57,269.52,349.18,280.20,1756.31,1.1129,2.325274
2026-04-23 17:17:54,cand_1,10.74,3.73,2.85,3.62,0.55,267.95,351.31,276.29,1828.07,1.9627,2.587393
2026-04-23 17:17:55,cand_1,10.76,3.75,2.84,3.63,0.55,266.69,352.31,275.50,1828.07,3.2582,2.794825
2026-04-23 17:17:56,cand_1,10.75,3.74,2.82,3.65,0.54,267.29,354.25,273.94,1861.13,4.6165,3.039020
2026-04-23 17:17:57,cand_1,10.73,3.73,2.80,3.66,0.54,268.37,357.03,273.05,1861.13,5.6841,3.191604
2026-04-23 17:17:58,cand_1,10.68,3.68,2.76,3.70,0.55,271.44,362.89,270.63,1831.35,6.4095,3.435388
2026-04-23 17:17:59,cand_1,10.67,3.68,2.71,3.72,0.56,271.68,369.59,269.06,1777.02,7.4786,3.670556
2026-04-23 17:18:00,cand_1,10.61,3.66,2.69,3.70,0.56,273.04,372.36,270.53,1777.02,8.4267,3.803004
2026-04-23 17:18:01,cand_1,10.56,3.65,2.66,3.68,0.57,274.12,376.04,271.49,1765.55,9.0061,3.988999
2026-04-23 17:18:02,cand_1,10.51,3.64,2.62,3.68,0.57,275.04,381.46,271.55,1765.55,10.0097,4.099070
2026-04-23 17:18:03,cand_1,10.33,3.62,2.60,3.56,0.55,275.88,385.00,280.87,1817.86,10.9453,4.293525
2026-04-23 17:18:04,cand_1,10.27,3.63,2.59,3.50,0.55,275.72,386.83,285.36,1817.86,11.5496,4.400269
2026-04-23 17:18:05,cand_1,10.16,3.62,2.57,3.41,0.55,275.96,388.81,293.23,1812.65,12.2122,4.559273
2026-04-23 17:18:06,cand_1,10.05,3.63,2.54,3.33,0.55,275.85,393.75,300.42,1812.65,12.9588,4.660811
2026-04-23 17:18:07,cand_1,9.92,3.62,2.52,3.23,0.55,276.39,397.28,309.59,1818.38,13.4468,4.847623
2026-04-23 17:18:08,cand_1,9.83,3.61,2.49,3.17,0.55,276.81,401.25,315.13,1818.38,14.1422,4.943635
2026-04-23 17:18:09,cand_1,9.75,3.62,2.47,3.10,0.55,276.09,404.07,322.44,1824.45,14.5680,5.080140
2026-04-23 17:18:10,cand_1,9.70,3.62,2.46,3.07,0.55,276.13,406.91,325.54,1824.45,15.2773,5.144294
2026-04-23 17:18:11,cand_1,9.64,3.63,2.44,3.02,0.55,275.29,409.94,331.30,1823.15,15.5136,5.269563
2026-04-23 17:18:12,cand_1,9.58,3.63,2.43,2.98,0.55,275.68,411.01,336.07,1823.15,16.2393,5.340390
2026-04-23 17:18:13,cand_1,9.54,3.62,2.43,2.95,0.55,276.56,411.49,339.36,1826.42,16.4650,5.446293
2026-04-23 17:18:14,cand_1,9.46,3.61,2.43,2.88,0.55,277.31,412.28,346.86,1819.96,17.0551,5.544876
2026-04-23 17:18:15,cand_1,9.44,3.62,2.42,2.85,0.55,276.44,412.52,350.74,1819.96,17.2740,5.588174
2026-04-23 17:18:16,cand_1,9.37,3.61,2.41,2.79,0.55,276.70,414.62,358.19,1816.28,17.6976,5.685735
2026-04-23 17:18:17,cand_1,9.33,3.62,2.40,2.76,0.55,276.57,416.49,362.16,1816.28,18.0311,5.742935
2026-04-23 17:18:18,cand_1,9.30,3.61,2.40,2.75,0.55,276.88,416.61,363.98,1834.63,18.5999,5.814432
2026-04-23 17:18:19,cand_1,9.27,3.61,2.40,2.72,0.55,277.32,417.00,368.00,1834.63,18.7427,5.863699
2026-04-23 17:18:20,cand_1,9.21,3.60,2.39,2.68,0.54,277.65,418.70,373.23,1837.41,19.1845,5.949224
2026-04-23 17:18:21,cand_1,9.19,3.60,2.39,2.66,0.54,277.90,419.07,375.33,1837.41,19.3509,5.994839
2026-04-23 17:18:22,cand_1,9.18,3.60,2.38,2.65,0.54,277.77,419.63,376.69,1837.41,19.8241,6.027569
2026-04-23 17:18:23,cand_1,9.13,3.59,2.37,2.62,0.54,278.26,421.38,380.96,1852.75,19.9709,6.101443
2026-04-23 17:18:24,cand_1,9.09,3.58,2.36,2.61,0.54,279.41,423.57,382.72,1850.53,20.3326,6.182338
2026-04-23 17:18:25,cand_1,9.07,3.58,2.35,2.60,0.54,279.23,426.07,384.60,1850.53,20.5214,6.218057
2026-04-23 17:18:26,cand_1,8.99,3.54,2.35,2.56,0.54,282.56,425.99,390.39,1850.53,20.9931,6.266925
