timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-23 17:15:10,combination_stable,9.62,3.11,2.87,2.90,0.74,322.03,348.09,344.71,1344.42,0.0000,0.000000
2026-04-23 17:15:11,combination_stable,10.26,3.11,3.04,3.37,0.74,321.84,329.41,296.78,1344.42,0.0000,0.000000
2026-04-23 17:15:12,combination_stable,10.14,2.66,3.15,3.57,0.74,375.26,317.14,279.77,1344.42,0.0000,0.000000
2026-04-23 17:15:13,combination_stable,10.12,2.57,3.18,3.62,0.74,388.43,314.47,275.92,1344.42,0.0000,0.000000
2026-04-23 17:15:14,combination_stable,10.00,2.46,3.25,3.81,0.49,406.58,307.83,262.78,2048.85,0.0000,0.000000
2026-04-23 17:15:15,combination_stable,10.08,2.44,3.05,4.10,0.49,409.57,328.38,243.87,2048.85,0.0000,0.000000
2026-04-23 17:15:16,combination_stable,10.47,2.41,3.15,4.43,0.49,415.09,317.85,225.68,2048.85,0.0000,0.000000
2026-04-23 17:15:17,combination_stable,10.33,2.38,3.18,4.30,0.47,421.02,314.43,232.54,2115.90,0.0000,0.000000
2026-04-23 17:15:18,combination_stable,10.35,2.29,3.19,4.40,0.47,436.55,313.95,227.23,2115.90,0.0000,0.000000
2026-04-23 17:15:19,combination_stable,10.47,2.25,3.22,4.53,0.47,444.92,310.64,220.61,2115.90,0.0000,0.000000
2026-04-23 17:15:20,combination_stable,10.54,2.22,3.23,4.60,0.50,451.44,309.83,217.51,2004.53,0.0000,0.000000
2026-04-23 17:15:21,combination_stable,10.63,2.31,3.26,4.56,0.50,432.55,306.58,219.52,2004.53,0.0000,0.000000
2026-04-23 17:15:22,combination_stable,10.61,2.34,3.16,4.61,0.50,427.63,315.96,216.89,2004.53,0.0000,0.000000
2026-04-23 17:15:23,combination_stable,10.56,2.38,3.09,4.60,0.50,420.87,323.16,217.60,2004.53,0.0000,0.000000
2026-04-23 17:15:24,combination_stable,10.48,2.41,3.05,4.55,0.46,414.23,327.77,219.58,2165.85,0.0000,0.000000
2026-04-23 17:15:25,combination_stable,10.48,2.44,2.95,4.63,0.46,410.09,339.02,216.20,2165.85,0.0000,0.000000
2026-04-23 17:15:26,combination_stable,10.40,2.41,2.87,4.65,0.46,414.12,347.88,214.88,2165.85,0.0000,0.000000
2026-04-23 17:15:27,combination_burst,10.40,2.41,2.82,4.72,0.46,415.44,355.14,211.89,2183.99,0.0000,2.181646
2026-04-23 17:15:28,combination_burst,10.52,2.39,2.78,4.90,0.46,418.78,360.20,204.23,2183.99,0.8634,2.209544
