timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-09 19:38:15,combination_baseline,968.60,12.42,437.14,504.01,15.03,80.51,2.29,1.98,66.54,69.7525,13.601687
2026-04-09 19:38:16,combination_baseline,722.60,13.79,363.89,329.05,15.87,72.54,2.75,3.04,63.00,75.3462,12.509941
2026-04-09 19:38:17,combination_baseline,747.96,13.86,369.82,348.95,15.34,72.16,2.70,2.87,65.20,73.2043,12.694790
2026-04-09 19:38:18,combination_baseline,759.81,14.32,376.19,353.64,15.67,69.82,2.66,2.83,63.83,73.7782,12.341746
2026-04-09 19:38:19,combination_baseline,751.79,14.57,361.11,360.10,16.01,68.64,2.77,2.78,62.45,74.6613,12.094846
2026-04-09 19:38:20,combination_baseline,745.15,14.33,355.66,359.09,16.06,69.79,2.81,2.78,62.25,76.0071,12.179977
2026-04-09 19:38:21,combination_baseline,749.76,13.86,355.31,364.40,16.19,72.15,2.81,2.74,61.78,77.0345,12.351299
2026-04-09 19:38:22,combination_baseline,734.03,13.63,345.38,358.90,16.12,73.37,2.90,2.79,62.04,77.7989,12.490872
2026-04-09 19:38:23,combination_baseline,736.70,13.36,352.48,355.01,15.85,74.86,2.84,2.82,63.09,78.5864,12.733325
2026-04-09 19:38:24,combination_baseline,744.62,13.37,353.19,362.17,15.90,74.80,2.83,2.76,62.91,77.9170,12.709761
2026-04-09 19:38:28,combination_failure,13.14,4.13,3.03,2.26,3.74,242.37,330.35,443.43,267.73,11.9996,60.650451
2026-04-09 19:38:29,combination_failure,14.44,4.22,3.94,2.56,3.71,236.94,253.49,390.23,269.61,19.5177,58.162867
2026-04-09 19:38:30,combination_failure,14.50,4.20,3.94,2.68,3.69,238.15,253.90,373.34,271.21,30.6384,58.196842
2026-04-09 19:38:31,combination_failure,14.29,4.04,3.85,2.72,3.68,247.55,259.84,367.40,271.48,41.0300,59.115854
2026-04-09 19:38:32,combination_failure,15.91,3.77,3.83,2.97,5.34,265.24,260.83,337.17,187.11,147.1100,51.895204
2026-04-09 19:38:33,combination_failure,15.42,4.04,4.23,2.93,4.22,247.74,236.26,341.69,237.01,154.8805,54.882354
2026-04-09 19:38:34,combination_failure,15.42,3.93,4.23,2.92,4.34,254.32,236.50,342.60,230.44,155.7222,54.852269
2026-04-09 19:38:35,combination_failure,15.31,3.99,4.05,2.90,4.37,250.36,246.86,345.02,228.89,169.9426,54.555129
2026-04-09 19:38:36,combination_failure,15.02,4.04,3.93,2.89,4.17,247.41,254.74,345.82,240.06,192.8934,55.554043
2026-04-09 19:38:37,combination_failure,14.86,3.95,3.88,2.88,4.15,253.34,257.56,346.83,241.11,200.5095,56.274727
2026-04-09 19:38:38,combination_failure,15.36,4.12,4.13,2.91,4.21,242.88,242.40,343.93,237.49,201.7606,54.626019
2026-04-09 19:38:39,combination_failure,15.57,4.13,4.22,3.01,4.22,242.32,237.23,332.39,237.06,202.1414,54.270423
2026-04-09 19:38:40,combination_failure,15.65,4.02,4.24,3.23,4.15,248.68,235.74,309.34,240.72,204.3734,54.862465
2026-04-09 19:38:41,combination_failure,15.68,3.95,4.21,3.33,4.19,253.22,237.46,300.39,238.47,208.5851,54.958505
2026-04-09 19:38:42,combination_failure,15.80,4.00,4.19,3.43,4.17,250.06,238.40,291.64,239.54,210.7925,54.664026
2026-04-09 19:38:45,combination_recovery,5.79,2.90,0.00,2.89,0.00,345.17,0.00,346.23,0.00,0.0000,36.448180
2026-04-09 19:38:45,combination_recovery,11.25,2.90,0.00,8.35,0.00,345.17,0.00,119.70,0.00,0.0746,33.163601
2026-04-09 19:38:46,combination_recovery,337.42,12.80,223.72,91.23,9.67,78.11,4.47,10.96,103.38,9.3046,17.063038
2026-04-09 19:38:47,combination_recovery,483.22,15.15,311.03,146.44,10.60,66.01,3.22,6.83,94.34,16.2327,15.040147
2026-04-09 19:38:48,combination_recovery,545.36,16.48,332.23,185.81,10.84,60.69,3.01,5.38,92.26,20.7298,14.339639
2026-04-09 19:38:49,combination_recovery,590.54,16.71,349.42,213.33,11.09,59.84,2.86,4.69,90.21,23.7922,14.055923
2026-04-09 19:38:50,combination_recovery,938.96,22.48,489.61,416.11,10.76,44.49,2.04,2.40,92.94,65.7638,12.909371
2026-04-09 19:38:51,combination_recovery,801.86,18.52,423.91,346.94,12.49,54.01,2.36,2.88,80.04,74.4858,12.499641
2026-04-09 19:38:52,combination_recovery,774.74,17.19,412.45,332.45,12.65,58.18,2.42,3.01,79.05,71.8611,12.787320
2026-04-09 19:38:53,combination_recovery,807.19,16.34,417.18,360.61,13.07,61.19,2.40,2.77,76.54,73.8862,12.813398
2026-04-09 19:38:54,combination_recovery,780.04,16.41,388.68,361.34,13.61,60.92,2.57,2.77,73.45,74.8442,12.480323
