timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-10 11:02:23,combination_initial,17.50,5.32,3.55,3.49,5.15,188.01,281.53,286.89,194.29,63.0062,14.173334
2026-04-10 11:02:24,combination_initial,17.46,4.90,3.68,3.81,5.07,204.13,271.91,262.38,197.32,62.9856,14.397211
2026-04-10 11:02:25,combination_initial,18.08,4.89,3.64,4.07,5.48,204.43,274.43,245.98,182.45,61.3245,14.532679
2026-04-10 11:02:26,combination_initial,18.19,4.84,3.78,4.17,5.40,206.56,264.43,239.78,185.22,61.2508,14.347722
2026-04-10 11:02:27,combination_initial,17.70,4.78,3.78,4.14,4.99,209.07,264.36,241.37,200.23,60.9917,14.319911
2026-04-10 11:02:28,combination_initial,17.91,4.92,3.73,4.10,5.15,203.19,267.80,243.65,194.14,60.8032,14.255050
2026-04-10 11:02:29,combination_initial,18.06,4.94,3.82,4.02,5.27,202.33,261.69,248.58,189.73,60.7144,14.136558
2026-04-10 11:02:30,combination_overload,18.46,5.07,3.97,4.02,5.41,197.25,252.09,249.04,184.84,67.3259,36.120111
2026-04-10 11:02:31,combination_overload,18.61,5.14,3.98,4.08,5.42,194.64,251.10,245.35,184.62,75.3310,35.929524
2026-04-10 11:02:32,combination_overload,18.70,5.19,4.02,4.26,5.24,192.69,248.92,234.98,190.95,81.3996,35.610805
2026-04-10 11:02:33,combination_offload,18.28,5.05,4.00,4.25,4.98,197.92,250.23,235.26,200.71,82.9038,36.062983
2026-04-10 11:02:34,combination_offload,17.89,4.83,3.99,4.29,4.77,207.04,250.79,232.87,209.45,87.2469,36.824614
2026-04-10 11:02:35,combination_offload,17.76,4.69,4.02,4.29,4.76,213.43,248.75,232.89,210.26,91.8409,37.422016
2026-04-10 11:02:36,combination_offload,17.66,4.55,4.04,4.29,4.78,219.83,247.29,232.90,209.40,96.0716,37.838398
2026-04-10 11:02:37,combination_offload,17.59,4.44,4.10,4.29,4.76,225.25,243.82,232.84,210.25,99.5290,38.065077
2026-04-10 11:02:38,combination_offload,17.56,4.35,4.22,4.32,4.68,229.97,237.11,231.69,213.68,102.3718,38.005131
2026-04-10 11:02:39,combination_offload,17.46,4.30,4.18,4.35,4.63,232.79,239.15,229.70,215.91,104.0555,38.184433
2026-04-10 11:02:40,combination_offload,17.27,4.18,4.09,4.39,4.61,239.51,244.46,227.79,216.80,103.2187,39.073508
2026-04-10 11:02:41,combination_offload,17.20,4.19,4.05,4.39,4.57,238.47,247.19,228.04,218.64,103.4717,39.457517
2026-04-10 11:02:42,combination_offload,17.17,4.24,3.99,4.40,4.54,236.07,250.53,227.20,220.44,103.4466,39.623294
2026-04-10 11:02:43,combination_offload,17.14,4.26,3.94,4.43,4.50,234.59,253.71,225.48,222.40,103.3294,39.753109
2026-04-10 11:02:44,combination_offload,17.05,4.25,3.92,4.42,4.46,235.18,255.37,226.31,224.30,103.1158,39.990105
