timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score
2026-04-21 21:45:24,combination_stable,16.87,5.28,5.09,5.93,0.58,189.42,196.45,168.76,1733.76,0.0000,0.302816
2026-04-21 21:45:25,combination_stable,17.81,5.34,5.26,6.49,0.71,187.11,189.98,154.03,1405.20,0.0000,0.301925
2026-04-21 21:45:26,combination_stable,17.72,5.41,5.23,6.38,0.71,184.95,191.36,156.74,1405.20,0.0000,0.293235
2026-04-21 21:45:27,combination_stable,17.19,5.24,5.17,6.15,0.62,190.69,193.43,162.55,1612.31,1.2498,0.392763
2026-04-21 21:45:28,combination_stable,17.35,5.27,5.26,6.15,0.66,189.84,189.99,162.62,1504.84,1.9998,0.450006
2026-04-21 21:45:29,combination_stable,17.14,5.19,5.27,6.00,0.68,192.61,189.78,166.77,1472.56,3.1648,0.503119
2026-04-21 21:45:30,combination_stable,17.03,5.17,5.23,5.95,0.68,193.42,191.25,168.13,1472.56,3.4283,0.519071
2026-04-21 21:45:31,combination_stable,16.10,4.96,4.95,5.51,0.68,201.77,201.86,181.62,1466.35,3.9997,0.593728
2026-04-21 21:45:32,combination_stable,15.76,4.79,4.85,5.42,0.71,208.75,206.40,184.47,1413.61,3.9998,0.685599
2026-04-21 21:45:33,combination_stable,15.86,4.80,4.86,5.48,0.73,208.51,205.73,182.62,1369.53,3.7998,0.730081
2026-04-21 21:45:34,combination_stable,15.94,4.79,4.88,5.53,0.74,208.67,204.79,180.82,1355.96,4.1818,0.757974
2026-04-21 21:45:35,combination_stable,16.02,4.80,4.90,5.58,0.74,208.35,204.02,179.13,1355.96,4.2501,0.773471
2026-04-21 21:45:36,combination_stable,16.06,4.81,4.91,5.61,0.74,208.10,203.71,178.15,1356.29,4.2308,0.797357
2026-04-21 21:45:37,combination_stable,16.13,4.84,4.89,5.66,0.74,206.79,204.47,176.56,1357.67,4.5713,0.825454
2026-04-21 21:45:38,combination_stable,16.20,4.88,4.92,5.65,0.75,204.77,203.40,176.84,1340.36,4.4667,0.837533
2026-04-21 21:45:39,combination_stable,16.08,4.77,4.91,5.65,0.75,209.58,203.48,176.95,1340.36,4.6248,0.849583
2026-04-21 21:45:40,combination_stable,16.01,4.70,4.91,5.66,0.74,212.82,203.70,176.62,1353.44,4.8234,0.884443
2026-04-21 21:45:41,combination_stable,16.02,4.65,4.91,5.72,0.74,215.23,203.51,174.83,1356.01,5.1667,0.908306
2026-04-21 21:45:42,combination_stable,15.96,4.58,4.96,5.68,0.74,218.31,201.72,175.97,1348.89,5.2631,0.939433
2026-04-21 21:45:43,combination_stable,15.91,4.53,4.97,5.67,0.74,220.56,201.35,176.41,1348.89,5.2001,0.953625
2026-04-21 21:45:44,combination_stable,15.86,4.49,5.00,5.63,0.74,222.53,200.08,177.69,1342.54,5.1904,0.974086
2026-04-21 21:45:45,combination_stable,15.82,4.45,5.04,5.58,0.75,224.57,198.39,179.35,1338.39,5.3183,0.992677
2026-04-21 21:45:46,combination_stable,15.72,4.42,5.06,5.49,0.75,226.44,197.50,182.17,1332.92,5.3909,1.004774
2026-04-21 21:45:47,combination_stable,15.64,4.40,5.10,5.39,0.75,227.13,196.06,185.60,1332.92,5.4148,1.017575
2026-04-21 21:45:48,combination_stable,15.59,4.41,5.14,5.28,0.75,226.58,194.48,189.47,1328.14,5.2400,1.023065
2026-04-21 21:45:49,combination_stable,15.53,4.41,5.11,5.26,0.75,226.68,195.85,190.11,1332.29,5.4231,1.032215
