timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:13:02,combination_probe,434.10,57.98,80.52,78.12,217.48,17.25,12.42,12.80,4.60,0.0000,32.520462,665,277,228,160,0,0
2026-07-28 16:13:03,combination_probe,379.82,59.98,65.64,87.11,167.09,16.67,15.23,11.48,5.98,18.7502,35.097823,755,299,268,188,0,20
2026-07-28 16:13:04,combination_probe,383.16,58.43,67.36,87.13,170.24,17.11,14.85,11.48,5.87,34.8375,37.769607,815,300,299,216,0,72
2026-07-28 16:13:05,combination_probe,384.73,59.75,67.53,86.72,170.72,16.74,14.81,11.53,5.86,48.9143,43.088344,843,300,300,243,0,150
2026-07-28 16:13:06,combination_probe,382.19,59.98,66.49,86.58,169.14,16.67,15.04,11.55,5.91,57.0638,45.811690,868,299,299,270,0,232
2026-07-28 16:13:07,combination_probe,382.11,59.54,67.13,86.46,168.98,16.80,14.90,11.57,5.92,61.7869,51.262297,896,299,299,298,0,313
2026-07-28 16:13:08,combination_probe,384.30,59.48,67.58,86.78,170.46,16.81,14.80,11.52,5.87,68.7400,56.693437,898,300,299,299,0,417
2026-07-28 16:13:09,combination_probe,383.31,60.21,67.23,86.26,169.61,16.61,14.87,11.59,5.90,74.4405,64.861222,896,298,299,299,0,526
2026-07-28 16:13:10,combination_probe,385.67,60.42,67.44,87.05,170.76,16.55,14.83,11.49,5.86,78.4736,69.476159,896,298,299,299,0,633
2026-07-28 16:13:11,combination_probe,385.44,60.06,67.92,87.08,170.39,16.65,14.72,11.48,5.87,81.6159,72.908783,897,299,299,299,0,740
2026-07-28 16:13:12,combination_probe,386.39,60.04,67.70,87.58,171.06,16.65,14.77,11.42,5.85,84.3399,74.953937,898,300,299,299,0,849
2026-07-28 16:13:13,combination_probe,385.60,60.13,67.76,87.35,170.36,16.63,14.76,11.45,5.87,86.1203,75.236836,894,298,298,298,0,953
2026-07-28 16:13:14,combination_probe,386.41,60.12,67.75,87.92,170.62,16.63,14.76,11.37,5.86,87.4367,75.881106,897,299,299,299,0,1055
2026-07-28 16:13:15,combination_probe,385.57,60.08,67.60,88.25,169.65,16.64,14.79,11.33,5.89,88.9362,76.010663,897,299,299,299,0,1162
2026-07-28 16:13:16,combination_probe,385.63,60.09,67.57,88.45,169.52,16.64,14.80,11.31,5.90,89.9346,75.850105,896,299,299,298,0,1265
