timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:17:12,combination_probe,1147.80,222.06,461.67,464.07,0.00,4.50,2.17,2.15,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:13,combination_probe,1099.42,198.78,462.34,438.31,0.00,5.03,2.16,2.28,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:14,combination_probe,1038.72,204.07,406.24,428.41,0.00,4.90,2.46,2.33,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:15,combination_probe,1098.62,211.70,415.87,471.05,0.00,4.72,2.40,2.12,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:16,combination_probe,1058.70,216.21,395.20,447.29,0.00,4.63,2.53,2.24,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:17,combination_probe,1058.64,222.70,394.31,441.63,0.00,4.49,2.54,2.26,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:18,combination_probe,1072.01,226.53,400.56,444.92,0.00,4.41,2.50,2.25,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:19,combination_probe,1074.20,229.69,398.27,446.23,0.00,4.35,2.51,2.24,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:20,combination_probe,1050.98,227.54,392.12,431.32,0.00,4.39,2.55,2.32,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:21,combination_probe,1030.12,226.72,377.54,425.86,0.00,4.41,2.65,2.35,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:22,combination_probe,1040.56,228.31,375.16,437.09,0.00,4.38,2.67,2.29,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:23,combination_probe,1036.55,228.26,373.87,434.43,0.00,4.38,2.67,2.30,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:24,combination_probe,1041.47,225.92,372.09,443.46,0.00,4.43,2.69,2.25,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:25,combination_probe,1046.26,227.39,376.28,442.59,0.00,4.40,2.66,2.26,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:26,combination_probe,1045.63,229.18,372.57,443.88,0.00,4.36,2.68,2.25,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:27,combination_probe,1044.52,228.26,372.92,443.34,0.00,4.38,2.68,2.26,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:28,combination_probe,1048.59,227.58,375.64,445.36,0.00,4.39,2.66,2.25,0.00,0.0000,0.000000,1,0,1,0,0,0
2026-07-28 16:17:29,combination_probe,1039.75,227.96,369.12,442.68,0.00,4.39,2.71,2.26,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:30,combination_probe,1037.29,226.89,372.37,438.03,0.00,4.41,2.69,2.28,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:17:31,combination_probe,1040.81,224.83,376.38,439.61,0.00,4.45,2.66,2.27,0.00,0.0000,0.000000,0,0,0,0,0,0
