timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:24:07,combination_probe,100.97,25.45,38.68,36.84,0.00,39.30,25.85,27.14,0.00,43.0334,13.870900,35,11,12,12,0,43
2026-07-28 16:24:08,combination_probe,102.42,25.41,37.31,39.70,0.00,39.36,26.80,25.19,0.00,44.0014,18.440624,35,12,12,11,0,88
2026-07-28 16:24:09,combination_probe,104.76,25.35,38.05,41.36,0.00,39.44,26.28,24.18,0.00,43.0029,19.765349,34,12,12,10,0,129
2026-07-28 16:24:10,combination_probe,107.51,25.58,39.30,42.63,0.00,39.09,25.44,23.46,0.00,40.5023,25.016342,33,12,10,11,0,162
2026-07-28 16:24:11,combination_probe,107.27,25.43,39.38,42.46,0.00,39.32,25.40,23.55,0.00,39.9993,24.642417,34,12,11,11,0,200
2026-07-28 16:24:12,combination_probe,108.10,25.51,40.01,42.57,0.00,39.20,24.99,23.49,0.00,39.5028,24.744563,34,12,11,11,0,237
2026-07-28 16:24:13,combination_probe,109.39,25.58,40.58,43.22,0.00,39.09,24.64,23.14,0.00,38.5740,25.158402,33,12,11,10,0,270
2026-07-28 16:24:14,combination_probe,107.49,25.35,39.54,42.60,0.00,39.45,25.29,23.47,0.00,39.9989,26.705539,36,12,12,12,0,320
2026-07-28 16:24:15,combination_probe,107.44,25.44,39.24,42.76,0.00,39.31,25.48,23.39,0.00,40.2217,26.967920,32,12,10,10,0,362
2026-07-28 16:24:16,combination_probe,108.33,25.41,39.52,43.39,0.00,39.35,25.30,23.05,0.00,39.5000,26.930639,32,12,10,10,0,395
2026-07-28 16:24:17,combination_probe,108.02,25.31,39.53,43.18,0.00,39.51,25.30,23.16,0.00,39.4441,25.809664,33,12,11,10,0,434
2026-07-28 16:24:18,combination_probe,108.79,25.22,39.83,43.74,0.00,39.64,25.11,22.86,0.00,39.0859,26.029571,31,11,10,10,0,469
2026-07-28 16:24:19,combination_probe,109.20,25.23,40.17,43.80,0.00,39.63,24.90,22.83,0.00,38.4618,26.017221,34,12,11,11,0,500
2026-07-28 16:24:20,combination_probe,109.85,25.20,40.50,44.15,0.00,39.68,24.69,22.65,0.00,38.1308,25.354210,31,12,11,8,0,534
