timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:24:35,combination_probe,1131.11,224.88,470.43,435.80,0.00,4.45,2.13,2.29,0.00,0.0000,0.000000,1,1,0,0,0,0
2026-07-28 16:24:36,combination_probe,1183.77,219.19,439.91,524.66,0.00,4.56,2.27,1.91,0.00,0.0000,0.011084,0,0,0,0,0,0
2026-07-28 16:24:37,combination_probe,1157.65,217.80,418.12,521.73,0.00,4.59,2.39,1.92,0.00,0.0000,0.008313,1,1,0,0,0,0
2026-07-28 16:24:38,combination_probe,1086.06,219.69,382.12,484.24,0.00,4.55,2.62,2.07,0.00,0.0000,0.011084,0,0,0,0,0,0
2026-07-28 16:24:39,combination_probe,1063.77,222.04,365.21,476.52,0.00,4.50,2.74,2.10,0.00,0.0000,0.008313,0,0,0,0,0,0
2026-07-28 16:24:40,combination_probe,1059.57,224.51,363.56,471.50,0.00,4.45,2.75,2.12,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:24:41,combination_probe,1064.11,224.98,359.80,479.33,0.00,4.44,2.78,2.09,0.00,0.0000,0.000000,1,1,0,0,0,0
2026-07-28 16:24:42,combination_probe,1064.12,225.66,361.09,477.38,0.00,4.43,2.77,2.09,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:24:43,combination_probe,1064.09,225.76,364.19,474.14,0.00,4.43,2.75,2.11,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:24:44,combination_probe,1060.95,225.03,365.94,469.99,0.00,4.44,2.73,2.13,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:24:45,combination_probe,1063.01,224.98,365.66,472.37,0.00,4.44,2.73,2.12,0.00,0.0000,0.000000,1,1,0,0,0,0
2026-07-28 16:24:46,combination_probe,1052.06,223.17,361.79,467.10,0.00,4.48,2.76,2.14,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:24:47,combination_probe,1053.99,222.73,360.95,470.32,0.00,4.49,2.77,2.13,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:24:48,combination_probe,1055.28,221.55,361.67,472.06,0.00,4.51,2.76,2.12,0.00,0.0000,0.000000,1,1,0,0,0,0
