timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:36:36,combination_probe,216.74,5.76,18.70,192.28,0.00,173.47,53.48,5.20,0.00,215.8695,7.192299,4,2,2,0,0,216
2026-07-28 16:36:37,combination_probe,214.78,5.75,18.74,190.29,0.00,173.84,53.37,5.26,0.00,216.9045,9.656671,4,2,2,0,0,434
2026-07-28 16:36:38,combination_probe,216.46,5.76,18.77,191.93,0.00,173.73,53.28,5.21,0.00,216.6373,10.736066,3,1,2,0,0,650
2026-07-28 16:36:39,combination_probe,215.47,5.75,18.75,190.97,0.00,173.86,53.33,5.24,0.00,215.9378,14.278009,3,2,1,0,0,864
2026-07-28 16:36:40,combination_probe,215.11,5.75,18.74,190.62,0.00,174.04,53.35,5.25,0.00,216.3534,14.221739,4,2,2,0,0,1082
2026-07-28 16:36:41,combination_probe,215.30,5.75,18.75,190.80,0.00,173.97,53.34,5.24,0.00,216.3297,14.238898,4,2,2,0,0,1298
2026-07-28 16:36:42,combination_probe,215.36,5.75,18.75,190.86,0.00,173.93,53.33,5.24,0.00,216.2693,14.309813,3,2,1,0,0,1514
2026-07-28 16:36:43,combination_probe,215.05,5.75,18.73,190.57,0.00,174.04,53.38,5.25,0.00,216.1088,14.364660,2,1,1,0,0,1729
2026-07-28 16:36:44,combination_probe,214.85,5.75,18.73,190.38,0.00,174.04,53.39,5.25,0.00,216.3322,14.324985,4,2,2,0,0,1947
2026-07-28 16:36:45,combination_probe,214.81,5.75,18.74,190.33,0.00,174.05,53.37,5.25,0.00,216.3700,14.432216,4,2,2,0,0,2164
2026-07-28 16:36:46,combination_probe,215.05,5.75,18.74,190.56,0.00,173.99,53.36,5.25,0.00,216.0839,14.351204,3,1,2,0,0,2377
2026-07-28 16:36:47,combination_probe,215.03,5.75,18.75,190.54,0.00,173.98,53.35,5.25,0.00,216.2124,14.428474,4,2,2,0,0,2595
