timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:40:06,combination_probe,264.19,264.19,0.00,0.00,0.00,3.79,0.00,0.00,0.00,0.0000,0.645025,0,0,0,0,0,0
2026-07-28 16:40:07,combination_probe,1456.72,268.15,534.14,654.44,0.00,3.73,1.87,1.53,0.00,12.0256,0.322512,0,0,0,0,0,12
2026-07-28 16:40:08,combination_probe,1433.66,265.64,531.10,636.92,0.00,3.76,1.88,1.57,0.00,14.0173,0.233585,1,1,0,0,0,28
2026-07-28 16:40:09,combination_probe,1429.08,269.55,515.16,644.37,0.00,3.71,1.94,1.55,0.00,12.6754,0.175189,0,0,0,0,0,38
2026-07-28 16:40:10,combination_probe,1428.43,270.20,518.17,640.07,0.00,3.70,1.93,1.56,0.00,12.5072,0.013933,0,0,0,0,0,50
2026-07-28 16:40:11,combination_probe,1431.42,270.91,521.02,639.49,0.00,3.69,1.92,1.56,0.00,13.2059,0.000000,0,0,0,0,0,66
2026-07-28 16:40:12,combination_probe,1435.11,271.81,519.59,643.71,0.00,3.68,1.92,1.55,0.00,13.5043,0.000000,1,1,0,0,0,81
2026-07-28 16:40:13,combination_probe,1430.10,272.06,519.34,638.70,0.00,3.68,1.93,1.57,0.00,12.8618,0.000000,0,0,0,0,0,90
2026-07-28 16:40:14,combination_probe,1425.46,272.31,518.32,634.84,0.00,3.67,1.93,1.58,0.00,13.3779,0.000000,0,0,0,0,0,107
2026-07-28 16:40:15,combination_probe,1428.74,272.63,523.19,632.92,0.00,3.67,1.91,1.58,0.00,13.3363,0.000000,0,0,0,0,0,120
2026-07-28 16:40:16,combination_probe,1433.00,272.84,521.68,638.48,0.00,3.67,1.92,1.57,0.00,13.3035,0.000000,0,0,0,0,0,133
2026-07-28 16:40:17,combination_probe,1431.46,272.78,519.26,639.42,0.00,3.67,1.93,1.56,0.00,13.0932,0.000000,2,2,0,0,0,144
2026-07-28 16:40:18,combination_probe,1435.66,272.89,520.91,641.86,0.00,3.66,1.92,1.56,0.00,12.8359,0.000000,2,2,0,0,0,154
