timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:41:56,combination_probe,215.44,5.73,18.67,191.04,0.00,174.44,53.57,5.23,0.00,223.8565,7.279094,3,1,2,0,0,224
2026-07-28 16:41:57,combination_probe,215.81,5.74,18.68,191.39,0.00,174.11,53.53,5.22,0.00,220.9694,9.588393,4,2,2,0,0,442
2026-07-28 16:41:58,combination_probe,216.27,5.75,18.69,191.83,0.00,174.05,53.50,5.21,0.00,221.9731,10.837971,4,2,2,0,0,666
2026-07-28 16:41:59,combination_probe,215.36,5.75,18.68,190.93,0.00,173.86,53.54,5.24,0.00,222.0091,14.337707,4,2,2,0,0,888
2026-07-28 16:42:00,combination_probe,215.32,5.75,18.69,190.87,0.00,173.80,53.50,5.24,0.00,221.7679,14.267053,4,2,2,0,0,1109
2026-07-28 16:42:01,combination_probe,214.93,5.75,18.67,190.50,0.00,173.78,53.55,5.25,0.00,222.0039,14.320963,3,2,1,0,0,1332
2026-07-28 16:42:02,combination_probe,214.96,5.75,18.68,190.53,0.00,173.78,53.54,5.25,0.00,222.4348,14.258475,4,2,2,0,0,1557
2026-07-28 16:42:03,combination_probe,215.20,5.75,18.68,190.77,0.00,173.81,53.54,5.24,0.00,221.9939,14.263216,4,2,2,0,0,1776
2026-07-28 16:42:04,combination_probe,215.37,5.75,18.68,190.94,0.00,173.80,53.52,5.24,0.00,222.2177,14.245637,4,2,2,0,0,2000
2026-07-28 16:42:05,combination_probe,215.58,5.75,18.68,191.14,0.00,173.86,53.52,5.23,0.00,222.0742,14.139975,4,2,2,0,0,2221
2026-07-28 16:42:06,combination_probe,215.36,5.75,18.68,190.92,0.00,173.81,53.52,5.24,0.00,222.2632,14.190054,4,2,2,0,0,2445
2026-07-28 16:42:07,combination_probe,215.36,5.75,18.68,190.92,0.00,173.82,53.54,5.24,0.00,222.3321,14.306778,3,2,1,0,0,2668
