timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 16:53:10,combination_stable,610.41,95.48,244.89,270.05,0.00,10.47,4.08,3.70,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:11,combination_stable,653.17,100.02,261.52,291.64,0.00,10.00,3.82,3.43,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:12,combination_stable,662.28,99.25,259.22,303.81,0.00,10.08,3.86,3.29,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:13,combination_stable,667.02,97.50,264.82,304.70,0.00,10.26,3.78,3.28,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:14,combination_stable,656.52,98.12,254.29,304.11,0.00,10.19,3.93,3.29,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:15,combination_stable,657.26,97.52,258.69,301.05,0.00,10.25,3.87,3.32,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:16,combination_stable,666.95,97.69,265.08,304.18,0.00,10.24,3.77,3.29,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:17,combination_stable,665.50,98.05,263.73,303.72,0.00,10.20,3.79,3.29,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:18,combination_stable,658.56,97.82,262.05,298.69,0.00,10.22,3.82,3.35,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:19,combination_stable,659.17,98.52,263.85,296.79,0.00,10.15,3.79,3.37,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 16:53:20,combination_burst,641.66,98.22,255.78,287.65,0.00,10.18,3.91,3.48,0.00,0.0000,0.196908,5,5,0,0,0,0
2026-07-28 16:53:21,combination_burst,583.16,99.52,224.16,259.48,0.00,10.05,4.46,3.85,0.00,0.0000,1.136363,10,10,0,0,0,0
2026-07-28 16:53:22,combination_burst,539.74,98.68,203.60,237.47,0.00,10.13,4.91,4.21,0.00,0.8000,1.704309,11,11,0,0,0,10
2026-07-28 16:53:23,combination_burst,523.23,99.25,194.73,229.26,0.00,10.08,5.14,4.36,0.00,1.3333,2.597080,11,11,0,0,0,18
2026-07-28 16:53:24,combination_burst,514.58,99.45,190.22,224.91,0.00,10.06,5.26,4.45,0.00,1.7928,3.450816,10,10,0,0,0,26
2026-07-28 16:53:25,combination_burst,504.98,99.31,185.32,220.36,0.00,10.07,5.40,4.54,0.00,2.3225,3.534087,10,10,0,0,0,36
2026-07-28 16:53:26,combination_burst,498.07,99.30,181.54,217.24,0.00,10.07,5.51,4.60,0.00,2.7272,3.527634,10,10,0,0,0,45
2026-07-28 16:53:27,combination_burst,494.26,99.66,178.61,216.00,0.00,10.03,5.60,4.63,0.00,2.8570,3.514481,11,11,0,0,0,50
2026-07-28 16:53:28,cand_1,492.71,99.85,176.98,215.89,0.00,10.02,5.65,4.63,0.00,3.1350,3.440584,11,11,0,0,0,58
2026-07-28 16:53:29,cand_2,493.07,100.05,177.21,215.81,0.00,10.00,5.64,4.63,0.00,6.3586,3.754229,9,9,0,0,0,124
2026-07-28 16:53:30,cand_2,489.97,99.88,177.26,212.83,0.00,10.01,5.64,4.70,0.00,7.0244,3.688620,10,10,0,0,0,144
2026-07-28 16:53:31,cand_2,486.86,99.67,177.15,210.05,0.00,10.03,5.65,4.76,0.00,7.1627,3.729730,12,12,0,0,0,154
2026-07-28 16:53:32,cand_3,481.78,99.17,173.66,208.95,0.00,10.08,5.76,4.79,0.00,9.4664,7.636505,35,11,12,12,0,213
2026-07-28 16:53:33,cand_3,446.52,99.77,153.84,192.91,0.00,10.02,6.50,5.18,0.00,14.2552,14.116615,22,11,11,0,0,335
2026-07-28 16:53:34,cand_3,435.65,100.40,139.32,195.94,0.00,9.96,7.18,5.10,0.00,16.1627,18.831729,21,9,12,0,0,396
2026-07-28 16:53:35,cand_3,426.42,100.79,127.61,198.02,0.00,9.92,7.84,5.05,0.00,17.9597,18.510055,24,12,12,0,0,458
