timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 17:51:55,combination_stable,1390.16,243.27,410.47,736.42,0.00,4.11,2.44,1.36,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:51:56,combination_stable,1369.78,230.65,410.95,728.18,0.00,4.34,2.43,1.37,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:51:57,combination_stable,1345.39,222.75,410.63,712.01,0.00,4.49,2.44,1.40,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:51:58,combination_stable,1354.95,220.16,412.01,722.78,0.00,4.54,2.43,1.38,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:51:59,combination_stable,1340.40,220.65,408.81,710.94,0.00,4.53,2.45,1.41,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:52:00,combination_stable,1221.25,211.48,389.28,620.49,0.00,4.73,2.57,1.61,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:52:01,combination_stable,1241.15,213.48,392.25,635.42,0.00,4.68,2.55,1.57,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:52:02,combination_stable,1248.56,215.23,392.07,641.26,0.00,4.65,2.55,1.56,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:52:03,combination_stable,1258.16,217.85,393.05,647.26,0.00,4.59,2.54,1.54,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:52:04,combination_stable,1261.55,218.96,392.42,650.17,0.00,4.57,2.55,1.54,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:52:05,combination_burst,1004.94,166.05,392.08,446.81,0.00,6.02,2.55,2.24,0.00,13.3331,5.911418,4,2,2,0,0,146
2026-07-28 17:52:06,combination_burst,615.37,101.74,189.11,324.53,0.00,9.83,5.29,3.08,0.00,31.2956,10.788283,3,1,2,0,0,374
2026-07-28 17:52:07,combination_burst,476.93,77.68,117.95,281.30,0.00,12.87,8.48,3.55,0.00,46.0233,11.598849,3,2,1,0,0,596
2026-07-28 17:52:08,combination_burst,409.61,61.08,89.62,258.91,0.00,16.37,11.16,3.86,0.00,58.7796,14.378853,4,2,2,0,0,820
2026-07-28 17:52:09,combination_burst,373.03,52.17,74.08,246.77,0.00,19.17,13.50,4.05,0.00,69.6998,14.264095,4,2,2,0,0,1042
2026-07-28 17:52:10,combination_burst,347.16,44.64,64.12,238.39,0.00,22.40,15.60,4.19,0.00,79.2459,14.098152,4,2,2,0,0,1264
2026-07-28 17:52:11,combination_burst,328.27,39.22,57.17,231.87,0.00,25.50,17.49,4.31,0.00,87.7280,14.205422,4,2,2,0,0,1487
2026-07-28 17:52:12,combination_burst,314.54,35.73,51.84,226.97,0.00,27.98,19.29,4.41,0.00,95.1553,14.138802,4,2,2,0,0,1708
2026-07-28 17:52:13,combination_burst,303.33,32.40,48.01,222.92,0.00,30.86,20.83,4.49,0.00,101.8980,14.226040,4,2,2,0,0,1931
2026-07-28 17:52:14,combination_burst,294.62,29.73,44.95,219.93,0.00,33.63,22.25,4.55,0.00,107.9155,14.249402,4,2,2,0,0,2153
2026-07-28 17:52:15,combination_burst,285.88,27.82,42.40,215.67,0.00,35.95,23.59,4.64,0.00,113.5570,14.531830,4,2,2,0,0,2379
2026-07-28 17:52:16,cand_1,288.25,27.16,46.72,214.36,0.00,36.82,21.40,4.66,0.00,119.7280,10.898872,4,2,0,2,0,2628
2026-07-28 17:52:17,cand_1,293.90,31.54,56.24,206.12,0.00,31.70,17.78,4.85,0.00,119.6088,7.331680,0,0,0,0,0,2745
2026-07-28 17:52:18,cand_1,317.29,37.03,65.19,215.06,0.00,27.01,15.34,4.65,0.00,116.3211,0.000000,0,0,0,0,0,2786
2026-07-28 17:52:19,cand_1,339.55,42.28,73.41,223.86,0.00,23.65,13.62,4.47,0.00,113.3056,0.000000,2,2,0,0,0,2827
2026-07-28 17:52:20,cand_1,359.26,46.88,81.25,231.13,0.00,21.33,12.31,4.33,0.00,110.6371,0.000000,2,2,0,0,0,2871
2026-07-28 17:52:21,cand_1,378.74,51.29,88.57,238.88,0.00,19.50,11.29,4.19,0.00,108.2211,0.000000,0,0,0,0,0,2917
2026-07-28 17:52:22,cand_1,396.52,55.39,95.43,245.69,0.00,18.05,10.48,4.07,0.00,105.8312,0.001657,2,2,0,0,0,2958
2026-07-28 17:52:23,cand_1,414.48,59.64,102.08,252.76,0.00,16.77,9.80,3.96,0.00,103.5599,0.001657,0,0,0,0,0,2998
2026-07-28 17:52:24,cand_1,431.66,63.39,108.39,259.88,0.00,15.78,9.23,3.85,0.00,101.5677,0.001657,1,1,0,0,0,3042
2026-07-28 17:52:25,cand_1,447.57,67.06,114.40,266.11,0.00,14.91,8.74,3.76,0.00,99.6346,0.000000,1,0,1,0,0,3084
2026-07-28 17:52:26,cand_1,463.26,70.49,120.18,272.59,0.00,14.19,8.32,3.67,0.00,97.9029,0.000000,3,1,1,1,0,3128
2026-07-28 17:52:27,cand_1,477.75,73.91,125.43,278.42,0.00,13.53,7.97,3.59,0.00,96.0861,0.000000,0,0,0,0,0,3166
2026-07-28 17:52:28,cand_1,491.70,77.04,130.71,283.95,0.00,12.98,7.65,3.52,0.00,94.4896,0.000000,2,2,0,0,0,3208
2026-07-28 17:52:29,cand_1,505.43,79.99,135.77,289.67,0.00,12.50,7.37,3.45,0.00,93.0191,0.000000,2,2,0,0,0,3251
2026-07-28 17:52:30,cand_1,514.96,82.34,139.83,292.80,0.00,12.15,7.15,3.42,0.00,91.7103,0.000000,0,0,0,0,0,3297
2026-07-28 17:52:31,cand_1,526.75,85.08,144.28,297.40,0.00,11.75,6.93,3.36,0.00,90.2813,0.000000,2,2,0,0,0,3336
2026-07-28 17:52:32,cand_1,538.10,87.57,148.59,301.94,0.00,11.42,6.73,3.31,0.00,89.1174,0.000000,2,2,0,0,0,3382
2026-07-28 17:52:33,cand_1,549.36,90.15,152.55,306.66,0.00,11.09,6.56,3.26,0.00,87.8551,0.000000,2,2,0,0,0,3422
2026-07-28 17:52:34,cand_1,559.57,92.55,156.34,310.68,0.00,10.80,6.40,3.22,0.00,86.6836,0.000000,0,0,0,0,0,3463
2026-07-28 17:52:35,cand_1,569.17,94.83,160.26,314.09,0.00,10.55,6.24,3.18,0.00,85.5670,0.000000,2,2,0,0,0,3504
2026-07-28 17:52:36,cand_1,579.33,97.09,163.89,318.35,0.00,10.30,6.10,3.14,0.00,84.5297,0.000000,0,0,0,0,0,3546
2026-07-28 17:52:37,cand_1,588.72,99.13,167.28,322.31,0.00,10.09,5.98,3.10,0.00,83.5160,0.000000,1,1,0,0,0,3587
2026-07-28 17:52:38,cand_1,597.66,101.19,170.77,325.70,0.00,9.88,5.86,3.07,0.00,82.5714,0.000000,0,0,0,0,0,3629
2026-07-28 17:52:39,cand_1,605.88,102.99,173.96,328.92,0.00,9.71,5.75,3.04,0.00,81.7555,0.000000,1,0,0,1,0,3675
2026-07-28 17:52:40,cand_1,614.62,105.05,177.12,332.46,0.00,9.52,5.65,3.01,0.00,80.7835,0.000000,0,0,0,0,0,3712
2026-07-28 17:52:41,cand_1,623.35,106.86,180.33,336.15,0.00,9.36,5.55,2.97,0.00,79.9791,0.000000,0,0,0,0,0,3755
2026-07-28 17:52:42,cand_1,630.92,108.55,183.33,339.03,0.00,9.21,5.45,2.95,0.00,79.2279,0.000000,2,2,0,0,0,3799
2026-07-28 17:52:43,cand_1,638.80,110.31,186.20,342.30,0.00,9.07,5.37,2.92,0.00,78.4473,0.000000,2,2,0,0,0,3840
2026-07-28 17:52:44,cand_1,646.25,111.92,188.80,345.53,0.00,8.94,5.30,2.89,0.00,77.6974,0.000000,1,1,0,0,0,3881
2026-07-28 17:52:45,cand_1,650.33,112.96,190.71,346.67,0.00,8.85,5.24,2.88,0.00,77.1091,0.008200,0,0,0,0,0,3929
2026-07-28 17:52:46,cand_1,657.30,114.52,193.17,349.62,0.00,8.73,5.18,2.86,0.00,76.4959,0.008200,2,2,0,0,0,3974
2026-07-28 17:52:47,cand_1,663.95,116.08,195.42,352.45,0.00,8.61,5.12,2.84,0.00,75.7876,0.008200,2,2,0,0,0,4013
2026-07-28 17:52:48,cand_1,670.51,117.53,197.81,355.18,0.00,8.51,5.06,2.82,0.00,75.1595,0.006150,1,1,0,0,0,4055
2026-07-28 17:52:49,cand_1,676.52,118.86,200.23,357.43,0.00,8.41,4.99,2.80,0.00,74.5952,0.000000,1,1,0,0,0,4099
2026-07-28 17:52:50,cand_1,682.68,120.16,202.38,360.14,0.00,8.32,4.94,2.78,0.00,74.0125,0.000000,1,1,0,0,0,4141
2026-07-28 17:52:51,cand_1,688.56,121.50,204.58,362.47,0.00,8.23,4.89,2.76,0.00,73.4144,0.000000,0,0,0,0,0,4181
2026-07-28 17:52:52,cand_1,693.50,122.69,206.55,364.27,0.00,8.15,4.84,2.75,0.00,72.8046,0.000000,0,0,0,0,0,4219
2026-07-28 17:52:53,cand_1,699.30,123.99,208.65,366.66,0.00,8.07,4.79,2.73,0.00,72.2990,0.000000,0,0,0,0,0,4262
2026-07-28 17:52:54,cand_1,704.88,125.18,210.77,368.92,0.00,7.99,4.74,2.71,0.00,71.8098,0.000000,2,2,0,0,0,4305
2026-07-28 17:52:55,cand_1,709.97,126.39,212.59,370.99,0.00,7.91,4.70,2.70,0.00,71.2551,0.000000,1,1,0,0,0,4343
2026-07-28 17:52:56,cand_1,715.48,127.56,214.59,373.33,0.00,7.84,4.66,2.68,0.00,70.7806,0.000000,1,0,1,0,0,4385
2026-07-28 17:52:57,cand_1,720.22,128.57,216.47,375.18,0.00,7.78,4.62,2.67,0.00,70.3579,0.000000,0,0,0,0,0,4429
2026-07-28 17:52:58,cand_1,724.85,129.53,218.20,377.12,0.00,7.72,4.58,2.65,0.00,69.9458,0.000000,0,0,0,0,0,4473
2026-07-28 17:52:59,cand_1,729.55,130.56,219.94,379.06,0.00,7.66,4.55,2.64,0.00,69.4842,0.000000,0,0,0,0,0,4513
2026-07-28 17:53:00,cand_1,732.42,131.12,221.10,380.20,0.00,7.63,4.52,2.63,0.00,69.1868,0.017685,1,0,1,0,0,4563
2026-07-28 17:53:01,cand_1,736.36,132.03,222.48,381.85,0.00,7.57,4.49,2.62,0.00,68.7375,0.017685,0,0,0,0,0,4602
2026-07-28 17:53:02,cand_1,740.56,132.86,224.10,383.60,0.00,7.53,4.46,2.61,0.00,68.3740,0.013264,0,0,0,0,0,4646
2026-07-28 17:53:03,cand_1,745.21,133.89,225.86,385.46,0.00,7.47,4.43,2.59,0.00,67.9626,0.013364,0,0,0,0,0,4686
2026-07-28 17:53:04,cand_1,749.11,134.71,227.24,387.16,0.00,7.42,4.40,2.58,0.00,67.6343,0.000101,0,0,0,0,0,4731
2026-07-28 17:53:05,cand_1,752.39,135.56,228.56,388.27,0.00,7.38,4.38,2.58,0.00,67.2729,0.000101,1,1,0,0,0,4773
2026-07-28 17:53:06,cand_1,756.01,136.47,229.85,389.70,0.00,7.33,4.35,2.57,0.00,66.8664,0.000101,1,1,0,0,0,4811
2026-07-28 17:53:07,cand_1,759.92,137.37,231.40,391.16,0.00,7.28,4.32,2.56,0.00,66.4838,0.000000,1,1,0,0,0,4850
2026-07-28 17:53:08,cand_1,763.55,138.17,232.69,392.69,0.00,7.24,4.30,2.55,0.00,66.1390,0.005054,2,2,0,0,0,4891
2026-07-28 17:53:09,cand_1,767.18,138.96,234.09,394.13,0.00,7.20,4.27,2.54,0.00,65.8295,0.005054,0,0,0,0,0,4934
2026-07-28 17:53:10,cand_1,770.80,139.68,235.46,395.65,0.00,7.16,4.25,2.53,0.00,65.5567,0.003790,2,2,0,0,0,4979
2026-07-28 17:53:11,cand_1,774.09,140.38,236.66,397.05,0.00,7.12,4.23,2.52,0.00,65.2895,0.003790,2,2,0,0,0,5024
2026-07-28 17:53:12,cand_1,777.12,141.15,237.88,398.08,0.00,7.08,4.20,2.51,0.00,64.9514,0.000000,2,2,0,0,0,5063
2026-07-28 17:53:13,cand_1,780.18,141.84,239.10,399.25,0.00,7.05,4.18,2.50,0.00,64.6109,0.000000,1,1,0,0,0,5101
2026-07-28 17:53:14,cand_1,782.59,142.54,240.05,400.00,0.00,7.02,4.17,2.50,0.00,64.3134,0.000000,1,1,0,0,0,5142
2026-07-28 17:53:15,cand_1,783.82,143.00,240.66,400.16,0.00,6.99,4.16,2.50,0.00,64.0767,0.000000,2,2,0,0,0,5187
2026-07-28 17:53:16,cand_1,786.92,143.62,241.81,401.49,0.00,6.96,4.14,2.49,0.00,63.8557,0.000000,1,1,0,0,0,5233
2026-07-28 17:53:17,cand_1,790.38,144.29,243.10,402.99,0.00,6.93,4.11,2.48,0.00,63.5805,0.000000,2,2,0,0,0,5274
2026-07-28 17:53:18,cand_1,793.64,144.95,244.16,404.53,0.00,6.90,4.10,2.47,0.00,63.2870,0.000000,2,2,0,0,0,5313
2026-07-28 17:53:19,cand_1,796.81,145.62,245.28,405.92,0.00,6.87,4.08,2.46,0.00,63.0713,0.000000,0,0,0,0,0,5358
2026-07-28 17:53:20,cand_1,799.54,146.21,246.36,406.97,0.00,6.84,4.06,2.46,0.00,62.8391,0.000000,1,1,0,0,0,5401
2026-07-28 17:53:21,cand_1,802.43,146.83,247.49,408.10,0.00,6.81,4.04,2.45,0.00,62.6110,0.000000,1,1,0,0,0,5444
2026-07-28 17:53:22,cand_1,804.93,147.45,248.47,409.01,0.00,6.78,4.02,2.44,0.00,62.3877,0.000000,1,1,0,0,0,5487
2026-07-28 17:53:23,cand_1,808.10,148.03,249.56,410.51,0.00,6.76,4.01,2.44,0.00,62.1921,0.000000,1,1,0,0,0,5532
2026-07-28 17:53:24,cand_1,810.49,148.47,250.44,411.58,0.00,6.74,3.99,2.43,0.00,62.0459,0.000000,1,1,0,0,0,5581
2026-07-28 17:53:25,cand_1,813.10,149.05,251.43,412.62,0.00,6.71,3.98,2.42,0.00,61.7919,0.000000,0,0,0,0,0,5620
2026-07-28 17:53:26,cand_1,816.03,149.61,252.44,413.97,0.00,6.68,3.96,2.42,0.00,61.5990,0.000000,0,0,0,0,0,5664
2026-07-28 17:53:27,cand_1,818.71,150.19,253.36,415.15,0.00,6.66,3.95,2.41,0.00,61.3877,0.000000,0,0,0,0,0,5706
2026-07-28 17:53:28,cand_1,821.25,150.72,254.22,416.31,0.00,6.63,3.93,2.40,0.00,61.1603,0.000000,0,0,0,0,0,5746
2026-07-28 17:53:29,cand_1,823.76,151.23,255.13,417.40,0.00,6.61,3.92,2.40,0.00,60.9897,0.000000,2,2,0,0,0,5791
