timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 17:59:41,combination_stable,1143.64,230.94,404.49,508.21,0.00,4.33,2.47,1.97,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:42,combination_stable,1111.02,224.70,386.08,500.24,0.00,4.45,2.59,2.00,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:43,combination_stable,1118.56,225.41,399.95,493.20,0.00,4.44,2.50,2.03,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:44,combination_stable,1101.60,226.99,391.98,482.63,0.00,4.41,2.55,2.07,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:45,combination_stable,1059.66,216.08,370.24,473.34,0.00,4.63,2.70,2.11,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:46,combination_stable,1069.86,213.02,376.30,480.53,0.00,4.69,2.66,2.08,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:47,combination_stable,1073.26,214.74,380.29,478.23,0.00,4.66,2.63,2.09,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:48,combination_stable,1088.51,215.39,385.86,487.26,0.00,4.64,2.59,2.05,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:49,combination_stable,1091.03,218.12,386.07,486.83,0.00,4.58,2.59,2.05,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:50,combination_stable,1095.89,217.62,389.20,489.07,0.00,4.60,2.57,2.04,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 17:59:51,combination_burst,1085.58,215.92,384.90,484.76,0.00,4.63,2.60,2.06,0.00,18.7269,0.000000,2,0,2,0,0,206
