timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 18:19:52,combination_burst,150.88,0.00,0.00,150.88,0.00,0.00,0.00,6.63,0.00,0.0000,0.000000,4,2,2,0,0,0
2026-07-28 18:19:53,combination_burst,215.09,5.76,18.56,190.77,0.00,173.67,53.87,5.24,0.00,219.1039,7.177292,4,2,2,0,0,219
2026-07-28 18:19:54,combination_burst,216.25,5.76,18.62,191.87,0.00,173.74,53.69,5.21,0.00,220.0612,9.462497,4,2,2,0,0,440
2026-07-28 18:19:55,combination_burst,216.51,5.76,18.63,192.12,0.00,173.58,53.68,5.21,0.00,221.9881,10.583598,4,2,2,0,0,666
2026-07-28 18:19:56,combination_burst,216.98,5.76,18.68,192.54,0.00,173.50,53.54,5.19,0.00,220.7676,14.027663,4,2,2,0,0,883
2026-07-28 18:19:57,combination_burst,216.64,5.77,18.67,192.20,0.00,173.44,53.56,5.20,0.00,222.0248,14.113236,4,2,2,0,0,1110
2026-07-28 18:19:58,combination_burst,216.35,5.76,18.68,191.91,0.00,173.49,53.55,5.21,0.00,221.4799,14.299120,4,2,2,0,0,1329
2026-07-28 18:19:59,combination_burst,216.52,5.76,18.69,192.07,0.00,173.55,53.52,5.21,0.00,221.7290,14.288583,4,2,2,0,0,1552
2026-07-28 18:20:00,combination_burst,216.78,5.76,18.69,192.33,0.00,173.64,53.50,5.20,0.00,222.0166,14.446562,4,2,2,0,0,1776
2026-07-28 18:20:01,combination_burst,215.00,5.74,18.65,190.62,0.00,174.22,53.63,5.25,0.00,221.8973,14.529617,4,2,2,0,0,1997
2026-07-28 18:20:02,combination_burst,215.27,5.74,18.65,190.88,0.00,174.19,53.63,5.24,0.00,222.0939,14.619669,4,2,2,0,0,2221
2026-07-28 18:20:03,combination_burst,215.50,5.75,18.66,191.09,0.00,174.06,53.58,5.23,0.00,221.7863,14.339259,4,2,2,0,0,2440
2026-07-28 18:20:04,combination_burst,215.66,5.75,18.65,191.26,0.00,174.03,53.62,5.23,0.00,221.9079,14.091257,3,1,2,0,0,2663
2026-07-28 18:20:05,combination_burst,215.66,5.75,18.66,191.25,0.00,174.02,53.59,5.23,0.00,222.0649,13.890218,4,2,2,0,0,2887
2026-07-28 18:20:06,combination_burst,215.67,5.75,18.67,191.25,0.00,173.96,53.57,5.23,0.00,222.0796,13.932452,5,2,2,1,0,3109
2026-07-28 18:20:07,combination_burst,215.57,5.75,18.67,191.15,0.00,173.91,53.55,5.23,0.00,222.1229,13.934722,3,1,2,0,0,3332
2026-07-28 18:20:08,combination_burst,215.73,5.75,18.68,191.29,0.00,173.85,53.53,5.23,0.00,222.1808,13.931107,4,2,2,0,0,3555
2026-07-28 18:20:09,combination_burst,215.59,5.75,18.66,191.18,0.00,173.82,53.59,5.23,0.00,222.1817,13.978733,3,2,1,0,0,3777
2026-07-28 18:20:10,combination_burst,215.85,5.75,18.66,191.44,0.00,173.78,53.60,5.22,0.00,222.1122,14.145406,3,1,2,0,0,3998
2026-07-28 18:20:11,combination_burst,215.83,5.75,18.66,191.42,0.00,173.80,53.59,5.22,0.00,222.0520,14.223743,4,2,2,0,0,4219
2026-07-28 18:20:12,combination_burst,215.93,5.75,18.66,191.51,0.00,173.80,53.58,5.22,0.00,222.1508,14.389179,4,2,2,0,0,4443
2026-07-28 18:20:13,combination_burst,216.09,5.75,18.66,191.67,0.00,173.78,53.58,5.22,0.00,222.0958,14.346141,4,2,2,0,0,4664
2026-07-28 18:20:14,combination_burst,216.06,5.75,18.66,191.64,0.00,173.78,53.58,5.22,0.00,222.2210,14.313583,4,2,2,0,0,4889
2026-07-28 18:20:15,combination_burst,215.99,5.75,18.67,191.57,0.00,173.76,53.57,5.22,0.00,222.2160,14.254433,4,2,2,0,0,5111
2026-07-28 18:20:16,combination_burst,215.29,5.75,18.64,190.90,0.00,173.91,53.65,5.24,0.00,222.4598,14.398657,5,2,2,1,0,5339
2026-07-28 18:20:17,combination_burst,215.36,5.75,18.64,190.96,0.00,173.89,53.64,5.24,0.00,222.3202,14.303732,5,2,2,1,0,5558
2026-07-28 18:20:18,combination_burst,215.39,5.75,18.64,190.99,0.00,173.88,53.64,5.24,0.00,222.3475,14.374173,4,2,2,0,0,5781
2026-07-28 18:20:19,combination_burst,215.41,5.75,18.65,191.02,0.00,173.87,53.63,5.24,0.00,222.3736,14.443053,5,2,2,1,0,6004
2026-07-28 18:20:20,combination_burst,215.38,5.75,18.64,190.98,0.00,173.86,53.64,5.24,0.00,222.2495,14.506711,4,2,2,0,0,6223
2026-07-28 18:20:21,combination_burst,215.53,5.75,18.65,191.13,0.00,173.83,53.63,5.23,0.00,222.2771,14.462290,4,2,2,0,0,6446
2026-07-28 18:20:22,combination_burst,215.42,5.75,18.64,191.03,0.00,173.83,53.64,5.23,0.00,222.2657,14.434495,4,2,2,0,0,6668
2026-07-28 18:20:23,combination_burst,215.47,5.75,18.64,191.07,0.00,173.80,53.64,5.23,0.00,222.2285,14.399101,4,2,2,0,0,6889
2026-07-28 18:20:24,combination_burst,215.53,5.75,18.64,191.13,0.00,173.83,53.63,5.23,0.00,222.2750,14.260729,4,2,2,0,0,7113
2026-07-28 18:20:25,combination_burst,215.59,5.75,18.65,191.19,0.00,173.81,53.63,5.23,0.00,222.2445,14.253091,4,2,2,0,0,7334
2026-07-28 18:20:26,combination_burst,215.72,5.75,18.65,191.32,0.00,173.80,53.62,5.23,0.00,222.2924,14.222223,4,2,2,0,0,7558
2026-07-28 18:20:27,combination_burst,215.79,5.75,18.65,191.39,0.00,173.80,53.62,5.23,0.00,222.3108,14.123945,4,2,2,0,0,7781
2026-07-28 18:20:28,combination_burst,215.76,5.75,18.65,191.36,0.00,173.77,53.62,5.23,0.00,222.2747,14.123512,4,2,2,0,0,8002
2026-07-28 18:20:29,combination_burst,215.87,5.75,18.66,191.46,0.00,173.77,53.60,5.22,0.00,222.2729,14.164478,3,1,2,0,0,8224
2026-07-28 18:20:30,combination_burst,215.88,5.76,18.65,191.48,0.00,173.75,53.62,5.22,0.00,222.2645,14.188160,4,2,2,0,0,8446
2026-07-28 18:20:31,combination_burst,215.86,5.75,18.64,191.46,0.00,173.80,53.64,5.22,0.00,222.2781,14.293668,3,2,1,0,0,8669
2026-07-28 18:20:32,combination_burst,215.87,5.75,18.64,191.47,0.00,173.79,53.64,5.22,0.00,222.2732,14.162369,4,2,2,0,0,8891
