timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 19:07:50,combination_burst,216.85,5.79,18.79,192.27,0.00,172.58,53.22,5.20,0.00,158.4456,6.939379,4,2,2,0,0,158
2026-07-28 19:07:51,combination_burst,217.40,5.79,18.81,192.79,0.00,172.58,53.15,5.19,0.00,160.4809,9.409429,4,2,2,0,0,321
2026-07-28 19:07:52,combination_burst,217.00,5.80,18.77,192.43,0.00,172.45,53.29,5.20,0.00,161.8092,10.583194,4,1,2,1,0,485
2026-07-28 19:07:53,combination_burst,216.41,5.80,18.76,191.85,0.00,172.53,53.29,5.21,0.00,161.8574,14.211284,4,2,2,0,0,647
2026-07-28 19:07:54,combination_burst,215.02,5.80,18.78,190.44,0.00,172.48,53.24,5.25,0.00,161.0700,14.181119,4,2,2,0,0,805
2026-07-28 19:07:55,combination_burst,214.92,5.79,18.79,190.33,0.00,172.57,53.22,5.25,0.00,161.5501,14.133692,3,1,2,0,0,969
2026-07-28 19:07:56,combination_burst,214.22,5.80,18.80,189.62,0.00,172.50,53.20,5.27,0.00,161.7341,14.065525,5,2,2,1,0,1132
2026-07-28 19:07:57,combination_burst,214.07,5.80,18.80,189.47,0.00,172.40,53.20,5.28,0.00,161.6631,14.087695,4,2,2,0,0,1293
2026-07-28 19:07:58,combination_burst,214.18,5.80,18.80,189.59,0.00,172.55,53.20,5.27,0.00,161.4854,14.239476,3,1,2,0,0,1453
2026-07-28 19:07:59,combination_burst,214.18,5.80,18.79,189.59,0.00,172.55,53.23,5.27,0.00,161.5422,14.249683,4,2,2,0,0,1615
2026-07-28 19:08:00,combination_burst,213.17,5.79,18.76,188.62,0.00,172.76,53.30,5.30,0.00,161.6533,14.394597,5,2,2,1,0,1778
2026-07-28 19:08:01,combination_burst,212.02,5.77,18.74,187.51,0.00,173.17,53.37,5.33,0.00,161.8528,14.167542,4,2,2,0,0,1942
2026-07-28 19:08:02,combination_burst,211.89,5.78,18.74,187.37,0.00,173.07,53.37,5.34,0.00,161.7995,14.231341,4,2,2,0,0,2103
2026-07-28 19:08:03,combination_burst,211.76,5.78,18.74,187.25,0.00,173.05,53.37,5.34,0.00,161.9591,14.176154,3,2,1,0,0,2267
2026-07-28 19:08:04,combination_burst,211.67,5.78,18.74,187.14,0.00,173.00,53.35,5.34,0.00,162.0232,14.118007,4,2,2,0,0,2430
2026-07-28 19:08:05,combination_burst,211.41,5.78,18.74,186.89,0.00,172.96,53.35,5.35,0.00,161.8379,14.215284,4,2,2,0,0,2589
2026-07-28 19:08:06,combination_burst,211.46,5.78,18.75,186.93,0.00,172.92,53.34,5.35,0.00,161.9054,14.086978,4,2,2,0,0,2752
2026-07-28 19:08:07,combination_burst,211.48,5.78,18.75,186.95,0.00,172.89,53.35,5.35,0.00,162.0760,14.075487,4,2,2,0,0,2917
2026-07-28 19:08:08,combination_burst,211.57,5.79,18.74,187.04,0.00,172.84,53.35,5.35,0.00,161.9567,14.006569,4,2,2,0,0,3077
2026-07-28 19:08:09,combination_burst,211.64,5.79,18.74,187.11,0.00,172.85,53.35,5.34,0.00,161.9674,14.170756,3,2,1,0,0,3239
2026-07-28 19:08:10,combination_burst,211.80,5.79,18.75,187.27,0.00,172.86,53.34,5.34,0.00,162.0202,14.134497,4,2,2,0,0,3402
2026-07-28 19:08:11,combination_burst,211.61,5.79,18.75,187.08,0.00,172.82,53.35,5.35,0.00,162.0596,14.189707,4,2,2,0,0,3565
2026-07-28 19:08:12,combination_burst,211.60,5.79,18.75,187.07,0.00,172.82,53.33,5.35,0.00,161.9270,14.080720,4,2,2,0,0,3724
2026-07-28 19:08:13,combination_burst,211.71,5.79,18.75,187.18,0.00,172.80,53.33,5.34,0.00,161.9780,14.140189,4,2,2,0,0,3887
2026-07-28 19:08:14,combination_burst,211.75,5.79,18.75,187.21,0.00,172.78,53.33,5.34,0.00,161.9314,14.156291,4,2,2,0,0,4048
2026-07-28 19:08:15,combination_burst,211.39,5.79,18.75,186.86,0.00,172.83,53.35,5.35,0.00,161.8779,14.199516,5,2,2,1,0,4209
2026-07-28 19:08:16,combination_burst,210.88,5.78,18.74,186.36,0.00,172.97,53.37,5.37,0.00,161.9758,14.123014,4,2,2,0,0,4373
2026-07-28 19:08:17,combination_burst,210.88,5.78,18.74,186.36,0.00,172.93,53.36,5.37,0.00,161.8711,14.178438,4,2,2,0,0,4532
2026-07-28 19:08:18,combination_burst,210.84,5.78,18.74,186.31,0.00,172.92,53.36,5.37,0.00,161.9416,14.229284,4,2,2,0,0,4696
2026-07-28 19:08:19,combination_burst,210.79,5.78,18.74,186.26,0.00,172.92,53.35,5.37,0.00,161.9464,14.329486,4,2,2,0,0,4858
2026-07-28 19:08:20,combination_burst,210.87,5.78,18.74,186.35,0.00,172.91,53.35,5.37,0.00,161.9168,14.393531,4,2,2,0,0,5019
2026-07-28 19:08:21,combination_burst,210.96,5.78,18.75,186.43,0.00,172.89,53.35,5.36,0.00,161.9171,14.302215,4,2,2,0,0,5181
2026-07-28 19:08:22,combination_burst,210.93,5.78,18.74,186.41,0.00,172.88,53.36,5.36,0.00,161.9806,14.288440,3,2,1,0,0,5345
2026-07-28 19:08:23,combination_burst,211.08,5.78,18.74,186.55,0.00,172.90,53.35,5.36,0.00,161.9222,14.274155,4,2,2,0,0,5505
2026-07-28 19:08:24,combination_burst,211.22,5.78,18.74,186.69,0.00,172.90,53.35,5.36,0.00,161.9558,14.259288,2,1,1,0,0,5668
2026-07-28 19:08:25,combination_burst,211.24,5.78,18.74,186.71,0.00,172.90,53.35,5.36,0.00,161.9800,14.158422,4,2,2,0,0,5831
2026-07-28 19:08:26,combination_burst,211.19,5.78,18.75,186.65,0.00,172.88,53.34,5.36,0.00,161.9549,14.010989,4,2,2,0,0,5992
2026-07-28 19:08:27,combination_burst,211.17,5.78,18.74,186.64,0.00,172.86,53.36,5.36,0.00,161.9814,14.001986,4,2,2,0,0,6155
2026-07-28 19:08:28,combination_burst,211.30,5.79,18.74,186.77,0.00,172.84,53.37,5.35,0.00,161.9858,13.963355,4,2,2,0,0,6317
2026-07-28 19:08:29,combination_burst,211.36,5.79,18.74,186.84,0.00,172.83,53.37,5.35,0.00,161.9599,13.920133,4,2,2,0,0,6478
