timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 19:19:36,combination_probe,211.97,5.88,18.79,187.30,0.00,170.15,53.21,5.34,0.00,65.8893,6.940206,4,2,2,0,0,66
2026-07-28 19:19:37,combination_probe,215.65,5.88,18.89,190.88,0.00,170.05,52.94,5.24,0.00,65.4626,9.092819,4,2,2,0,0,131
2026-07-28 19:19:38,combination_probe,216.49,5.88,18.89,191.72,0.00,170.04,52.94,5.22,0.00,65.9927,10.380532,4,2,2,0,0,198
2026-07-28 19:19:39,combination_probe,213.97,5.88,18.92,189.17,0.00,169.99,52.85,5.29,0.00,65.9751,13.914179,5,2,2,1,0,264
2026-07-28 19:19:40,combination_probe,212.29,5.88,18.92,187.49,0.00,169.95,52.85,5.33,0.00,65.7661,14.143053,4,2,2,0,0,329
2026-07-28 19:19:41,combination_probe,210.46,5.88,18.93,185.65,0.00,170.03,52.83,5.39,0.00,65.6588,14.009345,4,2,2,0,0,394
2026-07-28 19:19:42,combination_probe,210.26,5.89,18.93,185.45,0.00,169.92,52.83,5.39,0.00,65.8454,13.990506,3,1,2,0,0,461
2026-07-28 19:19:43,combination_probe,210.25,5.89,18.94,185.42,0.00,169.85,52.79,5.39,0.00,65.6201,14.010421,3,2,1,0,0,525
2026-07-28 19:19:44,combination_probe,210.62,5.89,18.95,185.78,0.00,169.80,52.77,5.38,0.00,65.6640,14.008007,4,2,2,0,0,591
2026-07-28 19:19:45,combination_probe,210.82,5.89,18.96,185.97,0.00,169.74,52.74,5.38,0.00,65.5959,14.012602,4,2,2,0,0,656
2026-07-28 19:19:46,combination_probe,210.88,5.89,18.96,186.03,0.00,169.75,52.73,5.38,0.00,65.5418,13.931321,3,2,1,0,0,721
2026-07-28 19:19:47,combination_probe,210.88,5.89,18.97,186.01,0.00,169.72,52.72,5.38,0.00,65.5787,13.962667,4,2,2,0,0,787
2026-07-28 19:19:48,combination_probe,210.61,5.89,18.97,185.74,0.00,169.73,52.71,5.38,0.00,65.6116,13.805666,4,2,2,0,0,853
2026-07-28 19:19:49,combination_probe,211.18,5.89,18.97,186.32,0.00,169.71,52.71,5.37,0.00,65.6388,13.877599,4,2,2,0,0,919
