timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 19:35:57,combination_burst,217.97,5.89,19.02,193.05,0.00,169.68,52.57,5.18,0.00,65.9762,7.029614,3,2,1,0,0,66
2026-07-28 19:35:58,combination_burst,215.07,5.88,18.97,190.21,0.00,169.99,52.71,5.26,0.00,65.4960,9.249670,4,2,2,0,0,131
2026-07-28 19:35:59,combination_burst,214.80,5.89,18.98,189.94,0.00,169.91,52.70,5.26,0.00,65.6714,10.341780,4,2,2,0,0,197
2026-07-28 19:36:00,combination_burst,213.44,5.89,18.95,188.61,0.00,169.84,52.77,5.30,0.00,65.7407,13.591471,4,2,2,0,0,263
2026-07-28 19:36:01,combination_burst,212.81,5.89,18.96,187.96,0.00,169.83,52.75,5.32,0.00,65.3990,13.577022,4,2,2,0,0,327
2026-07-28 19:36:02,combination_burst,213.30,5.89,18.97,188.44,0.00,169.89,52.73,5.31,0.00,65.6644,13.720054,3,2,1,0,0,394
2026-07-28 19:36:03,combination_burst,212.71,5.88,18.96,187.88,0.00,170.06,52.75,5.32,0.00,65.6971,13.836976,4,2,2,0,0,460
2026-07-28 19:36:04,combination_burst,212.77,5.88,18.96,187.93,0.00,170.12,52.74,5.32,0.00,65.6247,13.890775,4,2,2,0,0,525
2026-07-28 19:36:05,combination_burst,206.82,5.85,18.91,182.06,0.00,170.86,52.89,5.49,0.00,65.7735,14.373944,4,2,2,0,0,592
2026-07-28 19:36:06,combination_burst,205.42,5.84,18.85,180.74,0.00,171.28,53.06,5.53,0.00,65.7986,14.338000,4,2,2,0,0,658
2026-07-28 19:36:07,combination_burst,205.17,5.84,18.85,180.47,0.00,171.19,53.04,5.54,0.00,65.8168,14.571684,4,2,2,0,0,724
2026-07-28 19:36:08,combination_burst,205.89,5.84,18.86,181.18,0.00,171.11,53.02,5.52,0.00,65.7380,14.179069,4,2,2,0,0,789
2026-07-28 19:36:09,combination_burst,206.30,5.85,18.87,181.58,0.00,171.07,52.99,5.51,0.00,65.8472,14.017602,2,1,1,0,0,856
2026-07-28 19:36:10,combination_burst,206.63,5.85,18.88,181.90,0.00,170.97,52.95,5.50,0.00,65.8565,13.792789,4,2,2,0,0,922
2026-07-28 19:36:11,combination_burst,207.21,5.85,18.89,182.47,0.00,170.93,52.93,5.48,0.00,65.7302,13.770291,4,2,2,0,0,986
2026-07-28 19:36:12,combination_burst,207.32,5.85,18.90,182.57,0.00,170.87,52.91,5.48,0.00,65.6880,13.822466,4,2,2,0,0,1051
2026-07-28 19:36:13,combination_burst,207.79,5.85,18.91,183.03,0.00,170.81,52.89,5.46,0.00,65.7644,13.770467,3,1,2,0,0,1118
2026-07-28 19:36:14,combination_burst,208.33,5.86,18.91,183.56,0.00,170.75,52.88,5.45,0.00,65.7217,13.834763,4,2,2,0,0,1183
2026-07-28 19:36:15,combination_burst,208.74,5.86,18.92,183.96,0.00,170.72,52.86,5.44,0.00,65.6313,13.662013,4,2,2,0,0,1247
