timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 19:37:38,combination_stable,1286.09,262.69,434.09,589.31,0.00,3.81,2.30,1.70,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:39,combination_stable,1317.65,257.42,436.45,623.77,0.00,3.88,2.29,1.60,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:40,combination_stable,1329.72,254.53,444.63,630.56,0.00,3.93,2.25,1.59,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:41,combination_stable,1330.37,256.13,437.43,636.81,0.00,3.90,2.29,1.57,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:42,combination_stable,1343.63,258.36,435.76,649.52,0.00,3.87,2.29,1.54,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:43,combination_stable,1369.71,258.65,438.06,673.01,0.00,3.87,2.28,1.49,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:44,combination_stable,1384.29,259.07,441.52,683.70,0.00,3.86,2.26,1.46,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:45,combination_stable,1381.77,254.81,440.67,686.29,0.00,3.92,2.27,1.46,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:46,combination_stable,1363.03,254.25,431.94,676.84,0.00,3.93,2.32,1.48,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:47,combination_stable,1364.72,254.63,432.19,677.90,0.00,3.93,2.31,1.48,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:37:50,combination_burst,208.88,5.26,18.96,184.66,0.00,190.28,52.73,5.42,0.00,13.5725,11.579286,4,2,2,0,0,176
2026-07-28 19:37:51,combination_burst,211.40,5.69,19.00,186.72,0.00,175.89,52.64,5.36,0.00,17.2549,12.772637,4,2,2,0,0,241
2026-07-28 19:37:52,combination_burst,205.77,5.75,19.00,181.02,0.00,173.82,52.65,5.52,0.00,20.5112,13.205359,3,2,1,0,0,307
2026-07-28 19:37:53,combination_burst,205.70,5.79,18.99,180.91,0.00,172.68,52.65,5.53,0.00,23.2984,13.397603,4,2,2,0,0,372
2026-07-28 19:37:54,combination_burst,207.05,5.81,19.01,182.23,0.00,172.05,52.61,5.49,0.00,25.7548,14.036154,4,2,2,0,0,437
2026-07-28 19:37:55,combination_burst,210.29,5.83,18.68,185.77,0.00,171.53,53.52,5.38,0.00,67.0967,14.055886,3,2,1,0,0,14
2026-07-28 19:37:56,combination_burst,213.93,5.86,18.98,189.08,0.00,170.58,52.68,5.29,0.00,65.3908,14.094485,4,2,2,0,0,79
