timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 19:53:24,combination_stable,1310.46,248.99,415.34,646.13,0.00,4.02,2.41,1.55,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:25,combination_stable,1346.24,237.09,432.08,677.08,0.00,4.22,2.31,1.48,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:26,combination_stable,1316.90,236.02,417.49,663.39,0.00,4.24,2.40,1.51,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:27,combination_stable,1315.35,239.62,421.91,653.82,0.00,4.17,2.37,1.53,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:28,combination_stable,1329.43,243.27,425.04,661.11,0.00,4.11,2.35,1.51,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:29,combination_stable,1333.92,240.54,428.70,664.68,0.00,4.16,2.33,1.50,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:30,combination_stable,1307.55,241.45,423.46,642.63,0.00,4.14,2.36,1.56,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:31,combination_stable,1322.12,241.43,427.49,653.20,0.00,4.14,2.34,1.53,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:32,combination_stable,1331.91,243.82,429.66,658.43,0.00,4.10,2.33,1.52,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:33,combination_stable,1336.27,245.13,430.23,660.91,0.00,4.08,2.32,1.51,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 19:53:34,combination_burst,1151.95,182.45,429.26,540.24,0.00,5.48,2.33,1.85,0.00,4.8180,4.461790,2,2,0,0,0,53
2026-07-28 19:53:35,combination_burst,734.70,115.79,193.98,424.93,0.00,8.64,5.16,2.35,0.00,10.3334,9.086876,3,1,2,0,0,124
