timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 20:22:41,combination_stable,1543.55,245.44,508.29,789.82,0.00,4.07,1.97,1.27,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:42,combination_stable,1567.54,248.19,508.35,811.00,0.00,4.03,1.97,1.23,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:43,combination_stable,1545.82,247.39,514.98,783.45,0.00,4.04,1.94,1.28,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:44,combination_stable,1565.46,248.27,528.11,789.08,0.00,4.03,1.89,1.27,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:45,combination_stable,1572.95,248.22,526.13,798.60,0.00,4.03,1.90,1.25,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:46,combination_stable,1586.56,251.53,518.53,816.50,0.00,3.98,1.93,1.22,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:47,combination_stable,1575.14,248.84,518.92,807.38,0.00,4.02,1.93,1.24,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:48,combination_stable,1483.02,243.63,489.06,750.33,0.00,4.10,2.04,1.33,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:49,combination_stable,1491.24,244.20,498.42,748.61,0.00,4.09,2.01,1.34,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:50,combination_stable,1492.69,244.06,498.03,750.60,0.00,4.10,2.01,1.33,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:22:53,combination_burst,212.82,5.34,18.77,188.71,0.00,187.29,53.28,5.30,0.00,13.3837,11.580924,3,1,2,0,0,174
2026-07-28 20:22:54,combination_burst,211.92,5.73,18.99,187.20,0.00,174.51,52.65,5.34,0.00,17.1425,12.652479,4,2,2,0,0,240
2026-07-28 20:22:55,combination_burst,209.59,5.80,18.99,184.80,0.00,172.51,52.66,5.41,0.00,20.3994,13.086858,3,2,1,0,0,306
2026-07-28 20:22:56,combination_burst,210.33,5.81,18.99,185.53,0.00,172.11,52.65,5.39,0.00,23.2495,13.271037,4,2,2,0,0,372
