timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-28 20:31:20,combination_stable,1439.09,213.75,508.06,717.28,0.00,4.68,1.97,1.39,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:21,combination_stable,1453.18,226.93,526.68,699.57,0.00,4.41,1.90,1.43,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:22,combination_stable,1468.05,227.06,542.20,698.80,0.00,4.40,1.84,1.43,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:23,combination_stable,1498.26,228.40,540.96,728.89,0.00,4.38,1.85,1.37,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:24,combination_stable,1518.19,235.42,547.09,735.67,0.00,4.25,1.83,1.36,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:25,combination_stable,1499.98,235.42,535.16,729.40,0.00,4.25,1.87,1.37,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:26,combination_stable,1496.12,236.17,529.83,730.13,0.00,4.23,1.89,1.37,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:27,combination_stable,1494.76,236.45,533.87,724.43,0.00,4.23,1.87,1.38,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:28,combination_stable,1488.87,236.43,535.12,717.32,0.00,4.23,1.87,1.39,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:29,combination_stable,1477.09,237.44,530.06,709.59,0.00,4.21,1.89,1.41,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-28 20:31:30,combination_burst,984.16,173.81,287.05,523.30,0.00,5.75,3.48,1.91,0.00,4.1817,5.028303,3,2,1,0,0,46
2026-07-28 20:31:31,combination_burst,684.79,105.83,151.60,427.37,0.00,9.45,6.60,2.34,0.00,9.2498,9.638084,4,2,2,0,0,111
