timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 10:12:19,combination_burst,393.57,86.81,136.74,170.02,0.00,11.52,7.31,5.88,0.00,16.3623,3.668953,11,11,0,0,0,16
2026-07-29 10:12:20,combination_burst,390.39,86.55,134.51,169.33,0.00,11.55,7.43,5.91,0.00,16.1856,3.982574,11,11,0,0,0,32
2026-07-29 10:12:21,combination_burst,382.46,84.04,133.62,164.81,0.00,11.90,7.48,6.07,0.00,18.1350,3.793558,12,12,0,0,0,54
2026-07-29 10:12:22,combination_burst,390.91,85.32,136.04,169.54,0.00,11.72,7.35,5.90,0.00,17.3472,3.782091,10,10,0,0,0,69
2026-07-29 10:12:23,combination_burst,389.80,85.99,135.08,168.72,0.00,11.63,7.40,5.93,0.00,16.6696,3.596131,11,11,0,0,0,83
2026-07-29 10:12:24,combination_burst,390.25,86.30,134.63,169.31,0.00,11.59,7.43,5.91,0.00,16.3894,3.679484,11,11,0,0,0,98
2026-07-29 10:12:25,combination_burst,396.11,87.17,136.56,172.38,0.00,11.47,7.32,5.80,0.00,15.7590,3.484272,10,10,0,0,0,110
2026-07-29 10:12:26,combination_burst,399.67,87.71,137.98,173.98,0.00,11.40,7.25,5.75,0.00,15.4174,3.447001,11,11,0,0,0,123
2026-07-29 10:12:27,combination_burst,400.29,88.49,138.12,173.69,0.00,11.30,7.24,5.76,0.00,14.9271,3.307583,9,9,0,0,0,134
2026-07-29 10:12:28,combination_burst,401.69,88.78,138.51,174.40,0.00,11.26,7.22,5.73,0.00,14.8333,3.259131,11,11,0,0,0,148
2026-07-29 10:12:29,combination_burst,404.29,89.17,139.41,175.71,0.00,11.21,7.17,5.69,0.00,14.5747,3.338427,10,10,0,0,0,160
2026-07-29 10:12:30,combination_burst,405.59,89.46,139.48,176.66,0.00,11.18,7.17,5.66,0.00,14.4433,3.464180,10,10,0,0,0,173
2026-07-29 10:12:31,combination_burst,407.03,89.71,139.84,177.49,0.00,11.15,7.15,5.63,0.00,14.1789,3.436891,11,11,0,0,0,184
2026-07-29 10:12:32,combination_burst,405.86,89.60,139.59,176.67,0.00,11.16,7.16,5.66,0.00,14.2377,3.431337,11,11,0,0,0,199
2026-07-29 10:12:33,combination_burst,406.95,89.73,140.21,177.01,0.00,11.14,7.13,5.65,0.00,14.2213,3.444846,12,12,0,0,0,213
2026-07-29 10:12:34,combination_burst,407.49,89.66,140.25,177.58,0.00,11.15,7.13,5.63,0.00,14.2705,3.471487,12,12,0,0,0,228
2026-07-29 10:12:35,combination_burst,408.52,89.87,140.40,178.25,0.00,11.13,7.12,5.61,0.00,14.1958,3.606705,11,10,1,0,0,241
2026-07-29 10:12:36,combination_burst,407.80,89.77,140.44,177.59,0.00,11.14,7.12,5.63,0.00,14.3511,3.602312,11,11,0,0,0,258
2026-07-29 10:12:37,combination_burst,408.33,89.97,140.44,177.92,0.00,11.12,7.12,5.62,0.00,14.2272,3.510658,11,11,0,0,0,270
2026-07-29 10:12:38,combination_burst,407.36,89.99,140.09,177.28,0.00,11.11,7.14,5.64,0.00,14.2159,3.409963,9,9,0,0,0,284
