timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 14:10:21,combination_stable,726.28,110.38,338.83,277.07,0.00,9.06,2.95,3.61,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:22,combination_stable,708.94,98.76,316.39,293.78,0.00,10.13,3.16,3.40,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:23,combination_stable,708.36,102.09,298.26,308.01,0.00,9.80,3.35,3.25,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:24,combination_stable,698.29,100.67,293.79,303.83,0.00,9.93,3.40,3.29,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:25,combination_stable,694.50,100.97,292.67,300.85,0.00,9.90,3.42,3.32,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:26,combination_stable,682.00,100.86,283.97,297.18,0.00,9.92,3.52,3.36,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:27,combination_stable,677.77,100.14,281.35,296.27,0.00,9.99,3.55,3.38,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:28,combination_stable,684.20,99.45,283.13,301.62,0.00,10.05,3.53,3.32,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:29,combination_stable,677.45,99.32,282.27,295.87,0.00,10.07,3.54,3.38,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:30,combination_stable,683.08,99.07,283.70,300.31,0.00,10.09,3.52,3.33,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:10:31,combination_burst,667.48,99.83,270.33,297.31,0.00,10.02,3.70,3.36,0.00,0.0000,0.204917,4,4,0,0,0,0
2026-07-29 14:10:32,combination_burst,605.64,99.90,235.50,270.24,0.00,10.01,4.25,3.70,0.00,0.1739,1.362315,11,11,0,0,0,2
2026-07-29 14:10:33,combination_burst,563.26,100.82,212.58,249.86,0.00,9.92,4.70,4.00,0.00,0.7200,1.832609,11,11,0,0,0,9
2026-07-29 14:10:34,combination_burst,537.40,100.83,200.04,236.52,0.00,9.92,5.00,4.23,0.00,1.3332,3.277700,9,9,0,0,0,18
2026-07-29 14:10:35,combination_burst,521.36,101.12,189.60,230.65,0.00,9.89,5.27,4.34,0.00,1.7930,3.333137,9,9,0,0,0,26
2026-07-29 14:10:36,combination_burst,517.30,101.56,186.40,229.34,0.00,9.85,5.36,4.36,0.00,2.1290,3.359440,10,10,0,0,0,33
2026-07-29 14:10:37,combination_burst,515.53,101.65,183.74,230.14,0.00,9.84,5.44,4.35,0.00,2.5452,3.260537,9,9,0,0,0,42
2026-07-29 14:10:38,combination_burst,509.48,101.34,181.20,226.94,0.00,9.87,5.52,4.41,0.00,2.9713,3.260244,10,10,0,0,0,52
2026-07-29 14:10:39,combination_burst,512.22,101.49,181.93,228.80,0.00,9.85,5.50,4.37,0.00,3.2432,3.234494,10,10,0,0,0,60
2026-07-29 14:10:40,combination_burst,506.69,101.25,179.41,226.02,0.00,9.88,5.57,4.42,0.00,3.4871,3.239365,12,12,0,0,0,68
2026-07-29 14:10:41,cand_1,504.38,101.32,178.29,224.77,0.00,9.87,5.61,4.45,0.00,3.7073,3.293760,11,11,0,0,0,76
2026-07-29 14:10:42,cand_3,504.45,101.59,177.99,224.86,0.00,9.84,5.62,4.45,0.00,5.8376,4.034367,14,12,2,0,0,126
2026-07-29 14:10:43,cand_4,471.86,101.77,164.76,205.33,0.00,9.83,6.07,4.87,0.00,11.2884,5.504138,12,12,0,0,0,254
2026-07-29 14:10:50,cand_5,533.01,65.67,207.85,259.49,0.00,15.23,4.81,3.85,0.00,26.2970,50.634095,0,0,0,0,0,775
2026-07-29 14:10:51,cand_4,542.63,63.19,213.33,266.11,0.00,15.83,4.69,3.76,0.00,27.6387,36.029799,12,12,0,0,0,843
2026-07-29 14:10:52,cand_4,550.66,59.97,218.31,272.39,0.00,16.67,4.58,3.67,0.00,29.1109,36.433397,12,12,0,0,0,917
2026-07-29 14:10:53,cand_4,559.26,57.55,223.25,278.46,0.00,17.37,4.48,3.59,0.00,30.5537,36.898117,12,12,0,0,0,993
2026-07-29 14:10:54,cand_4,566.79,54.92,227.87,283.99,0.00,18.21,4.39,3.52,0.00,31.8483,47.044769,12,12,0,0,0,1067
2026-07-29 14:10:55,cand_4,574.56,52.92,232.34,289.31,0.00,18.90,4.30,3.46,0.00,33.1011,52.010644,12,12,0,0,0,1142
2026-07-29 14:10:56,cand_4,582.28,50.72,236.60,294.96,0.00,19.71,4.23,3.39,0.00,34.2247,51.943506,12,12,0,0,0,1215
