timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 14:25:19,combination_stable,710.64,102.53,300.20,307.90,0.00,9.75,3.33,3.25,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:20,combination_stable,668.32,101.64,279.71,286.97,0.00,9.84,3.58,3.48,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:21,combination_stable,668.73,99.79,283.58,285.36,0.00,10.02,3.53,3.50,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:22,combination_stable,655.69,99.30,280.89,275.50,0.00,10.07,3.56,3.63,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:23,combination_stable,649.73,98.95,278.58,272.20,0.00,10.11,3.59,3.67,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:24,combination_stable,651.88,99.32,278.01,274.55,0.00,10.07,3.60,3.64,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:25,combination_stable,657.39,98.74,280.07,278.58,0.00,10.13,3.57,3.59,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:26,combination_stable,663.52,98.56,284.77,280.18,0.00,10.15,3.51,3.57,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:27,combination_stable,664.90,98.57,285.46,280.87,0.00,10.15,3.50,3.56,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:28,combination_stable,660.99,98.33,282.53,280.13,0.00,10.17,3.54,3.57,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 14:25:29,combination_burst,612.70,98.20,252.47,262.04,0.00,10.18,3.96,3.82,0.00,0.0000,0.465469,10,9,1,0,0,0
2026-07-29 14:25:30,combination_burst,574.02,97.79,228.23,248.00,0.00,10.23,4.38,4.03,0.00,0.7553,1.767915,11,10,1,0,0,9
2026-07-29 14:25:31,combination_burst,561.19,98.53,217.15,245.51,0.00,10.15,4.61,4.07,0.00,1.3939,2.117840,9,9,0,0,0,18
2026-07-29 14:25:32,combination_burst,543.79,99.11,206.05,238.63,0.00,10.09,4.85,4.19,0.00,1.6529,3.194845,9,9,0,0,0,23
2026-07-29 14:25:33,combination_burst,535.65,99.03,201.49,235.13,0.00,10.10,4.96,4.25,0.00,2.1456,3.192468,11,11,0,0,0,32
2026-07-29 14:25:34,combination_burst,529.59,99.28,197.63,232.69,0.00,10.07,5.06,4.30,0.00,2.5135,3.054695,10,10,0,0,0,40
2026-07-29 14:25:35,combination_burst,524.07,99.28,193.41,231.38,0.00,10.07,5.17,4.32,0.00,2.8379,3.134347,12,12,0,0,0,48
2026-07-29 14:25:36,combination_burst,517.07,99.06,189.91,228.10,0.00,10.09,5.27,4.38,0.00,3.2375,3.271378,10,10,0,0,0,58
