timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 14:54:38,combination_stable,124.12,25.97,48.40,49.74,0.00,38.51,20.66,20.10,0.00,3.8573,12.798687,12,12,0,0,0,1
2026-07-29 14:54:39,combination_stable,116.97,25.53,41.60,49.84,0.00,39.16,24.04,20.07,0.00,3.9698,12.991965,12,12,0,0,0,5
2026-07-29 14:54:40,combination_stable,105.95,25.28,37.83,42.85,0.00,39.56,26.44,23.34,0.00,4.4264,13.019346,12,12,0,0,0,10
2026-07-29 14:54:41,combination_stable,106.54,25.52,38.83,42.19,0.00,39.18,25.75,23.70,0.00,3.9879,13.069373,12,12,0,0,0,13
2026-07-29 14:54:42,combination_stable,106.33,25.54,39.31,41.47,0.00,39.15,25.44,24.11,0.00,3.9909,13.177345,11,11,0,0,0,17
2026-07-29 14:54:43,combination_stable,105.57,25.42,39.04,41.11,0.00,39.34,25.62,24.32,0.00,3.9916,12.887987,11,11,0,0,0,21
2026-07-29 14:54:44,combination_stable,106.86,25.55,39.65,41.67,0.00,39.14,25.22,24.00,0.00,3.8341,12.952757,11,11,0,0,0,24
2026-07-29 14:54:45,combination_stable,106.31,25.50,39.13,41.68,0.00,39.21,25.56,23.99,0.00,3.8573,13.134710,11,11,0,0,0,28
2026-07-29 14:54:46,combination_stable,106.87,25.42,39.72,41.73,0.00,39.33,25.18,23.96,0.00,3.8743,12.912984,11,11,0,0,0,32
2026-07-29 14:54:47,combination_stable,108.08,25.50,40.14,42.43,0.00,39.21,24.91,23.57,0.00,3.8878,13.172958,11,11,0,0,0,36
2026-07-29 14:54:48,combination_burst,109.16,25.59,40.72,42.85,0.00,39.07,24.56,23.34,0.00,5.0684,13.202742,24,12,6,6,0,52
2026-07-29 14:54:49,combination_burst,110.06,25.49,41.03,43.54,0.00,39.23,24.37,22.97,0.00,15.9867,16.082975,34,11,11,12,0,180
2026-07-29 14:54:50,combination_burst,110.88,25.46,41.77,43.64,0.00,39.27,23.94,22.92,0.00,25.9402,19.331098,35,11,12,12,0,318
2026-07-29 14:54:51,combination_burst,110.05,25.46,41.41,43.18,0.00,39.28,24.15,23.16,0.00,35.2952,23.133132,35,11,12,12,0,468
2026-07-29 14:54:52,combination_burst,110.06,25.42,41.28,43.37,0.00,39.35,24.23,23.06,0.00,43.0582,26.809030,33,12,11,10,0,614
2026-07-29 14:54:53,combination_burst,110.30,25.39,41.50,43.40,0.00,39.38,24.09,23.04,0.00,49.4088,27.023310,33,12,11,10,0,754
2026-07-29 14:54:54,combination_burst,109.63,25.36,41.27,43.00,0.00,39.43,24.23,23.26,0.00,55.5139,27.024324,34,12,11,11,0,903
2026-07-29 14:54:55,combination_burst,109.33,25.33,41.12,42.88,0.00,39.49,24.32,23.32,0.00,60.9517,26.883430,36,12,12,12,0,1052
2026-07-29 14:54:56,combination_burst,108.87,25.33,40.99,42.56,0.00,39.48,24.40,23.50,0.00,65.6610,27.996018,35,12,12,11,0,1199
2026-07-29 14:54:57,combination_burst,109.09,25.36,41.01,42.72,0.00,39.44,24.38,23.41,0.00,69.6278,27.220770,35,11,12,12,0,1341
2026-07-29 14:54:58,cand_1,109.01,25.35,41.03,42.63,0.00,39.45,24.37,23.46,0.00,73.3009,26.493780,34,11,12,11,0,1485
2026-07-29 14:54:59,cand_1,109.59,25.35,41.32,42.91,0.00,39.44,24.20,23.30,0.00,76.2008,26.061016,35,11,12,12,0,1620
2026-07-29 14:55:00,cand_1,109.78,25.36,41.57,42.84,0.00,39.43,24.05,23.34,0.00,79.2473,25.430076,34,11,11,12,0,1764
2026-07-29 14:55:01,cand_1,109.97,25.33,41.60,43.05,0.00,39.48,24.04,23.23,0.00,81.9036,26.220185,36,12,12,12,0,1905
2026-07-29 14:55:02,cand_1,109.79,25.35,41.56,42.88,0.00,39.44,24.06,23.32,0.00,84.5849,27.293234,35,12,12,11,0,2052
2026-07-29 14:55:03,cand_1,109.81,25.37,41.48,42.95,0.00,39.42,24.11,23.28,0.00,86.7808,27.412586,35,11,12,12,0,2192
2026-07-29 14:55:04,cand_1,109.67,25.37,41.28,43.02,0.00,39.42,24.22,23.25,0.00,89.2598,28.613451,33,12,11,10,0,2344
2026-07-29 14:55:05,cand_1,109.51,25.37,41.29,42.85,0.00,39.41,24.22,23.34,0.00,91.2354,28.143735,36,12,12,12,0,2487
2026-07-29 14:55:06,cand_1,109.86,25.36,41.48,43.02,0.00,39.44,24.11,23.24,0.00,93.0651,27.380553,32,12,10,10,0,2630
2026-07-29 14:55:07,cand_1,109.82,25.30,41.40,43.12,0.00,39.53,24.15,23.19,0.00,94.7059,27.618521,32,12,11,9,0,2771
2026-07-29 14:55:08,cand_1,109.74,25.33,41.36,43.06,0.00,39.48,24.18,23.22,0.00,96.2862,26.664332,35,12,12,11,0,2914
2026-07-29 14:55:09,cand_1,110.01,25.32,41.30,43.40,0.00,39.50,24.22,23.04,0.00,97.6017,26.520210,36,12,12,12,0,3051
2026-07-29 14:55:10,cand_1,109.94,25.29,41.24,43.41,0.00,39.54,24.25,23.03,0.00,99.0734,27.479375,34,11,12,11,0,3196
2026-07-29 14:55:11,cand_1,110.10,25.33,41.26,43.52,0.00,39.48,24.24,22.98,0.00,100.1520,26.814526,36,12,12,12,0,3331
2026-07-29 14:55:12,cand_1,110.32,25.38,41.30,43.63,0.00,39.40,24.21,22.92,0.00,101.2874,26.954936,35,11,12,12,0,3470
2026-07-29 14:55:13,cand_1,110.06,25.33,41.25,43.48,0.00,39.48,24.24,23.00,0.00,102.6658,26.849492,36,12,12,12,0,3620
2026-07-29 14:55:14,cand_1,110.11,25.33,41.35,43.43,0.00,39.48,24.18,23.02,0.00,103.7230,26.848257,36,12,12,12,0,3761
2026-07-29 14:55:15,cand_1,110.18,25.34,41.39,43.44,0.00,39.46,24.16,23.02,0.00,104.6984,26.296037,35,11,12,12,0,3901
2026-07-29 14:55:16,cand_1,110.21,25.32,41.45,43.45,0.00,39.49,24.13,23.02,0.00,105.6728,26.883091,35,11,12,12,0,4043
2026-07-29 14:55:17,cand_1,110.14,25.34,41.38,43.42,0.00,39.46,24.17,23.03,0.00,106.6993,26.405329,33,11,12,10,0,4189
2026-07-29 14:55:18,cand_1,109.98,25.35,41.29,43.35,0.00,39.45,24.22,23.07,0.00,107.7226,27.193609,35,12,11,12,0,4337
2026-07-29 14:55:19,cand_1,109.81,25.34,41.26,43.21,0.00,39.46,24.24,23.14,0.00,108.7217,26.917574,36,12,12,12,0,4486
2026-07-29 14:55:20,cand_1,109.66,25.32,41.15,43.19,0.00,39.49,24.30,23.15,0.00,109.6558,27.383973,35,11,12,12,0,4634
2026-07-29 14:55:21,cand_1,109.50,25.33,41.08,43.09,0.00,39.48,24.34,23.21,0.00,110.5333,28.446320,31,12,9,10,0,4782
2026-07-29 14:55:22,cand_1,109.64,25.31,41.16,43.16,0.00,39.50,24.29,23.17,0.00,111.1621,28.402834,35,11,12,12,0,4920
2026-07-29 14:55:23,cand_1,109.89,25.33,41.22,43.34,0.00,39.48,24.26,23.07,0.00,111.6538,27.427115,36,12,12,12,0,5054
2026-07-29 14:55:24,cand_1,109.80,25.32,41.15,43.33,0.00,39.50,24.30,23.08,0.00,112.3686,27.252885,34,12,11,11,0,5199
2026-07-29 14:55:25,cand_1,109.81,25.30,41.20,43.31,0.00,39.53,24.27,23.09,0.00,113.1194,27.044630,33,11,10,12,0,5346
2026-07-29 14:55:26,cand_1,109.90,25.31,41.22,43.37,0.00,39.52,24.26,23.06,0.00,113.6561,27.208131,35,11,12,12,0,5485
2026-07-29 14:55:27,cand_1,110.05,25.30,41.29,43.46,0.00,39.53,24.22,23.01,0.00,114.1105,27.597929,35,11,12,12,0,5621
2026-07-29 14:55:28,cand_1,110.02,25.27,41.25,43.49,0.00,39.57,24.24,22.99,0.00,114.7441,27.387473,35,11,12,12,0,5767
2026-07-29 14:55:29,cand_1,109.87,25.29,41.25,43.33,0.00,39.55,24.24,23.08,0.00,115.4140,27.781209,36,12,12,12,0,5916
2026-07-29 14:55:30,cand_1,109.80,25.29,41.25,43.26,0.00,39.53,24.24,23.12,0.00,116.0717,28.714564,33,12,10,11,0,6066
2026-07-29 14:55:31,cand_1,109.68,25.28,41.22,43.17,0.00,39.55,24.26,23.16,0.00,116.5998,28.699164,35,11,12,12,0,6210
2026-07-29 14:55:32,cand_1,109.64,25.28,41.22,43.14,0.00,39.55,24.26,23.18,0.00,117.1408,28.662120,36,12,12,12,0,6356
2026-07-29 14:55:33,cand_1,109.81,25.28,41.28,43.25,0.00,39.55,24.23,23.12,0.00,117.4645,28.088921,33,11,11,11,0,6491
2026-07-29 14:55:34,cand_1,109.74,25.28,41.22,43.25,0.00,39.56,24.26,23.12,0.00,117.9542,26.006708,36,12,12,12,0,6636
2026-07-29 14:55:35,cand_1,109.76,25.28,41.24,43.24,0.00,39.56,24.25,23.13,0.00,118.4087,25.991244,33,12,10,11,0,6780
2026-07-29 14:55:36,cand_1,109.64,25.27,41.17,43.19,0.00,39.56,24.29,23.15,0.00,118.9325,25.692447,35,11,12,12,0,6929
2026-07-29 14:55:37,cand_1,109.55,25.28,41.12,43.15,0.00,39.56,24.32,23.18,0.00,119.4895,27.334351,35,12,11,12,0,7081
2026-07-29 14:55:38,cand_1,109.52,25.27,41.16,43.10,0.00,39.58,24.30,23.20,0.00,119.8484,27.331167,35,11,12,12,0,7222
2026-07-29 14:55:39,cand_1,109.70,25.27,41.22,43.20,0.00,39.57,24.26,23.15,0.00,120.0960,26.973823,36,12,12,12,0,7357
2026-07-29 14:55:40,cand_1,109.57,25.28,41.14,43.15,0.00,39.56,24.31,23.17,0.00,120.5764,27.343038,36,12,12,12,0,7507
2026-07-29 14:55:41,cand_1,109.48,25.27,41.08,43.13,0.00,39.58,24.34,23.19,0.00,120.9748,27.789036,34,12,11,11,0,7653
2026-07-29 14:55:42,cand_1,109.42,25.27,41.06,43.09,0.00,39.57,24.36,23.21,0.00,121.4609,28.743455,35,12,12,11,0,7805
2026-07-29 14:55:43,cand_1,109.62,25.27,41.14,43.20,0.00,39.57,24.31,23.15,0.00,121.6067,27.525407,35,11,12,12,0,7936
2026-07-29 14:55:44,cand_1,109.56,25.27,41.11,43.18,0.00,39.57,24.32,23.16,0.00,121.9756,27.412707,35,11,12,12,0,8082
2026-07-29 14:55:45,cand_1,109.58,25.27,41.12,43.19,0.00,39.57,24.32,23.16,0.00,122.2734,27.200276,34,12,11,11,0,8224
2026-07-29 14:55:46,cand_1,109.49,25.28,41.07,43.14,0.00,39.55,24.35,23.18,0.00,122.6503,26.502122,36,12,12,12,0,8372
2026-07-29 14:55:47,cand_1,109.61,25.26,41.17,43.17,0.00,39.58,24.29,23.16,0.00,122.8425,26.340641,36,12,12,12,0,8508
2026-07-29 14:55:48,cand_1,109.63,25.27,41.26,43.11,0.00,39.58,24.23,23.20,0.00,123.1298,26.053009,36,12,12,12,0,8651
2026-07-29 14:55:49,cand_1,109.68,25.26,41.27,43.16,0.00,39.59,24.23,23.17,0.00,123.3667,26.325738,35,12,12,11,0,8791
2026-07-29 14:55:50,cand_1,109.61,25.25,41.18,43.18,0.00,39.61,24.28,23.16,0.00,123.7616,27.046309,35,11,12,12,0,8943
2026-07-29 14:55:51,cand_1,109.51,25.25,41.13,43.13,0.00,39.60,24.32,23.18,0.00,124.0658,27.578212,36,12,12,12,0,9089
2026-07-29 14:55:52,cand_1,109.50,25.25,41.15,43.09,0.00,39.61,24.30,23.20,0.00,124.3606,27.561472,35,11,12,12,0,9235
2026-07-29 14:55:53,cand_1,109.46,25.24,41.14,43.08,0.00,39.61,24.31,23.21,0.00,124.6759,27.571295,34,12,11,11,0,9383
