timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 15:15:39,combination_stable,88.24,24.16,31.29,32.79,0.00,41.39,31.96,30.50,0.00,3.9104,13.590919,13,11,1,1,0,1
2026-07-29 15:15:40,combination_stable,108.60,27.97,39.60,41.03,0.00,35.75,25.25,24.37,0.00,2.3886,12.974283,11,11,0,0,0,3
2026-07-29 15:15:41,combination_stable,105.65,26.68,36.96,42.01,0.00,37.48,27.06,23.80,0.00,2.6598,12.889715,12,12,0,0,0,6
2026-07-29 15:15:42,combination_stable,106.33,26.31,38.31,41.72,0.00,38.01,26.10,23.97,0.00,3.0720,12.804615,11,11,0,0,0,10
2026-07-29 15:15:43,combination_stable,108.69,26.39,39.17,43.12,0.00,37.89,25.53,23.19,0.00,3.0542,12.725268,13,12,1,0,0,13
2026-07-29 15:15:44,combination_stable,107.07,26.49,38.82,41.76,0.00,37.75,25.76,23.95,0.00,3.0443,12.380012,11,11,0,0,0,16
2026-07-29 15:15:45,combination_stable,108.95,26.36,39.57,43.01,0.00,37.93,25.27,23.25,0.00,3.0371,12.349819,11,11,0,0,0,19
2026-07-29 15:15:46,combination_stable,109.54,26.33,39.72,43.49,0.00,37.99,25.17,22.99,0.00,3.1698,12.368958,11,11,0,0,0,23
2026-07-29 15:15:47,combination_stable,109.08,26.11,39.81,43.16,0.00,38.30,25.12,23.17,0.00,3.2702,12.697677,11,11,0,0,0,27
2026-07-29 15:15:48,combination_stable,109.71,26.22,39.95,43.54,0.00,38.14,25.03,22.97,0.00,3.1333,12.485313,12,12,0,0,0,29
2026-07-29 15:15:49,combination_burst,110.13,26.14,40.16,43.83,0.00,38.26,24.90,22.82,0.00,4.4852,13.047000,29,12,9,8,0,46
2026-07-29 15:15:50,combination_burst,109.38,26.03,39.84,43.51,0.00,38.42,25.10,22.98,0.00,16.7921,17.339637,35,11,12,12,0,189
2026-07-29 15:15:51,combination_burst,110.21,25.98,40.47,43.76,0.00,38.50,24.71,22.85,0.00,26.5982,22.661437,36,12,12,12,0,326
2026-07-29 15:15:52,combination_burst,111.27,25.99,40.89,44.40,0.00,38.48,24.46,22.53,0.00,34.8352,26.185506,34,12,11,11,0,462
2026-07-29 15:15:53,combination_burst,111.28,25.93,40.63,44.71,0.00,38.56,24.61,22.36,0.00,42.2981,25.302842,36,12,12,12,0,603
