timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 15:24:04,combination_stable,1422.04,252.85,435.64,733.55,0.00,3.95,2.30,1.36,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:05,combination_stable,1363.17,251.55,417.65,693.97,0.00,3.98,2.39,1.44,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:06,combination_stable,1344.18,250.42,428.68,665.09,0.00,3.99,2.33,1.50,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:07,combination_stable,1351.46,246.77,424.73,679.96,0.00,4.05,2.35,1.47,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:08,combination_stable,1321.31,248.93,417.47,654.91,0.00,4.02,2.40,1.53,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:09,combination_stable,1336.17,249.69,425.27,661.21,0.00,4.00,2.35,1.51,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:10,combination_stable,1331.42,251.34,424.39,655.69,0.00,3.98,2.36,1.53,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:11,combination_stable,1324.57,249.69,425.78,649.10,0.00,4.00,2.35,1.54,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:12,combination_stable,1336.63,248.50,428.30,659.83,0.00,4.02,2.33,1.52,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:13,combination_stable,1339.22,249.46,427.34,662.42,0.00,4.01,2.34,1.51,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:24:14,combination_burst,1217.46,248.86,427.18,541.42,0.00,4.02,2.34,1.85,0.00,4.4545,0.000000,2,0,2,0,0,49
2026-07-29 15:24:15,combination_burst,754.99,125.36,194.31,435.33,0.00,7.98,5.15,2.30,0.00,10.0828,4.553378,4,2,2,0,0,121
2026-07-29 15:24:16,combination_burst,589.23,90.83,121.43,376.97,0.00,11.01,8.24,2.65,0.00,14.3073,6.817670,4,2,2,0,0,186
2026-07-29 15:24:17,combination_burst,501.02,68.90,92.41,339.71,0.00,14.51,10.82,2.94,0.00,17.9987,13.672113,4,2,2,0,0,252
2026-07-29 15:24:18,combination_burst,446.48,55.94,75.44,315.11,0.00,17.88,13.26,3.17,0.00,21.1325,13.782742,3,2,1,0,0,317
2026-07-29 15:24:19,combination_burst,410.36,47.40,65.31,297.65,0.00,21.10,15.31,3.36,0.00,23.9989,13.836303,3,1,2,0,0,384
2026-07-29 15:24:20,combination_burst,382.76,42.24,57.94,282.57,0.00,23.67,17.26,3.54,0.00,26.4112,13.754730,3,2,1,0,0,449
2026-07-29 15:24:21,combination_burst,363.07,37.51,52.85,272.71,0.00,26.66,18.92,3.67,0.00,28.6660,13.783057,4,2,2,0,0,516
2026-07-29 15:24:22,combination_burst,346.69,33.87,48.67,264.14,0.00,29.52,20.55,3.79,0.00,30.5773,13.703721,3,2,1,0,0,581
2026-07-29 15:24:23,combination_burst,334.78,31.42,45.61,257.75,0.00,31.82,21.93,3.88,0.00,32.3488,13.804600,4,2,2,0,0,647
2026-07-29 15:24:24,combination_burst,324.04,29.00,43.01,252.03,0.00,34.48,23.25,3.97,0.00,33.9030,13.693762,4,2,2,0,0,712
2026-07-29 15:24:25,cand_1,289.03,28.30,44.29,216.44,0.00,35.34,22.58,4.62,0.00,35.9530,12.319631,2,2,0,0,0,791
2026-07-29 15:24:26,cand_1,304.58,30.94,48.08,225.56,0.00,32.32,20.80,4.43,0.00,34.7810,7.241229,0,0,0,0,0,800
2026-07-29 15:24:27,cand_1,320.06,34.26,51.78,234.02,0.00,29.19,19.31,4.27,0.00,33.3322,5.430922,0,0,0,0,0,800
