timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 15:37:02,combination_stable,1238.41,249.73,461.86,526.82,0.00,4.00,2.17,1.90,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:03,combination_stable,1187.58,249.95,423.58,514.05,0.00,4.00,2.36,1.95,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:04,combination_stable,1212.34,250.44,429.06,532.84,0.00,3.99,2.33,1.88,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:05,combination_stable,1191.54,247.36,418.58,525.60,0.00,4.04,2.39,1.90,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:06,combination_stable,1199.39,245.18,421.73,532.48,0.00,4.08,2.37,1.88,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:07,combination_stable,1185.14,239.84,417.20,528.10,0.00,4.17,2.40,1.89,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:08,combination_stable,1172.61,238.62,413.19,520.80,0.00,4.19,2.42,1.92,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:09,combination_stable,1170.43,235.85,413.01,521.57,0.00,4.24,2.42,1.92,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:10,combination_stable,1167.31,236.46,413.34,517.51,0.00,4.23,2.42,1.93,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:11,combination_stable,1179.07,238.69,417.45,522.93,0.00,4.19,2.40,1.91,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:37:12,combination_burst,1012.63,239.79,254.21,518.62,0.00,4.17,3.93,1.93,0.00,5.7270,2.243083,2,0,2,0,0,63
2026-07-29 15:37:13,combination_burst,721.28,133.57,139.39,448.33,0.00,7.49,7.17,2.23,0.00,12.8325,7.754993,4,2,2,0,0,154
2026-07-29 15:37:14,combination_burst,553.76,89.84,101.09,362.84,0.00,11.13,9.89,2.76,0.00,16.9202,12.306974,4,2,2,0,0,220
2026-07-29 15:37:15,combination_burst,476.28,68.41,80.49,327.38,0.00,14.62,12.42,3.05,0.00,20.3558,14.002955,4,2,2,0,0,285
2026-07-29 15:37:16,combination_burst,427.94,57.30,68.64,302.00,0.00,17.45,14.57,3.31,0.00,23.4643,14.029700,4,2,2,0,0,352
2026-07-29 15:37:17,combination_burst,394.61,48.38,60.22,286.02,0.00,20.67,16.61,3.50,0.00,26.0613,14.082635,4,2,2,0,0,417
2026-07-29 15:37:18,combination_burst,371.37,42.07,54.52,274.79,0.00,23.77,18.34,3.64,0.00,28.4105,14.151973,4,2,2,0,0,483
2026-07-29 15:37:19,combination_burst,351.57,37.42,49.99,264.16,0.00,26.72,20.00,3.79,0.00,30.4985,14.043157,4,2,2,0,0,549
2026-07-29 15:37:20,combination_burst,335.79,34.36,46.65,254.78,0.00,29.10,21.44,3.93,0.00,32.3145,13.996028,4,2,2,0,0,614
2026-07-29 15:37:21,combination_burst,322.79,31.40,43.83,247.57,0.00,31.85,22.81,4.04,0.00,33.9983,13.846497,4,2,2,0,0,680
2026-07-29 15:37:22,combination_burst,312.31,28.99,41.55,241.77,0.00,34.49,24.07,4.14,0.00,35.4743,13.858535,4,2,2,0,0,745
2026-07-29 15:37:23,cand_2,275.05,28.64,42.93,203.48,0.00,34.92,23.29,4.91,0.00,37.3170,15.040976,3,2,0,1,0,821
2026-07-29 15:37:24,cand_3,256.23,29.12,46.45,180.65,0.00,34.34,21.53,5.54,0.00,38.5642,19.142489,2,2,0,0,0,887
2026-07-29 15:37:25,cand_5,262.57,29.72,46.68,186.18,0.00,33.65,21.42,5.37,0.00,39.4948,16.549638,3,2,1,0,0,948
2026-07-29 15:37:26,cand_4,244.07,30.50,46.25,167.32,0.00,32.79,21.62,5.98,0.00,41.1981,12.875987,0,0,0,0,0,1030
2026-07-29 15:37:27,cand_4,252.51,33.53,44.16,174.82,0.00,29.83,22.64,5.72,0.00,40.6533,10.400778,0,0,0,0,0,1057
2026-07-29 15:37:28,cand_4,261.40,36.59,42.37,182.44,0.00,27.33,23.60,5.48,0.00,40.1098,3.393744,2,0,2,0,0,1083
2026-07-29 15:37:29,cand_4,269.80,39.59,40.82,189.38,0.00,25.26,24.50,5.28,0.00,39.6416,4.096935,1,0,1,0,0,1110
2026-07-29 15:37:30,cand_4,278.24,42.47,39.52,196.25,0.00,23.55,25.30,5.10,0.00,39.1715,2.976021,3,1,2,0,0,1136
2026-07-29 15:37:31,cand_4,286.70,45.25,38.33,203.13,0.00,22.10,26.09,4.92,0.00,38.7326,2.979262,3,1,2,0,0,1162
2026-07-29 15:37:32,cand_4,294.63,47.97,37.25,209.40,0.00,20.84,26.84,4.78,0.00,38.3213,3.004727,2,0,2,0,0,1188
2026-07-29 15:37:33,cand_4,302.88,50.64,36.30,215.94,0.00,19.75,27.54,4.63,0.00,37.9678,2.985077,1,0,1,0,0,1215
2026-07-29 15:37:34,cand_4,311.10,53.21,35.49,222.39,0.00,18.79,28.17,4.50,0.00,37.6049,2.990094,2,0,2,0,0,1241
2026-07-29 15:37:35,cand_4,318.63,55.63,34.70,228.31,0.00,17.98,28.82,4.38,0.00,37.2633,3.039494,4,1,2,1,0,1267
2026-07-29 15:37:36,cand_4,326.65,58.10,33.99,234.57,0.00,17.21,29.42,4.26,0.00,36.9416,3.008287,2,0,2,0,0,1293
2026-07-29 15:37:37,cand_4,334.06,60.40,33.34,240.32,0.00,16.55,30.00,4.16,0.00,36.6643,2.994791,2,1,1,0,0,1320
2026-07-29 15:37:38,cand_4,341.38,62.67,32.77,245.93,0.00,15.96,30.51,4.07,0.00,36.3771,2.933522,3,1,2,0,0,1346
2026-07-29 15:37:39,cand_4,348.69,64.95,32.22,251.52,0.00,15.40,31.03,3.98,0.00,36.1046,2.933728,2,0,2,0,0,1372
2026-07-29 15:37:40,cand_4,356.15,67.16,31.71,257.28,0.00,14.89,31.53,3.89,0.00,35.8451,2.963193,2,0,2,0,0,1398
2026-07-29 15:37:41,cand_4,362.99,69.26,31.24,262.50,0.00,14.44,32.01,3.81,0.00,35.6244,2.985705,1,0,1,0,0,1425
2026-07-29 15:37:42,cand_4,370.02,71.35,30.81,267.86,0.00,14.01,32.46,3.73,0.00,35.3895,3.109895,2,0,2,0,0,1451
2026-07-29 15:37:43,cand_4,377.03,73.43,30.41,273.19,0.00,13.62,32.89,3.66,0.00,35.1899,3.085531,2,0,2,0,0,1478
2026-07-29 15:37:44,cand_4,383.86,75.45,30.03,278.38,0.00,13.25,33.30,3.59,0.00,34.9759,3.071031,2,0,2,0,0,1504
2026-07-29 15:37:45,cand_4,390.42,77.26,29.67,283.48,0.00,12.94,33.70,3.53,0.00,34.7724,3.070119,2,0,2,0,0,1530
2026-07-29 15:37:46,cand_4,397.03,79.20,29.33,288.50,0.00,12.63,34.09,3.47,0.00,34.5769,2.991578,2,0,2,0,0,1556
2026-07-29 15:37:47,cand_4,403.00,80.98,29.03,292.99,0.00,12.35,34.45,3.41,0.00,34.4123,3.015581,2,0,2,0,0,1583
2026-07-29 15:37:48,cand_4,409.53,82.81,28.73,297.99,0.00,12.08,34.81,3.36,0.00,34.2337,2.955741,2,0,2,0,0,1609
2026-07-29 15:37:49,cand_4,415.80,84.58,28.45,302.77,0.00,11.82,35.15,3.30,0.00,34.0581,2.969452,2,0,2,0,0,1635
2026-07-29 15:37:50,cand_4,421.71,86.28,28.20,307.23,0.00,11.59,35.46,3.25,0.00,33.9182,2.950133,2,0,2,0,0,1662
2026-07-29 15:37:51,cand_4,427.17,87.99,27.95,311.23,0.00,11.37,35.78,3.21,0.00,33.7592,2.951786,2,0,2,0,0,1688
2026-07-29 15:37:52,cand_4,432.87,89.57,27.72,315.59,0.00,11.16,36.08,3.17,0.00,33.6073,2.937150,2,0,2,0,0,1714
2026-07-29 15:37:53,cand_4,438.38,91.11,27.49,319.78,0.00,10.98,36.38,3.13,0.00,33.4804,2.960381,2,0,2,0,0,1741
2026-07-29 15:37:54,cand_4,443.51,92.66,27.27,323.57,0.00,10.79,36.66,3.09,0.00,33.3391,2.935551,2,0,2,0,0,1767
2026-07-29 15:37:55,cand_4,448.66,94.20,27.08,327.38,0.00,10.62,36.93,3.05,0.00,33.2205,2.984186,3,1,2,0,0,1794
2026-07-29 15:37:56,cand_4,453.78,95.71,26.88,331.20,0.00,10.45,37.20,3.02,0.00,33.0904,2.977611,2,0,2,0,0,1820
2026-07-29 15:37:57,cand_4,458.32,97.14,26.69,334.50,0.00,10.29,37.47,2.99,0.00,32.9820,2.986676,2,0,2,0,0,1847
2026-07-29 15:37:58,cand_4,463.17,98.57,26.51,338.10,0.00,10.15,37.72,2.96,0.00,32.8591,3.026524,2,0,2,0,0,1873
2026-07-29 15:37:59,cand_4,468.34,100.05,26.35,341.94,0.00,10.00,37.95,2.92,0.00,32.7584,2.994826,2,0,2,0,0,1900
2026-07-29 15:38:00,cand_4,473.68,101.44,26.19,346.05,0.00,9.86,38.18,2.89,0.00,32.6438,2.972404,2,0,2,0,0,1926
2026-07-29 15:38:01,cand_4,478.48,102.78,26.03,349.68,0.00,9.73,38.41,2.86,0.00,32.5332,2.970022,3,1,2,0,0,1952
