timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 15:39:57,combination_stable,1311.00,248.82,417.48,644.70,0.00,4.02,2.40,1.55,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:39:58,combination_stable,1354.81,245.36,433.25,676.20,0.00,4.08,2.31,1.48,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:39:59,combination_stable,1383.03,241.75,429.31,711.96,0.00,4.14,2.33,1.40,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:00,combination_stable,1365.70,242.36,425.27,698.07,0.00,4.13,2.35,1.43,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:01,combination_stable,1374.03,243.37,427.52,703.14,0.00,4.11,2.34,1.42,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:02,combination_stable,1369.28,238.34,425.81,705.13,0.00,4.20,2.35,1.42,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:03,combination_stable,1386.39,239.96,432.70,713.73,0.00,4.17,2.31,1.40,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:04,combination_stable,1375.70,240.62,429.94,705.14,0.00,4.16,2.33,1.42,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:05,combination_stable,1376.64,239.62,434.37,702.64,0.00,4.17,2.30,1.42,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:06,combination_stable,1366.83,237.51,432.75,696.57,0.00,4.21,2.31,1.44,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:40:07,combination_burst,1223.99,237.73,430.59,555.67,0.00,4.21,2.32,1.80,0.00,5.0121,0.000000,0,0,0,0,0,55
2026-07-29 15:40:08,combination_burst,767.55,131.47,194.72,441.36,0.00,7.61,5.14,2.27,0.00,10.6913,3.593371,3,2,1,0,0,128
2026-07-29 15:40:09,combination_burst,591.41,88.85,123.51,379.05,0.00,11.26,8.10,2.64,0.00,14.7997,9.374059,4,2,2,0,0,192
2026-07-29 15:40:10,combination_burst,498.62,67.71,92.86,338.04,0.00,14.77,10.77,2.96,0.00,18.4636,10.528021,4,2,2,0,0,258
2026-07-29 15:40:11,combination_burst,443.89,56.65,75.40,311.84,0.00,17.65,13.26,3.21,0.00,21.7064,14.168488,3,2,1,0,0,325
