timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 15:57:02,combination_stable,1231.46,248.09,394.81,588.55,0.00,4.03,2.53,1.70,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:03,combination_stable,1345.45,247.57,421.01,676.87,0.00,4.04,2.38,1.48,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:04,combination_stable,1359.85,240.45,426.93,692.47,0.00,4.16,2.34,1.44,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:05,combination_stable,1347.48,240.54,425.98,680.96,0.00,4.16,2.35,1.47,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:06,combination_stable,1337.24,242.75,423.96,670.52,0.00,4.12,2.36,1.49,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:07,combination_stable,1335.70,240.38,423.74,671.58,0.00,4.16,2.36,1.49,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:08,combination_stable,1333.14,241.67,421.92,669.54,0.00,4.14,2.37,1.49,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:09,combination_stable,1343.07,243.77,423.82,675.48,0.00,4.10,2.36,1.48,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:10,combination_stable,1333.46,243.81,420.57,669.08,0.00,4.10,2.38,1.49,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:11,combination_stable,1332.48,242.84,419.52,670.13,0.00,4.12,2.38,1.49,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 15:57:12,combination_burst,949.02,239.76,252.66,456.60,0.00,4.17,3.96,2.19,0.00,4.3785,1.150910,2,0,2,0,0,48
2026-07-29 15:57:13,combination_burst,653.61,131.67,141.89,380.05,0.00,7.59,7.05,2.63,0.00,9.6968,4.724392,4,2,2,0,0,116
2026-07-29 15:57:14,combination_burst,528.64,88.61,100.82,339.22,0.00,11.29,9.92,2.95,0.00,13.9622,10.985657,4,2,2,0,0,181
2026-07-29 15:57:15,combination_burst,460.76,67.61,80.35,312.80,0.00,14.79,12.45,3.20,0.00,17.6888,14.034097,3,2,1,0,0,247
2026-07-29 15:57:16,combination_burst,420.10,56.83,68.58,294.69,0.00,17.60,14.58,3.39,0.00,20.9180,13.926995,4,2,2,0,0,313
2026-07-29 15:57:17,combination_burst,388.55,48.01,60.23,280.32,0.00,20.83,16.60,3.57,0.00,23.7421,13.924969,4,2,2,0,0,379
2026-07-29 15:57:18,combination_burst,365.04,41.74,54.29,269.01,0.00,23.96,18.42,3.72,0.00,26.1749,13.858666,3,2,1,0,0,444
2026-07-29 15:57:19,combination_burst,346.46,37.12,50.05,259.28,0.00,26.94,19.98,3.86,0.00,28.3919,13.936113,3,1,2,0,0,510
2026-07-29 15:57:20,combination_burst,332.86,34.10,46.52,252.24,0.00,29.33,21.49,3.96,0.00,30.3749,13.926121,3,2,1,0,0,576
2026-07-29 15:57:21,combination_burst,320.51,31.10,43.82,245.58,0.00,32.15,22.82,4.07,0.00,32.1092,14.274213,4,2,2,0,0,641
2026-07-29 15:57:22,combination_burst,310.57,28.72,41.54,240.32,0.00,34.81,24.08,4.16,0.00,33.7723,14.128811,2,1,1,0,0,708
2026-07-29 15:57:23,cand_1,278.56,29.18,42.86,206.52,0.00,34.26,23.33,4.84,0.00,34.9224,12.215358,0,0,0,0,0,767
2026-07-29 15:57:24,cand_1,293.65,32.59,46.38,214.68,0.00,30.69,21.56,4.66,0.00,33.4017,8.732195,0,0,0,0,0,767
2026-07-29 15:57:25,cand_1,307.74,35.80,49.82,222.12,0.00,27.94,20.07,4.50,0.00,32.0075,5.024386,0,0,0,0,0,767
2026-07-29 15:57:26,cand_1,321.83,39.04,53.19,229.60,0.00,25.61,18.80,4.36,0.00,30.7248,0.000000,0,0,0,0,0,767
2026-07-29 15:57:27,cand_1,335.36,42.12,56.54,236.70,0.00,23.74,17.69,4.22,0.00,29.5422,0.000000,0,0,0,0,0,767
2026-07-29 15:57:28,cand_1,348.51,45.02,59.78,243.71,0.00,22.21,16.73,4.10,0.00,28.4466,0.000000,0,0,0,0,0,767
2026-07-29 15:57:29,cand_1,360.98,47.85,62.97,250.17,0.00,20.90,15.88,4.00,0.00,27.4286,0.000000,1,1,0,0,0,767
2026-07-29 15:57:30,cand_1,372.91,50.70,66.10,256.10,0.00,19.72,15.13,3.90,0.00,26.4824,0.000000,0,0,0,0,0,767
2026-07-29 15:57:31,cand_1,385.36,53.49,69.16,262.71,0.00,18.69,14.46,3.81,0.00,25.5980,0.000000,0,0,0,0,0,767
2026-07-29 15:57:32,cand_1,397.61,56.15,72.22,269.24,0.00,17.81,13.85,3.71,0.00,24.7713,0.000000,0,0,0,0,0,767
2026-07-29 15:57:33,cand_1,409.70,58.76,75.19,275.75,0.00,17.02,13.30,3.63,0.00,23.9966,0.000000,0,0,0,0,0,767
2026-07-29 15:57:34,cand_1,421.74,61.34,78.15,282.25,0.00,16.30,12.80,3.54,0.00,23.2686,0.000000,0,0,0,0,0,767
2026-07-29 15:57:35,cand_1,432.43,63.84,81.03,287.56,0.00,15.66,12.34,3.48,0.00,22.5837,0.000000,0,0,0,0,0,767
2026-07-29 15:57:36,cand_1,443.23,66.16,83.86,293.21,0.00,15.11,11.92,3.41,0.00,21.9372,0.000000,1,1,0,0,0,767
2026-07-29 15:57:37,cand_1,453.70,68.52,86.65,298.53,0.00,14.59,11.54,3.35,0.00,21.3276,0.000000,0,0,0,0,0,767
2026-07-29 15:57:38,cand_1,463.27,70.82,89.37,303.08,0.00,14.12,11.19,3.30,0.00,20.7502,0.000000,0,0,0,0,0,767
2026-07-29 15:57:39,cand_1,472.54,73.00,92.06,307.47,0.00,13.70,10.86,3.25,0.00,20.2040,0.000000,1,1,0,0,0,767
2026-07-29 15:57:40,cand_1,482.00,75.23,94.70,312.06,0.00,13.29,10.56,3.20,0.00,19.6852,0.000000,0,0,0,0,0,767
2026-07-29 15:57:41,cand_1,491.04,77.30,97.28,316.46,0.00,12.94,10.28,3.16,0.00,19.1926,0.000000,0,0,0,0,0,767
2026-07-29 15:57:42,cand_1,499.94,79.37,99.78,320.79,0.00,12.60,10.02,3.12,0.00,18.7240,0.000000,0,0,0,0,0,767
